restaurant_name,city,latitude,longitude,price_per_person,cuisine,opening_time,closing_time,nearby_attraction_name,nearby_attraction_coords,query_latitude,query_longitude,rating
Dahekou Ying Shan Hong Restaurant,Chongqing,29.587855,106.437853,56.0,Chinese Restaurant;Chinese Restaurant,07:00,20:00,Site of the Sino-American Cooperative Organization Concentration Camp - Zhazidong Prison,"106.432707,29.585922",29.585922,106.432707,4.2
Xunwei Ge Magnetic Chinese Restaurant,Chongqing,29.583431,106.439710,63.0,Chinese Restaurant;Chinese Restaurant,17:00,21:30,Site of the Sino-American Cooperative Organization Concentration Camp - Zhazidong Prison,"106.432707,29.585922",29.585922,106.432707,4.3
Thai Miss Thai Restaurant,Chongqing,29.583056,106.439680,63.0,Foreign Restaurant;Foreign Restaurant,10:00,22:00,Site of the Sino-American Cooperative Organization Concentration Camp - Zhazidong Prison,"106.432707,29.585922",29.585922,106.432707,4.8
Lin Zhong Le Spicy Chicken (Gele Mountain Flagship Store),Chongqing,29.576545,106.427053,100.0,Chinese Restaurant;Chinese Restaurant,09:30,20:30,Site of the Sino-American Cooperative Organization Concentration Camp - Zhazidong Prison,"106.432707,29.585922",29.585922,106.432707,4.2
Liao Daixiu Restaurant,Chongqing,29.582088,106.418818,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Site of the Sino-American Cooperative Organization Concentration Camp - Zhazidong Prison,"106.432707,29.585922",29.585922,106.432707,3.8
Zhenzhiwei Restaurant Gele Mountain,Chongqing,29.581598,106.418562,100.0,Chinese Restaurant;Sichuan Cuisine,09:00,21:00,Site of the Sino-American Cooperative Organization Concentration Camp - Zhazidong Prison,"106.432707,29.585922",29.585922,106.432707,3.7
Xiao Luo Restaurant (Zhong'ang Jiayuwan Branch),Chongqing,29.594886,106.443680,20.0,Chinese Restaurant;Sichuan Cuisine,09:00,22:00,Site of the Sino-American Cooperative Organization Concentration Camp - Zhazidong Prison,"106.432707,29.585922",29.585922,106.432707,4.1
Guiqun Restaurant,Chongqing,29.582149,106.418282,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Site of the Sino-American Cooperative Organization Concentration Camp - Zhazidong Prison,"106.432707,29.585922",29.585922,106.432707,4.0
Libo Restaurant (Gele Mountain Branch),Chongqing,29.581612,106.418359,100.0,Chinese Restaurant;Chinese Restaurant,08:30,22:00,Site of the Sino-American Cooperative Organization Concentration Camp - Zhazidong Prison,"106.432707,29.585922",29.585922,106.432707,4.2
East Garden Restaurant of Sichuan International Studies University,Chongqing,29.572651,106.438974,50.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Site of the Sino-American Cooperative Organization Concentration Camp - Zhazidong Prison,"106.432707,29.585922",29.585922,106.432707,4.3
