origin_city,destination_city,dep_date,dep_station_code,dep_station_name,arr_station_code,arr_station_name,dep_datetime,arr_datetime,duration,train_no,train_type,seat_class,seat_status,price,segment_index,route_index
Shanghai,Xiamen,2025-11-12,AOH,Shanghai Hongqiao Station,XKS,Xiamen North Station,2025-11-12 14:04:00,2025-11-12 19:08:00,304,G415,High-Speed Train,Second Class Seat,Sufficient,561.0,1,96
Shanghai,Xiamen,2025-11-12,XKS,Xiamen North Station,XMS,Xiamen Station,2025-11-12 19:39:00,2025-11-12 20:01:00,22,G3545,High-Speed Train,Second Class Seat,Sufficient,561.0,2,96
Shanghai,Xiamen,2025-11-12,SNH,Shanghai South Station,XMS,Xiamen Station,2025-11-12 14:53:00,2025-11-12 22:50:00,477,G1659,High-Speed Train,Second Class Seat,Sufficient,536.0,1,108
Shanghai,Xiamen,2025-11-12,AOH,Shanghai Hongqiao Station,XKS,Xiamen North Station,2025-11-12 06:27:00,2025-11-12 13:41:00,434,G3091,High-Speed Train,Second Class Seat,Sufficient,514.0,1,95
Shanghai,Xiamen,2025-11-12,AOH,Shanghai Hongqiao Station,PTS,Putian Station,2025-11-12 14:04:00,2025-11-12 18:22:00,258,G415,High-Speed Train,Second Class Seat,Sufficient,533.0,1,87
Shanghai,Xiamen,2025-11-12,PTS,Putian Station,XKS,Xiamen North Station,2025-11-12 19:02:00,2025-11-12 19:55:00,53,D9605,Electric Multiple Unit,Second Class Seat,Sufficient,533.0,2,87
Shanghai,Xiamen,2025-11-12,SNH,Shanghai South Station,FZS,Fuzhou Station,2025-11-12 09:07:00,2025-11-12 12:50:00,223,G411,High-Speed Train,Second Class Seat,Sufficient,565.0,1,92
Shanghai,Xiamen,2025-11-12,FZS,Fuzhou Station,XKS,Xiamen North Station,2025-11-12 13:10:00,2025-11-12 14:37:00,87,G1669,High-Speed Train,Second Class Seat,Sufficient,565.0,2,92
Shanghai,Xiamen,2025-11-12,SNH,Shanghai South Station,XKS,Xiamen North Station,2025-11-12 15:08:00,2025-11-12 22:50:00,462,G1641,High-Speed Train,Second Class Seat,Sufficient,542.5,1,107
Shanghai,Xiamen,2025-11-12,SHH,Shanghai Station,AOH,Shanghai Hongqiao Station,2025-11-12 09:35:00,2025-11-12 10:02:00,27,G7319,High-Speed Train,First Class Seat,Sufficient,440.0,1,94
Shanghai,Xiamen,2025-11-12,AOH,Shanghai Hongqiao Station,XKS,Xiamen North Station,2025-11-12 10:27:00,2025-11-12 18:02:00,455,D3125,Electric Multiple Unit,Second Class Seat,Sufficient,440.0,2,94
Shanghai,Xiamen,2025-11-12,IMH,Shanghai Songjiang Station,XMS,Xiamen Station,2025-11-12 15:15:00,2025-11-12 22:50:00,455,G1659,High-Speed Train,Second Class Seat,Sufficient,520.0,1,103
Shanghai,Xiamen,2025-11-12,AOH,Shanghai Hongqiao Station,SLH,Shaoxing North Station,2025-11-12 05:52:00,2025-11-12 07:14:00,82,G7541,High-Speed Train,Second Class Seat,Sufficient,403.0,1,68
Shanghai,Xiamen,2025-11-12,SLH,Shaoxing North Station,XKS,Xiamen North Station,2025-11-12 07:30:00,2025-11-12 12:47:00,317,G1621,High-Speed Train,Second Class Seat,Sufficient,403.0,2,68
Shanghai,Xiamen,2025-11-12,SNH,Shanghai South Station,XKS,Xiamen North Station,2025-11-12 09:21:00,2025-11-12 15:27:00,366,G1633,High-Speed Train,Second Class Seat,Sufficient,545.0,1,104
Shanghai,Xiamen,2025-11-12,XKS,Xiamen North Station,XMS,Xiamen Station,2025-11-12 16:08:00,2025-11-12 16:31:00,23,G5117,High-Speed Train,Second Class Seat,Sufficient,545.0,2,104
Xiamen,Shanghai,2025-11-17,XKS,Xiamen North Station,SNH,Shanghai South Station,2025-11-17 07:11:00,2025-11-17 14:19:00,428,G3756,High-Speed Train,Second Class Seat,Sufficient,527.0,1,143
Xiamen,Shanghai,2025-11-17,XKS,Xiamen North Station,FZS,Fuzhou Station,2025-11-17 15:00:00,2025-11-17 16:06:00,66,G3092,High-Speed Train,Second Class Seat,Sufficient,558.0,1,134
Xiamen,Shanghai,2025-11-17,FZS,Fuzhou Station,SNH,Shanghai South Station,2025-11-17 16:30:00,2025-11-17 20:15:00,225,G416,High-Speed Train,Second Class Seat,Sufficient,558.0,2,134
Xiamen,Shanghai,2025-11-17,XKS,Xiamen North Station,AOH,Shanghai Hongqiao Station,2025-11-17 13:19:00,2025-11-17 21:03:00,464,G3060,High-Speed Train,Second Class Seat,Sufficient,452.0,1,125
Xiamen,Shanghai,2025-11-17,XKS,Xiamen North Station,IMH,Shanghai Songjiang Station,2025-11-17 13:29:00,2025-11-17 21:08:00,459,D3202,Electric Multiple Unit,Second Class Seat,Sufficient,383.0,1,111
Xiamen,Shanghai,2025-11-17,XKS,Xiamen North Station,AOH,Shanghai Hongqiao Station,2025-11-17 16:09:00,2025-11-17 22:40:00,391,G1638,High-Speed Train,Second Class Seat,Sufficient,499.0,1,129
Xiamen,Shanghai,2025-11-17,XKS,Xiamen North Station,AOH,Shanghai Hongqiao Station,2025-11-17 11:50:00,2025-11-17 19:08:00,438,D2284,Electric Multiple Unit,Second Class Seat,Sufficient,454.0,1,123
Xiamen,Shanghai,2025-11-17,XKS,Xiamen North Station,QYS,Quanzhou Station,2025-11-17 15:05:00,2025-11-17 15:31:00,26,D3308,Electric Multiple Unit,Second Class Seat,Sufficient,394.0,1,113
Xiamen,Shanghai,2025-11-17,QYS,Quanzhou Station,SNH,Shanghai South Station,2025-11-17 15:58:00,2025-11-17 22:53:00,415,D3108,Electric Multiple Unit,Second Class Seat,Sufficient,394.0,2,113
Xiamen,Shanghai,2025-11-17,XKS,Xiamen North Station,AOH,Shanghai Hongqiao Station,2025-11-17 08:10:00,2025-11-17 13:17:00,307,G412,High-Speed Train,无座,Sufficient,598.0,1,148
Xiamen,Shanghai,2025-11-17,AOH,Shanghai Hongqiao Station,SHH,Shanghai Station,2025-11-17 13:40:00,2025-11-17 14:06:00,26,G7304,High-Speed Train,Second Class Seat,Sufficient,598.0,2,148
Xiamen,Shanghai,2025-11-17,XKS,Xiamen North Station,PTS,Putian Station,2025-11-17 15:18:00,2025-11-17 16:08:00,50,G1612,High-Speed Train,Second Class Seat,Sufficient,422.0,1,120
Xiamen,Shanghai,2025-11-17,PTS,Putian Station,SNH,Shanghai South Station,2025-11-17 16:27:00,2025-11-17 22:53:00,386,D3108,Electric Multiple Unit,Second Class Seat,Sufficient,422.0,2,120
Xiamen,Shanghai,2025-11-17,XKS,Xiamen North Station,AOH,Shanghai Hongqiao Station,2025-11-17 08:34:00,2025-11-17 15:48:00,434,G3758,High-Speed Train,Second Class Seat,Sufficient,581.5,1,151
