city,attraction_name,attraction_id,description,attraction_type,address,latitude,longitude,rating,opening_time,closing_time,closing_dates,min_visit_hours,max_visit_hours,ticket_price
Chongqing,Mountain City Trail - Jianxingpo Grand Stairway,B0FFFE4P2C,"Chongqing's characteristic mountain city trails, experience the ups and downs of mountain city life, urban hiking.",Leisure Experience,,29.551340,106.548454,4.2,00:00,24:00,,0.5,2.0,0
Chongqing,Chongqing People's Great Hall,B00170BPJJ,"Chongqing landmark building, ancient palace-style architecture, a classic of modern Chinese architectural art.",Historical and Cultural,,29.561674,106.553277,4.7,08:00,18:00,,0.0,1.5,8
Chongqing,Shancheng Alley Traditional Style Area,B0FFK7WOXJ,"Stone-paved alleys reminiscent of old Chongqing, preserving the traditional architectural style of the mountain city.",Historical and Cultural,,29.550114,106.568822,4.8,Open 24 Hours,Open 24 Hours,,1.0,2.5,0
Chongqing,Chongqing Shibati Traditional Style Area,B0G1XDI8P4,"The most representative mountain city district in Chongqing, showcasing the everyday life and architectural features of old Chongqing.",Historical and Cultural,,29.551015,106.573042,4.8,Open 24 Hours,Open 24 Hours,,1.0,2.5,0
Chongqing,Ciqikou Ancient Town,B00170IFE4,"A thousand-year-old ancient town, traditional Bayu culture, taste local snacks, and experience the charm of old Chongqing.",Historical and Cultural,,29.581184,106.449705,4.8,00:00,24:00,,2.0,3.5,0
Chongqing,Sichuan Fine Arts Institute (Huangjueping Campus),B001786TUE,"A renowned art academy in Southwest China, the campus is filled with an artistic atmosphere, with an art museum open for visits.",Art Exhibition,,29.487559,106.541138,4.5,08:00,17:00,,0.5,2.0,0
Chongqing,Liziba Monorail Through-Building Viewing Platform,B0FFLH5QFT,"A popular social media check-in spot, watch the spectacle of a light rail passing through a building and experience Chongqing's magical realism.",City Landmark,,29.553629,106.537916,4.8,06:30,23:00,,0.0,1.5,0
Chongqing,Former Site of Baigongguan,B0FFK75W6R,"Revolutionary historical site, pay tribute to revolutionary martyrs and learn about Chongqing's wartime history.",Historical and Cultural,,29.576464,106.432065,4.7,09:00,16:30,,0.5,2.0,0
Chongqing,Chongqing Chaotianmen Square,B00170L11G,"The confluence of the Yangtze River and Jialing River, a symbolic landmark and dock of Chongqing.",City Landmark,,29.566880,106.587866,4.8,Open 24 Hours,Open 24 Hours,,1.0,2.5,0
Chongqing,Jiefangbei Pedestrian Street,B0FFG33I2E,"Chongqing's most bustling commercial center, a shopping and leisure destination, feel the energy of the city.",City Landmark,,29.557253,106.575329,4.8,Open 24 Hours,Open 24 Hours,,0.5,2.0,0
Chongqing,Former Site of Sino-American Cooperative Organization Concentration Camp - Zhazidong Prison,B00170AODT,"A prison where the Kuomintang detained Communist Party members and progressives, an important site for revolutionary education.",Historical and Cultural,,29.585922,106.432707,4.3,09:00,16:30,,0.5,2.0,0
Chongqing,Qiansimen Bridge,B0FFGBJ8U6,"A landmark bridge spanning the Jialing River, the best viewpoint for a panoramic view of Hongya Cave and the river scenery.",City Landmark,,29.569264,106.576790,4.5,Open 24 Hours,Open 24 Hours,,0.0,1.5,0
Chongqing,Chaotianmen Dock,B00170I3Z0,"At the confluence of two rivers, a historic port in Chongqing, where you can take a river cruise to enjoy the night views.",Natural Scenery,,29.563361,106.589421,4.0,Open 24 Hours,Open 24 Hours,,1.0,2.5,0
Chongqing,Chongqing Yangtze River Cableway,B0K22HFH8P,"Cross-river aerial transportation, experience the 'sky bus' and enjoy a bird's-eye view of the two rivers' scenery.",Leisure Experience,,29.552542,106.593961,4.5,07:30,22:30,,0.0,1.5,30
Chongqing,Hongyadong Folk Culture Area,B0FFG8V7SH,"Chongqing's iconic architectural complex, featuring stilted buildings, dazzling night views, and the charm of the mountain city.",Historical and Cultural,,29.562204,106.579027,4.8,09:00,23:00,,1.0,2.5,0
Chongqing,Changjiahui Danzishi Old Street,B0FFHCL1T9,A riverside historic district blending traditional Bayu culture with modern commercial elements.,Historical and Cultural,,29.579709,106.588015,4.7,10:00,22:00,,1.0,2.5,0
