restaurant_name,city,latitude,longitude,price_per_person,cuisine,opening_time,closing_time,nearby_attraction_name,nearby_attraction_coords,query_latitude,query_longitude,rating,tags
Unnamed Old Braised Noodles (Zhonghuamen Branch),Nanjing,32.014032,118.782467,100.0,Chinese Restaurant;Chinese Restaurant,06:00,20:00,Zhonghua Gate Fortress,"118.781821,32.012800",32.012800,118.781821,4.7,Must-Eat Top 10;Waiting Area
Jiming Soup Dumplings (Nanjing Main Branch) Nanjing Cuisine,Nanjing,32.011940,118.786703,100.0,Chinese Restaurant;Chinese Restaurant,08:30,23:00,Zhonghua Gate Fortress,"118.781821,32.012800",32.012800,118.781821,4.5,Online Queue
Tangwu · Old Nanjing Cuisine Restaurant (Laomendong Branch),Nanjing,32.014340,118.786519,90.0,Chinese Restaurant;Chinese Restaurant,17:00,21:30,Zhonghua Gate Fortress,"118.781821,32.012800",32.012800,118.781821,4.4,Must-Eat Top 10;Online Queue
Jiang You Ji (Laomendong Branch),Nanjing,32.011774,118.786821,25.0,Chinese Restaurant;Halal Restaurant,08:00,22:30,Zhonghua Gate Fortress,"118.781821,32.012800",32.012800,118.781821,4.4,Private Room
Xunwei · Jinling Twelve Dishes (Laomendong Branch),Nanjing,32.012241,118.787144,177.0,Chinese Restaurant;Chinese Restaurant,16:30,21:00,Zhonghua Gate Fortress,"118.781821,32.012800",32.012800,118.781821,4.7,Must-Eat Top 10;Online Queue
Yunshe Restaurant,Nanjing,32.009595,118.785806,100.0,Chinese Restaurant;Chinese Restaurant,17:00,21:00,Zhonghua Gate Fortress,"118.781821,32.012800",32.012800,118.781821,4.4,Must-Eat Top 10
New Belle Italian Restaurant · Wood-Fired Pizza (Laomendong Branch),Nanjing,32.011064,118.786955,70.0,Fast Food Restaurant;Fast Food Restaurant,10:00,22:00,Zhonghua Gate Fortress,"118.781821,32.012800",32.012800,118.781821,4.6,Must-Eat Top 10;Birthday Package
Xia Ji Breakfast,Nanjing,32.017659,118.781991,15.0,Chinese Restaurant;Chinese Restaurant,04:30,11:00,Zhonghua Gate Fortress,"118.781821,32.012800",32.012800,118.781821,4.7,Private Room
Wenliu Cuisine (Laomendong Branch),Nanjing,32.011515,118.787387,100.0,Chinese Restaurant;Chinese Restaurant,17:00,21:00,Zhonghua Gate Fortress,"118.781821,32.012800",32.012800,118.781821,4.5,Online Queue
Waibo · THE VIBE (Confucius Temple Branch),Nanjing,32.017072,118.778978,127.0,Entertainment Venue;Bar,11:00,21:00,Zhonghua Gate Fortress,"118.781821,32.012800",32.012800,118.781821,4.7,Outdoor Seating;Online Queue
Aftertaste Chinese Restaurant,Nanjing,31.990868,118.708386,258.0,Chinese Restaurant;Chinese Restaurant,17:30,20:30,Nanjing Eye Pedestrian Bridge,"118.703146,31.995131",31.995131,118.703146,3.9,Private Room;Birthday Package
Pushan · Zen Cuisine Restaurant (Renheng Jiangwan New World Branch),Nanjing,31.992314,118.709804,400.0,Chinese Restaurant;Chinese Restaurant,16:00,21:00,Nanjing Eye Pedestrian Bridge,"118.703146,31.995131",31.995131,118.703146,4.2,Waiting Area
International Youth Conference Hotel · Lecker German Beer Restaurant,Nanjing,31.991023,118.708803,157.0,Foreign Restaurant;Western Restaurant,17:30,00:30,Nanjing Eye Pedestrian Bridge,"118.703146,31.995131",31.995131,118.703146,4.0,Waiting Area
Xiang All-Day Dining Restaurant,Nanjing,31.990583,118.708585,158.0,Foreign Restaurant;Western Restaurant,11:00,21:00,Nanjing Eye Pedestrian Bridge,"118.703146,31.995131",31.995131,118.703146,4.0,Online Queue
International Youth Conference Hotel - Buffet Restaurant (Nanjing International Youth Conference Hotel),Nanjing,31.990660,118.708676,99.0,Foreign Restaurant;Foreign Restaurant,11:00,21:00,Nanjing Eye Pedestrian Bridge,"118.703146,31.995131",31.995131,118.703146,4.1,Must-Eat Top 10;Private Room
Jumeirah Nanjing Hotel · Luchao Modern Chinese Restaurant,Nanjing,31.991186,118.709348,480.0,Food Service Related;Food Service Related,17:30,21:30,Nanjing Eye Pedestrian Bridge,"118.703146,31.995131",31.995131,118.703146,4.5,Online Queue
Bama Ouyue Seafood House (Renhengli New World),Nanjing,31.992152,118.710080,191.0,Chinese Restaurant;Chinese Restaurant,17:00,23:30,Nanjing Eye Pedestrian Bridge,"118.703146,31.995131",31.995131,118.703146,4.6,Must-Eat Top 10;Outdoor Seating
RONG57 · Modern Cantonese Cuisine (International Youth Conference Center),Nanjing,31.990397,118.708624,243.0,Chinese Restaurant;Chinese Restaurant,16:30,21:00,Nanjing Eye Pedestrian Bridge,"118.703146,31.995131",31.995131,118.703146,4.4,Birthday Package;Online Queue
Furun Jiangwan Chinese Restaurant,Nanjing,31.998951,118.711814,100.0,Chinese Restaurant;Chinese Restaurant,09:30,21:00,Nanjing Eye Pedestrian Bridge,"118.703146,31.995131",31.995131,118.703146,4.4,Outdoor Seating;Waiting Area
ANTEP Turkish Restaurant (Jiangshan Center Branch),Nanjing,31.988663,118.710784,166.0,Foreign Restaurant;Foreign Restaurant,17:00,22:00,Nanjing Eye Pedestrian Bridge,"118.703146,31.995131",31.995131,118.703146,4.5,Birthday Package
