city,name,address,latitude,longitude,decoration_time,hotel_star,price,score,brand,services
Hangzhou,Jianguo Guorui Grand Hotel,"281 Xin'an Road, Xin'anjiang Street",29.473498,119.263331,2016,3,235,4.3,,SPA Service;Gym;Robot Service;TV Casting
Hangzhou,Hanting Hotel Hangzhou West Lake Cultural Square Metro Station (formerly Chaohui No.1 Branch),"86 Shangtang Road, Gongshu District",30.281245,120.169787,2022,2,215,4.9,Hanting Hotel,Swimming Pool;Washer and Dryer
Hangzhou,Jinjiang Inn Hangzhou Qingchun Square Hotel,"No. 9 Xintang Road, Shangcheng District, Hangzhou, Zhejiang Province",30.255917,120.207823,2023,2,186,4.6,Jinjiang Inn,Swimming Pool;Washer and Dryer;TV Casting
Hangzhou,Orange Hotel Hangzhou West Railway Station Zhejiang First Hospital,"Building 5, Lierda Technology Park, No. 1326 Wenyixi Road, Yuhang District, Hangzhou",30.276200,119.992000,2018,3,360,4.8,Orange Hotel,SPA Service;Robot Service
Hangzhou,Home Inn Neo - Hangzhou West Lake Lakeside Pedestrian Street Music Fountain Branch,"Wangjiao Building, No. 58 Pinghai Road, Shangcheng District, Hangzhou",30.254412,120.165774,2014,2,158,4.6,Home Inn,Free Parking;Swimming Pool;TV Casting
Hangzhou,Hangzhou Jingjiang Grand Hotel,"No. 50 Weishen Road, Jingjiang Street, Xiaoshan District",30.229744,120.473752,2017,3,135,4.5,,SPA Service;Free Parking;Robot Service
Hangzhou,Jinjiang Inn (Hangzhou West Lake Cultural Square Metro Station Hotel),"No. 183 Wenhui Road, Gongshu District, Hangzhou, Zhejiang Province, China Communications Service Industrial Park",30.281250,120.171934,2025,2,371,4.6,Jinjiang Inn,Free Parking;Washer and Dryer
Hangzhou,Hangzhou Yinlonghui Leisure Theme Hotel,No. 698 Tonghui Middle Road,30.179290,120.285795,2013,3,205,4.6,,SPA Service;Gym;Robot Service;Washer and Dryer
Hangzhou,Hilton Garden Inn Hangzhou Qianjiang New Town,"No. 37 Sanxin Road, Shangcheng District, Hangzhou, Zhejiang Province",30.260873,120.219947,2022,5,522,4.6,Hilton,Free Parking;Robot Service;Swimming Pool;Washer and Dryer
Hangzhou,Hilton Garden Inn Hangzhou Xixi Zijingang,"No. 492 Fengqing Road, Gongshu District, Hangzhou, Zhejiang Province",30.326706,120.098728,2022,5,431,4.9,Hilton,Free Parking;TV Casting
Hangzhou,Dehao Design Hotel (Linping Donghu International Commercial Center Branch),"4th Floor, Building 1, No. 1082 Xingguang Street, Donghu Street, Linping District, Hangzhou, Zhejiang Province",30.431516,120.314651,2023,3,166,4.8,,Gym;Swimming Pool
Hangzhou,Hangzhou Homeland Resort Hotel,"No. 455 Tonghui South Road, Xiaoshan District, Hangzhou",30.150623,120.285910,2023,3,229,5.0,,SPA Service;Robot Service;Washer and Dryer
Hangzhou,Orange Hotel Hangzhou Sports and Culture Center Xixi Wetland,"No. 738 Wen'er West Road, Xihu District",30.281383,120.079410,2019,3,305,4.8,Orange Hotel,SPA Service;Free Parking;Washer and Dryer;TV Casting
Hangzhou,Ludao Lujiao Japanese Tatami Hotel (Linping New World Branch),"Building 1, No. 1 Dongduan Ouhuazhou Avenue, Linping, Hangzhou Daily Jindu Cultural and Creative Building, Room 109",30.420663,120.307400,2021,3,282,4.5,,SPA Service;Free Parking;Robot Service
Hangzhou,Hangzhou Qianxun Cinema Hotel,"Building 3, Jiangnan Tianjie Commercial Center, Changhe Street, Binjiang District, Hangzhou (Front Desk Registration on the First Floor)",30.200183,120.202146,2020,3,290,5.0,,Gym;Robot Service
Hangzhou,Hanting Hotel Hangzhou Central Wulin Square Metro Station,"No. 522 Zhongshan North Road, Gongshu District, Hangzhou",30.271165,120.166721,2020,2,224,4.9,Hanting Hotel,SPA Service;Gym
Hangzhou,Hilton Garden Inn Hangzhou Lunu,"No. 8 Xunli Street, Luniu Town",30.469522,119.769431,2017,5,394,4.5,Hilton,Free Parking;Swimming Pool;Washer and Dryer
Hangzhou,Home Inn - Hangzhou Sijiqing Clothing Market Qingchun East Road Branch,"No. 66-8 Qingchun East Road, Shangcheng District, Hangzhou, Zhejiang (50 meters straight from Exit A2 of Qingling Road Station, Metro Line 2, near Sijiqing Clothing Wholesale Market, Qianjiang New City, Shao Yifu Hospital, Zhejiang Second Hospital, Zhejiang First Hospital, Red Cross Hospital)",30.258619,120.192780,2013,2,179,4.7,Home Inn,Gym;Free Parking;Robot Service
Hangzhou,Hangzhou JW Marriott Hotel,"No. 28 Hushu South Road, Hangzhou",30.274504,120.157166,2010,5,1200,4.5,Marriott,Free Parking;Robot Service;Washer and Dryer
Hangzhou,Home Inn Neo - Hangzhou Wulin Square Chaohui Road Canal Branch,"Building 11, Liushui Dongyuan, Gongshu District, Hangzhou",30.277893,120.184128,2018,2,150,4.2,Home Inn,Robot Service;Washer and Dryer
