origin,destination,distance_meters,duration_minutes,cost
"38.888484,121.586097","39.088910,122.009081",59940,90,235
"38.888484,121.586097","38.879606,121.608727",3070,5,15
"38.888484,121.586097","38.918777,121.698262",14380,22,53
"38.888484,121.586097","38.921549,121.643827",8680,13,32
"38.888484,121.586097","38.877811,121.568075",2740,5,14
"38.888484,121.586097","38.810796,121.234155",44350,67,173
"38.888484,121.586097","38.875925,121.596943",2360,5,13
"38.888484,121.586097","38.869587,121.558934",4410,7,19
"38.888484,121.586097","39.076061,122.003474",58340,88,229
"38.888484,121.586097","38.882437,121.592229",1200,14,0
"38.888484,121.586097","38.884002,121.593164",1100,13,0
"38.888484,121.586097","38.886419,121.585269",340,5,0
"38.888484,121.586097","38.877169,121.585633",1760,21,0
"38.888484,121.586097","38.877266,121.584327",1760,21,0
"38.888484,121.586097","38.886674,121.591761",740,9,0
"38.888484,121.586097","38.886869,121.592322",800,10,0
"38.888484,121.586097","38.886413,121.593833",990,12,0
"38.888484,121.586097","38.878416,121.595227",1920,23,0
"38.888484,121.586097","38.876319,121.592747",2060,5,12
"38.888484,121.586097","38.924468,121.645262",9100,14,33
"38.888484,121.586097","38.924384,121.645614",9120,14,33
"38.888484,121.586097","38.922800,121.645427",8960,13,32
"38.888484,121.586097","38.922682,121.645763",8980,13,33
"38.888484,121.586097","38.890314,121.587779",350,5,0
"38.888484,121.586097","38.890610,121.588450",440,5,0
"38.888484,121.586097","38.892252,121.587594",610,7,0
"38.888484,121.586097","38.891025,121.590375",650,8,0
"38.888484,121.586097","38.894088,121.584805",890,11,0
"38.888484,121.586097","38.894053,121.588350",910,11,0
"38.888484,121.586097","38.915073,121.638305",7560,11,28
"38.888484,121.586097","38.916837,121.635982",7480,11,28
"38.888484,121.586097","38.876227,121.593796",2120,5,12
"38.888484,121.586097","38.878321,121.595490",1950,23,0
"38.888484,121.586097","38.875220,121.592000",2190,5,12
"38.888484,121.586097","38.875140,121.589221",2110,5,12
"38.888484,121.586097","39.087721,122.012230",60170,90,236
"38.888484,121.586097","39.098542,122.015995",61440,92,241
"38.888484,121.586097","39.088915,122.014309",60480,91,238
"38.888484,121.586097","39.098865,122.016364",61500,92,242
"38.888484,121.586097","39.091653,122.016233",60900,91,239
"38.888484,121.586097","39.092618,122.016947",61050,92,240
"38.888484,121.586097","39.078632,122.004641",58660,88,230
"38.888484,121.586097","39.075001,121.997921",57680,87,226
"38.888484,121.586097","39.080485,122.012637",59640,89,234
"38.888484,121.586097","39.080383,122.012676",59640,89,234
"38.888484,121.586097","39.098600,122.026001",62470,94,245
"38.888484,121.586097","38.917069,121.703356",14890,22,55
"38.888484,121.586097","38.924307,121.695032",14330,21,53
"38.888484,121.586097","38.924154,121.692508",14040,21,52
"38.888484,121.586097","38.924503,121.692622",14070,21,52
"38.888484,121.586097","38.923274,121.689181",13610,20,50
"38.888484,121.586097","38.924863,121.690338",13840,21,51
"38.888484,121.586097","38.925178,121.689201",13730,21,51
"38.888484,121.586097","38.923719,121.687731",13480,20,50
"38.888484,121.586097","38.925394,121.689249",13750,21,51
"38.888484,121.586097","38.925853,121.689406",13800,21,51
"38.888484,121.586097","38.921410,121.646174",8900,13,32
"38.888484,121.586097","38.919444,121.642699",8380,13,31
"38.888484,121.586097","38.919655,121.641943",8330,12,31
"38.888484,121.586097","38.920062,121.640715",8240,12,30
"38.888484,121.586097","38.921338,121.647952",9070,14,33
"38.888484,121.586097","38.918305,121.643875",8400,13,31
"38.888484,121.586097","38.922057,121.629975",7450,11,28
"38.888484,121.586097","38.880874,121.567668",2530,5,13
"38.888484,121.586097","38.877325,121.571997",2440,5,13
"38.888484,121.586097","38.878291,121.563753",3140,5,15
"38.888484,121.586097","38.881466,121.569550",2280,5,12
"38.888484,121.586097","38.879472,121.572577",2160,5,12
"38.888484,121.586097","38.879791,121.573800",2010,5,12
"38.888484,121.586097","38.879440,121.574390",2000,24,0
"38.888484,121.586097","38.876408,121.557763",3910,6,17
"38.888484,121.586097","38.874363,121.558179",4030,6,18
"38.888484,121.586097","38.887058,121.566183",2420,5,13
"38.888484,121.586097","38.872667,121.556567",4340,7,19
"38.888484,121.586097","38.877662,121.555835",4040,6,18
"38.888484,121.586097","38.879365,121.550837",4500,7,19
"38.888484,121.586097","38.881291,121.554077",4040,6,18
"38.888484,121.586097","38.917995,121.637535",7740,12,29
"38.888484,121.586097","38.922450,121.636868",8110,12,30
"38.888484,121.586097","38.920552,121.635167",7760,12,29
"38.888484,121.586097","38.810788,121.266993",40530,61,158
"38.888484,121.586097","38.807819,121.267942",40570,61,158
"38.888484,121.586097","38.812335,121.268490",40290,60,157
"38.888484,121.586097","38.807568,121.269288",40420,61,157
"38.888484,121.586097","38.810893,121.227546",45120,68,176
"38.888484,121.586097","38.823554,121.250092",41970,63,163
"38.888484,121.586097","38.875440,121.545979",5270,8,21
"38.888484,121.586097","38.962616,121.543193",12660,19,46
"38.888484,121.586097","38.971171,121.539136",14070,21,52
"38.888484,121.586097","38.959840,121.550705",11910,18,43
"38.888484,121.586097","39.020541,121.604619",20680,31,78
"38.888484,121.586097","39.009501,121.606111",18990,28,72
"38.888484,121.586097","39.009592,121.615331",19180,29,72
"38.888484,121.586097","39.025635,121.800525",33610,50,130
"38.888484,121.586097","39.026928,121.798983",33590,50,130
"38.888484,121.586097","39.024260,121.798049",33240,50,129
"38.888484,121.586097","38.925329,121.653664",9990,15,36
"38.888484,121.586097","38.917967,121.588071",4600,7,19
"38.888484,121.586097","38.915395,121.587315",4190,6,18
"38.888484,121.586097","38.916217,121.594076",4420,7,19
"38.888484,121.586097","39.060618,121.786221",36120,54,140
"38.888484,121.586097","39.062198,121.785631",36260,54,141
"38.888484,121.586097","39.059808,121.783216",35780,54,139
"38.888484,121.586097","38.989145,121.588613",15670,24,58
"38.888484,121.586097","38.992868,121.596039",16290,24,61
"38.888484,121.586097","38.990811,121.587505",15930,24,59
"38.888484,121.586097","39.047905,121.757056",32310,48,125
"38.888484,121.586097","39.048170,121.758427",32450,49,125
"38.888484,121.586097","39.044176,121.754962",31700,48,122
"38.888484,121.586097","39.041751,121.768738",32530,49,126
"38.888484,121.586097","39.041341,121.767702",32390,49,125
"38.888484,121.586097","39.040917,121.770391",32570,49,126
"38.888484,121.586097","38.959673,121.589273",11090,17,40
"38.888484,121.586097","38.958780,121.583190",10950,16,39
"38.888484,121.586097","38.967063,121.586977",12230,18,45
"38.888484,121.586097","38.995540,121.591300",16680,25,62
"38.888484,121.586097","38.999721,121.588512",17320,26,65
"38.888484,121.586097","38.956570,121.545269",11700,18,42
"38.888484,121.586097","39.056256,121.802601",37000,55,144
"38.888484,121.586097","39.050654,121.798263",36010,54,140
"38.888484,121.586097","39.053149,121.807314",37070,56,144
"38.888484,121.586097","38.923264,121.647485",9200,14,33
"38.888484,121.586097","39.684875,122.973584",208130,312,828
"38.888484,121.586097","39.684888,122.973584",208130,312,828
"38.888484,121.586097","39.681414,122.974502",207900,312,827
"38.888484,121.586097","38.918846,121.609266",5500,8,22
"38.888484,121.586097","38.917240,121.605674",5070,8,21
"38.888484,121.586097","38.915248,121.606082",4820,7,20
"38.888484,121.586097","38.922517,121.658999",10300,15,37
"38.888484,121.586097","38.921810,121.659068",10250,15,37
"38.888484,121.586097","39.041850,121.769090",32570,49,126
"38.888484,121.586097","38.921271,121.663637",10690,16,38
"38.888484,121.586097","38.916700,121.635000",7380,11,28
"38.888484,121.586097","38.926167,121.658154",10520,16,38
"38.888484,121.586097","39.025601,121.800754",33630,50,130
"38.888484,121.586097","38.995769,121.596615",16750,25,63
"38.888484,121.586097","39.053873,121.801368",36630,55,142
"38.888484,121.586097","39.683257,122.974620",208080,312,828
"38.888484,121.586097","39.042053,121.768740",32560,49,126
"38.888484,121.586097","39.060497,121.786689",36140,54,140
"38.888484,121.586097","38.890100,121.587000",270,5,0
"38.888484,121.586097","38.918345,121.607532",5320,8,22
"38.888484,121.586097","38.893789,121.586821",830,10,0
"38.888484,121.586097","38.811328,121.265591",40670,61,158
"38.888484,121.586097","39.048140,121.757098",32340,49,125
"38.888484,121.586097","38.921297,121.647891",9060,14,33
"38.888484,121.586097","38.891699,121.584979",520,6,0
"38.888484,121.586097","38.987876,121.593808",15500,23,58
"38.888484,121.586097","38.918736,121.589926",4730,7,20
"38.888484,121.586097","38.960278,121.590535",11190,17,40
"38.888484,121.586097","38.964154,121.542585",12900,19,47
"38.888484,121.586097","43.997004,125.694951",928330,1392,3709
"38.888484,121.586097","38.959995,121.550666",11930,18,43
"38.888484,121.586097","38.280523,114.698495",843260,1265,3369
"38.888484,121.586097","37.659253,120.989481",204780,307,815
"38.888484,121.586097","43.997004,125.694951",928330,1392,3709
"38.888484,121.586097","43.911531,125.324675",895320,1343,3577
"38.888484,121.586097","39.016710,121.607299",20130,30,76
"38.888484,121.586097","38.922471,121.633200",7780,12,29
"38.888484,121.586097","41.794400,123.395147",500680,751,1998
