poi_name,latitude,longitude,address,poi_type
Zhengzhou Museum New Branch,34.739600,113.546720,,attraction
Zhengzhou Shangdu National Archaeological Site Park,34.753775,113.690498,,attraction
Erqi Memorial Hall,34.752186,113.666494,,attraction
Beilong Lake Wetland Park,34.812300,113.789100,,attraction
Zhengdong New District CBD,34.769100,113.753400,,attraction
Zijing Mountain Park,34.761890,113.687708,,attraction
Yellow River Scenic Area,34.920000,113.630000,,attraction
Zhengzhou Confucian Temple,34.748659,113.688345,,attraction
Yellow River Museum,34.871840,113.677764,,attraction
Huiji Bridge Ruins Park,34.892354,113.585469,,attraction
Han Feng Yuan BBQ and Hot Pot Buffet Restaurant (Asia Joy City Branch),34.751785,113.667704,,restaurant
Yuehai Hotel Xuan Palace Western Restaurant (Erqi Square),34.749629,113.667658,,restaurant
Yuehai Hotel - Yuehai Pavilion Chinese Restaurant,34.749142,113.667796,,restaurant
Huya Fried Chicken (Henan Zhengzhou Erqi MixC Branch),34.754815,113.662798,,restaurant
Jixu Folk Music Barbecue Restaurant (Zhengzhou Guangcai Branch),34.755287,113.669676,,restaurant
Green Tea Restaurant (Zhengzhou MixC Mall Branch),34.754667,113.662403,,restaurant
Zhengzhou Zhengbai Restaurant (Zhengzhou Department Store Branch),34.756286,113.668080,,restaurant
Route 5 Steakhouse (David City Branch),34.756777,113.666316,,restaurant
Mao Zhangzhang Oil Braised Skewers (Guomao 360 Branch),34.783597,113.675687,,restaurant
Manyu (Dennis David Plaza Branch),34.756848,113.666241,,restaurant
Xiao Ziwei Restaurant,34.740996,113.539988,,restaurant
Zhengzhou Olympic Sports Jianguo Hotel - Seafood Buffet Restaurant,34.739770,113.537534,,restaurant
Zhengdi Olympic Sports Jianguo Hotel All-Day Dining Restaurant,34.740659,113.537609,,restaurant
Jiuguo Restaurant,34.739579,113.561973,,restaurant
Peony Restaurant (Yier Hotel Management Company),34.739995,113.562140,,restaurant
M Art Restaurant Qidesheng Beef Noodles,34.739800,113.563173,,restaurant
Waku No. 50 (Kaixuan Road Branch),34.740377,113.563327,,restaurant
