origin_city,destination_city,dep_date,dep_station_code,dep_station_name,arr_station_code,arr_station_name,dep_datetime,arr_datetime,duration,train_no,train_type,seat_class,seat_status,price,segment_index,route_index
Wuhan,Hangzhou,2025-11-12,HKN,Hankou Station,HGH,Hangzhou East Station,2025-11-12 06:43:00,2025-11-12 11:12:00,269,D2198,Electric Multiple Unit,Second Class Seat,Sufficient,295,1,570
Wuhan,Hangzhou,2025-11-12,WHN,Wuhan Station,HGH,Hangzhou East Station,2025-11-12 09:10:00,2025-11-12 13:31:00,261,G584,High-Speed Train,Second Class Seat,Sufficient,344,1,594
Wuhan,Hangzhou,2025-11-12,WCN,Wuchang Station,HZH,Hangzhou Station,2025-11-12 11:02:00,2025-11-12 21:47:00,645,K531,Regular Train,Hard Seat,Sufficient,112,1,571
Wuhan,Hangzhou,2025-11-12,HKN,Hankou Station,ECH,Xuancheng Station,2025-11-12 18:56:00,2025-11-12 22:10:00,194,G3264,High-Speed Train,Second Class Seat,Sufficient,303,1,579
Wuhan,Hangzhou,2025-11-12,ECH,Xuancheng Station,HGH,Hangzhou East Station,2025-11-12 22:26:00,2025-11-12 23:26:00,60,G1873,High-Speed Train,Second Class Seat,Sufficient,303,2,579
Wuhan,Hangzhou,2025-11-12,WHN,Wuhan Station,HVU,Hangzhou West Station,2025-11-12 13:30:00,2025-11-12 18:37:00,307,G1445,High-Speed Train,Second Class Seat,Sufficient,360,1,599
Wuhan,Hangzhou,2025-11-12,WHN,Wuhan Station,NKH,Nanjing South Station,2025-11-12 13:54:00,2025-11-12 16:32:00,158,G1444,High-Speed Train,Second Class Seat,Sufficient,317,1,589
Wuhan,Hangzhou,2025-11-12,NKH,Nanjing South Station,HVU,Hangzhou West Station,2025-11-12 17:03:00,2025-11-12 18:21:00,78,G593,High-Speed Train,Second Class Seat,Sufficient,317,2,589
Wuhan,Hangzhou,2025-11-12,WHN,Wuhan Station,ENH,Hefei South Station,2025-11-12 13:54:00,2025-11-12 15:34:00,100,G1444,High-Speed Train,Second Class Seat,Sufficient,327,1,578
Wuhan,Hangzhou,2025-11-12,ENH,Hefei South Station,HGH,Hangzhou East Station,2025-11-12 15:49:00,2025-11-12 17:42:00,113,G1959,High-Speed Train,Second Class Seat,Sufficient,327,2,578
Wuhan,Hangzhou,2025-11-12,WHN,Wuhan Station,HGH,Hangzhou East Station,2025-11-12 12:10:00,2025-11-12 16:07:00,237,G1792,High-Speed Train,Second Class Seat,Sufficient,344,1,592
Wuhan,Hangzhou,2025-11-12,WHN,Wuhan Station,HVU,Hangzhou West Station,2025-11-12 13:54:00,2025-11-12 17:59:00,245,G1444,High-Speed Train,Second Class Seat,Sufficient,326,1,586
Wuhan,Hangzhou,2025-11-12,WHN,Wuhan Station,HGH,Hangzhou East Station,2025-11-12 09:18:00,2025-11-12 14:35:00,317,G2351,High-Speed Train,Second Class Seat,Sufficient,381,1,600
Hangzhou,Wuhan,2025-11-18,HGH,Hangzhou East Station,UAH,Lu'an Station,2025-11-18 10:20:00,2025-11-18 13:14:00,174,D2246,Electric Multiple Unit,Second Class Seat,Sufficient,296,1,614
Hangzhou,Wuhan,2025-11-18,UAH,Lu'an Station,WHN,Wuhan Station,2025-11-18 13:47:00,2025-11-18 15:16:00,89,G1427,High-Speed Train,Second Class Seat,Sufficient,296,2,614
Hangzhou,Wuhan,2025-11-18,HVU,Hangzhou West Station,HKN,Hankou Station,2025-11-18 16:13:00,2025-11-18 20:56:00,283,D2192,Electric Multiple Unit,Second Class Seat,Sufficient,297,1,617
Hangzhou,Wuhan,2025-11-18,XHH,Hangzhou South Station,WHN,Wuhan Station,2025-11-18 18:25:00,2025-11-18 23:15:00,290,G2352,High-Speed Train,Second Class Seat,Sufficient,390,1,636
