origin_city,destination_city,dep_date,dep_station_code,dep_station_name,arr_station_code,arr_station_name,dep_datetime,arr_datetime,duration,flight_no,airline,seat_class,seat_status,equip_type,equip_size,manufacturer,price,segment_index,route_index
Nanning,Chongqing,2025-11-12,NNG,Wuxu Airport,CKG,Jiangbei International Airport,2025-11-12 08:00:00,2025-11-12 09:45:00,105,CZ6797,China Southern Airlines,Economy Class,Sufficient,737,Medium Aircraft,Boeing,370,1,150
Nanning,Chongqing,2025-11-12,NNG,Wuxu Airport,CKG,Jiangbei International Airport,2025-11-12 21:30:00,2025-11-12 23:10:00,100,CA3527,Air China,Economy Class,Sufficient,737,Medium Aircraft,Boeing,480,1,154
Nanning,Chongqing,2025-11-12,NNG,Wuxu Airport,CKG,Jiangbei International Airport,2025-11-12 21:30:00,2025-11-12 23:39:00,129,ZH9381,Shenzhen Airlines,Economy Class,Sufficient,737,Medium Aircraft,Boeing,450,1,152
Nanning,Chongqing,2025-11-12,NNG,Wuxu Airport,CAN,Baiyun International Airport,2025-11-12 07:20:00,2025-11-12 08:30:00,70,CZ3291,China Southern Airlines,Economy Class,Sufficient,737,Medium Aircraft,Boeing,2910,1,158
Nanning,Chongqing,2025-11-12,CAN,Baiyun International Airport,CKG,Jiangbei International Airport,2025-11-12 10:10:00,2025-11-12 12:10:00,120,3U8746,Sichuan Airlines,公务舱,Sufficient,320,Medium Aircraft,Airbus,2910,2,158
Nanning,Chongqing,2025-11-12,NNG,Wuxu Airport,KMG,Changshui Airport,2025-11-12 11:10:00,2025-11-12 12:45:00,95,MU9746,China Eastern Airlines,Economy Class,Sufficient,737-800,Medium Aircraft,Boeing,574,1,155
Nanning,Chongqing,2025-11-12,KMG,Changshui Airport,CKG,Jiangbei International Airport,2025-11-12 22:20:00,2025-11-12 23:50:00,90,MU5450,China Eastern Airlines,Economy Class,Sufficient,320,Medium Aircraft,Airbus,574,2,155
Nanning,Chongqing,2025-11-12,NNG,Wuxu Airport,CKG,Jiangbei International Airport,2025-11-12 08:00:00,2025-11-12 09:45:00,105,3U1827,Sichuan Airlines,Economy Class,Sufficient,737,Medium Aircraft,Boeing,390,1,151
Nanning,Chongqing,2025-11-12,NNG,Wuxu Airport,CKG,Jiangbei International Airport,2025-11-12 21:30:00,2025-11-12 23:34:00,124,KY9351,Kunming Airlines,Economy Class,Sufficient,737,Medium Aircraft,Boeing,476,1,153
Chongqing,Nanning,2025-11-14,CKG,Jiangbei International Airport,NNG,Wuxu Airport,2025-11-14 06:55:00,2025-11-14 08:45:00,110,EU7269,Chengdu Airlines,Economy Class,Sufficient,320,Medium Aircraft,Airbus,400,1,160
Chongqing,Nanning,2025-11-14,CKG,Jiangbei International Airport,NNG,Wuxu Airport,2025-11-14 08:15:00,2025-11-14 09:55:00,100,G56102,China Express Airlines,Economy Class,Sufficient,737,Medium Aircraft,Boeing,410,1,161
Chongqing,Nanning,2025-11-14,CKG,Jiangbei International Airport,CAN,Baiyun International Airport,2025-11-14 17:10:00,2025-11-14 19:15:00,125,CZ3464,China Southern Airlines,超级经济舱,Sufficient,321,Medium Aircraft,Airbus,2518,1,168
Chongqing,Nanning,2025-11-14,CAN,Baiyun International Airport,NNG,Wuxu Airport,2025-11-14 20:50:00,2025-11-14 22:35:00,105,CZ3296,China Southern Airlines,Economy Class,Sufficient,737,Medium Aircraft,Boeing,2518,2,168
Chongqing,Nanning,2025-11-14,CKG,Jiangbei International Airport,NNG,Wuxu Airport,2025-11-14 21:10:00,2025-11-14 22:50:00,100,3U1828,Sichuan Airlines,Economy Class,Sufficient,737,Medium Aircraft,Boeing,490,1,164
Chongqing,Nanning,2025-11-14,CKG,Jiangbei International Airport,NNG,Wuxu Airport,2025-11-14 06:55:00,2025-11-14 08:45:00,110,3U8137,Sichuan Airlines,Economy Class,Sufficient,320,Medium Aircraft,Airbus,360,1,159
Chongqing,Nanning,2025-11-14,CKG,Jiangbei International Airport,NNG,Wuxu Airport,2025-11-14 08:15:00,2025-11-14 09:55:00,100,CA3528,Air China,Economy Class,Sufficient,737,Medium Aircraft,Boeing,410,1,162
Chongqing,Nanning,2025-11-14,CKG,Jiangbei International Airport,JUZ,Quzhou Airport,2025-11-14 13:30:00,2025-11-14 15:40:00,130,G54855D,China Express Airlines,Economy Class,Sufficient,321,Medium Aircraft,Airbus,350,1,165
Chongqing,Nanning,2025-11-14,JUZ,Quzhou Airport,NNG,Wuxu Airport,2025-11-14 17:35:00,2025-11-14 20:05:00,150,G54855D,China Express Airlines,Economy Class,Sufficient,CRJ900,Small Aircraft,Bombardier,350,2,165
Chongqing,Nanning,2025-11-14,CKG,Jiangbei International Airport,NNG,Wuxu Airport,2025-11-14 21:10:00,2025-11-14 22:50:00,100,CZ6798,China Southern Airlines,Economy Class,Sufficient,737,Medium Aircraft,Boeing,489,1,163
