city,name,address,latitude,longitude,decoration_time,hotel_star,price,score,brand,services
Hangzhou,Hangzhou Oriental Residence · Huanglong Hotel,"No. 88 Minxin Road, Qianjiang New City, Hangzhou.",30.250852,120.220090,2015,5,543,4.8,,Gym;Washer and Dryer
Hangzhou,Home Inn - Hangzhou East Railway Station Arrival Hall Branch,"Shop A06, Basement Level 1, East Square, Arrival Hall, Hangzhou East Railway Station.",30.291855,120.215940,2016,2,154,4.1,Home Inn,Free Parking;Washer and Dryer;TV Casting
Hangzhou,Hilton Garden Inn Hangzhou Luniao,"No. 8 Xunli Street, Luniu Town.",30.469522,119.769431,2017,5,394,4.5,Hilton,SPA Service;Free Parking;Robot Service;TV Casting
Hangzhou,Ji Hotel Hangzhou South Railway Station,"No. 98 Shangcheng North Road, Xiaoshan District, Hangzhou, Zhejiang Province (next to the West Square of South Railway Station).",30.173400,120.292000,2019,3,256,4.8,Ji Hotel,SPA Service;Robot Service;Swimming Pool
Hangzhou,InterContinental Hangzhou Liangzhu,No. 18 Yuniao Street.,30.362351,120.058265,2022,5,1059,4.8,,Gym;Robot Service;TV Casting
Hangzhou,Orange Hotel (Hangzhou Songcheng Branch),"Building 1, Changjiu Center, Zhijiang, Zhuantang Street, Xihu District, Hangzhou, China.",30.167198,120.103127,2024,3,297,4.8,Orange Hotel,Gym;Swimming Pool;Washer and Dryer
Hangzhou,Orange Hotel Hangzhou West Lake,No. 5 Puti Temple.,30.256100,120.165000,2019,3,306,4.7,Orange Hotel,Gym;Robot Service;Swimming Pool;TV Casting
Hangzhou,Orange Hotel Hangzhou Xiaoshan Binkang Road Metro Station,"Rongxing Mingzuo, Comprehensive Service Building of Rongxing Junjia Garden, No. 1696 Jinhui Road, Rongxing Village, Intersection of Xiaoyou Road and Hengyi Road, Beigan Street.",30.187200,120.237000,2022,3,411,4.9,Orange Hotel,SPA Service;Gym;Robot Service
Hangzhou,Jinjiang Inn (Hangzhou Huafeng Road Metro Station Branch),"No. 168 Huaxi Road, Gongshu District, Hangzhou, Zhejiang Province.",30.336458,120.197730,2025,2,235,4.7,Jinjiang Inn,Gym;Free Parking;TV Casting
Hangzhou,Radisson Resort Hangzhou Lin'an Qingshan Lake,"No. 1608 Wushan Street, Jincheng Street, Lin'an District, Hangzhou, Zhejiang Province.",30.234250,119.769275,2023,5,440,4.5,,SPA Service;Free Parking;Washer and Dryer;TV Casting
Hangzhou,Hampton by Hilton Hangzhou East Railway Station,"No. 326 Qiutao North Road, Hangzhou, Zhejiang Province, China.",30.290085,120.198351,2024,4,552,4.8,Hilton,Gym;Free Parking
Hangzhou,Ji Hotel Hangzhou Lin'an People's Square,"No. 898 Qianwang Street, Jincheng Street, Lin'an District, Hangzhou.",30.224400,119.710000,2020,3,305,4.8,Ji Hotel,Gym;Swimming Pool
Hangzhou,Hangzhou Star Sea Grand New Century Hotel,"Lvyin Street, Tangqi, near Shimu Road.",30.473480,120.196022,2018,5,320,4.3,,SPA Service;Gym;Free Parking;Swimming Pool
Hangzhou,Anmu Hotel (Hangzhou Yunqi Town Convention and Exhibition Center Branch),"Inside Zhijiang Development Building, Fushan Road, Zhuantang Street, adjacent to Alibaba Cloud Computing Center, near the main venue of Yunqi Conference.",30.134343,120.087373,2018,4,213,4.6,,Robot Service;Washer and Dryer;TV Casting
Hangzhou,Fairfield by Marriott Hangzhou Yuhang,"No. 365 Fengxin Road, Yuhang Street, Yuhang District, Hangzhou, Zhejiang Province.",30.260256,119.951895,2024,4,414,4.8,Marriott,Gym;TV Casting
Hangzhou,Orange Hotel Hangzhou Cultural and Sports Center Xixi Wetland,"No. 738 Wen'er West Road, Xihu District.",30.281383,120.079410,2019,3,305,4.8,Orange Hotel,SPA Service;Free Parking
Hangzhou,Orange Hotel Hangzhou Zhejiang University Zijin Port,"Part of the first floor, and floors 2-6, Wangyue Club, Zijinhua North Road, Sandun Town.",30.311759,120.090736,2025,3,367,4.5,Orange Hotel,SPA Service;Robot Service;Washer and Dryer;TV Casting
Hangzhou,Home Inn NEO - Hangzhou Wulin Square Chaohui Road Canal Branch,"Building 11, Liushui Dongyuan, Gongshu District, Hangzhou.",30.277893,120.184128,2018,2,150,4.2,Home Inn,Gym;Washer and Dryer
Hangzhou,Hangzhou West Lake Yiting Garden Hotel,"Building 5, Lansheng Jihong Commercial Complex, No. 36 Xinran Street, Sandun Town, Xihu District, Hangzhou (inside Zijin Dream Plaza).",30.328002,120.066380,2023,4,211,4.8,,SPA Service;Robot Service
