restaurant_name,city,latitude,longitude,price_per_person,cuisine,opening_time,closing_time,nearby_attraction_name,nearby_attraction_coords,query_latitude,query_longitude,rating,tags
Ninety-Nine Li Tang (Wushang Mall Branch),Nanchang,28.674579,115.906129,93.0,Chinese Restaurant;Cantonese Cuisine,16:30,21:00,Bayi Square,"115.904477,28.673856",28.673856,115.904477,4.6,Private Room;Birthday Package
Tomahawk Steakhouse (Wushang Black Gold Branch),Nanchang,28.675220,115.906042,86.0,Chinese Restaurant;Chinese Restaurant,10:00,22:00,Bayi Square,"115.904477,28.673856",28.673856,115.904477,4.6,Online Queue
Fragrant Hall Old Wine Culture Restaurant,Nanchang,28.672264,115.906275,91.0,Chinese Restaurant;Chinese Restaurant,10:00,22:00,Bayi Square,"115.904477,28.673856",28.673856,115.904477,4.3,Private Room
Wang Steak (Nanchang Wushang MALL Branch),Nanchang,28.675871,115.906115,275.0,Foreign Restaurant;Western Restaurant,17:00,21:00,Bayi Square,"115.904477,28.673856",28.673856,115.904477,4.5,Outdoor Seating;Private Room
Gan Liji Master Li's Hometown Cuisine Restaurant,Nanchang,28.672485,115.907045,68.0,Chinese Restaurant;Chinese Restaurant,17:00,21:00,Bayi Square,"115.904477,28.673856",28.673856,115.904477,4.5,Must-Eat Top 10;Private Room
Green Tea Restaurant (Nanchang Wushang MALL Branch),Nanchang,28.676333,115.906425,60.0,Chinese Restaurant;Chinese Restaurant,10:00,22:00,Bayi Square,"115.904477,28.673856",28.673856,115.904477,4.5,Private Room;Birthday Package
Shangnanyu·Creative Cuisine (Bayi Square Branch),Nanchang,28.671330,115.906420,98.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Bayi Square,"115.904477,28.673856",28.673856,115.904477,4.8,Private Room
Hongyun Restaurant,Nanchang,28.674872,115.901171,100.0,Chinese Restaurant;Chinese Restaurant,17:00,23:00,Bayi Square,"115.904477,28.673856",28.673856,115.904477,4.5,Private Room;Waiting Area
Yudingxian (Bayi Wanda Plaza Branch),Nanchang,28.676963,115.904122,52.0,Chinese Restaurant;Chinese Restaurant,10:00,22:00,Bayi Square,"115.904477,28.673856",28.673856,115.904477,4.2,Waiting Area
Halal Yihaocha Huihui Tea Restaurant,Nanchang,28.676483,115.902380,21.0,Fast Food Restaurant;Fast Food Restaurant,11:00,21:00,Bayi Square,"115.904477,28.673856",28.673856,115.904477,4.4,Outdoor Seating;Birthday Package
Jinfeng Grand Hotel Chinese Restaurant,Nanchang,28.661546,115.898490,51.0,Chinese Restaurant;Chinese Restaurant|Cafe;Cafe,17:00,20:30,Shengjin Pagoda,"115.899890,28.660962",28.660962,115.899890,4.2,Must-Eat Top 10;Outdoor Seating
Taoxiansheng Seafood Restaurant (Zhanqian West Road Branch),Nanchang,28.661934,115.897709,84.0,Chinese Restaurant;Seafood Restaurant,16:30,21:30,Shengjin Pagoda,"115.899890,28.660962",28.660962,115.899890,3.9,Must-Eat Top 10;Online Queue
Three Cups Li Bai Self-Singing Skewer Music Bar,Nanchang,28.658558,115.902303,59.0,Entertainment Venue;Bar|Chinese Restaurant;Hot Pot,18:00,02:00,Shengjin Pagoda,"115.899890,28.660962",28.660962,115.899890,4.3,Must-Eat Top 10
Little Ou's Boiled Dishes (Huitang Road Branch),Nanchang,28.660188,115.903966,100.0,Chinese Restaurant;Chinese Restaurant,11:30,23:30,Shengjin Pagoda,"115.899890,28.660962",28.660962,115.899890,4.6,Private Room;Birthday Package
Sister Cheng's Small Restaurant,Nanchang,28.659128,115.904257,24.0,Chinese Restaurant;Chinese Restaurant,10:00,21:00,Shengjin Pagoda,"115.899890,28.660962",28.660962,115.899890,4.2,Must-Eat Top 10;Outdoor Seating
Fangfang Restaurant (Qianjin Road Branch),Nanchang,28.656660,115.899740,100.0,Chinese Restaurant;Chinese Restaurant,09:00,22:00,Shengjin Pagoda,"115.899890,28.660962",28.660962,115.899890,4.2,Waiting Area;Birthday Package
Longjiang Braised Pork Rice & BBQ Restaurant (Chuanshan Road Branch),Nanchang,28.664218,115.895622,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Shengjin Pagoda,"115.899890,28.660962",28.660962,115.899890,3.8,Waiting Area;Birthday Package
Peach Garden Restaurant,Nanchang,28.658065,115.893862,48.0,Chinese Restaurant;Chinese Restaurant,09:00,21:00,Shengjin Pagoda,"115.899890,28.660962",28.660962,115.899890,4.1,Private Room
Fushan Restaurant,Nanchang,28.664901,115.905641,61.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Shengjin Pagoda,"115.899890,28.660962",28.660962,115.899890,3.8,Outdoor Seating
Hundred Family Restaurant (Hualong International Building Branch),Nanchang,28.664593,115.906351,100.0,Fast Food Restaurant;Fast Food Restaurant,09:00,21:00,Shengjin Pagoda,"115.899890,28.660962",28.660962,115.899890,4.1,Must-Eat Top 10
Lakeside Elegant Courtyard (Bayi Park Branch),Nanchang,28.678681,115.898637,60.0,Food Service Related;Food Service Related,10:30,21:00,Bayi Park,"115.897626,28.678562",28.678562,115.897626,4.7,Outdoor Seating;Online Queue
Little Oriental Restaurant (Supu Road),Nanchang,28.679128,115.898794,62.0,Chinese Restaurant;Local Specialty Restaurant,09:00,21:00,Bayi Park,"115.897626,28.678562",28.678562,115.897626,4.2,Must-Eat Top 10
Nutrition Restaurant,Nanchang,28.678368,115.893321,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Bayi Park,"115.897626,28.678562",28.678562,115.897626,3.6,Outdoor Seating
Hu Ji Stir-Fry,Nanchang,28.674702,115.896701,53.0,Chinese Restaurant;Chinese Restaurant,17:00,20:30,Bayi Park,"115.897626,28.678562",28.678562,115.897626,4.3,Outdoor Seating
Gan Style Restaurant,Nanchang,28.674375,115.897175,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Bayi Park,"115.897626,28.678562",28.678562,115.897626,0.2,Private Room;Waiting Area
