origin,destination,distance_meters,duration_minutes,cost
"32.054508,118.854097","32.051926,118.840463",1840,22,0
"32.054508,118.854097","32.045458,118.846557",1720,21,0
"32.054508,118.854097","32.020660,118.788899",10090,15,36
"32.054508,118.854097","32.069455,118.812688",5940,9,23
"32.054508,118.854097","32.067825,118.777783",10280,15,37
"32.054508,118.854097","31.995131,118.703146",21960,33,83
"32.054508,118.854097","32.036390,118.744814",14690,22,54
"32.054508,118.854097","32.041500,118.788055",8950,13,32
"32.054508,118.854097","32.039213,118.796070",8020,12,30
"32.054508,118.854097","32.049053,118.850510",970,12,0
"32.054508,118.854097","32.058352,118.847527",1050,13,0
"32.054508,118.854097","32.058378,118.847167",1090,13,0
"32.054508,118.854097","32.053088,118.840329",1830,22,0
"32.054508,118.854097","32.041985,118.849227",2050,5,12
"32.054508,118.854097","32.043804,118.840376",2460,5,13
"32.054508,118.854097","32.042471,118.841831",2480,5,13
"32.054508,118.854097","32.042886,118.840991",2500,5,13
"32.054508,118.854097","32.037885,118.850974",2620,5,13
"32.054508,118.854097","32.037985,118.850289",2620,5,13
"32.054508,118.854097","32.053020,118.826593",3640,5,17
"32.054508,118.854097","32.040970,118.834915",3290,5,15
"32.054508,118.854097","32.052922,118.826357",3670,6,17
"32.054508,118.854097","32.038346,118.840115",3120,5,15
"32.054508,118.854097","32.036269,118.853232",2840,5,14
"32.054508,118.854097","32.042545,118.798838",7530,11,28
"32.054508,118.854097","32.020352,118.789761",10020,15,36
"32.054508,118.854097","32.020275,118.790175",9980,15,36
"32.054508,118.854097","32.021861,118.789212",9960,15,35
"32.054508,118.854097","32.019013,118.790272",10070,15,36
"32.054508,118.854097","32.021395,118.791283",9760,15,35
"32.054508,118.854097","32.020696,118.786196",10390,16,37
"32.054508,118.854097","32.022689,118.787481",10090,15,36
"32.054508,118.854097","32.021996,118.791824",9650,14,35
"32.054508,118.854097","32.023204,118.787265",10080,15,36
"32.054508,118.854097","32.022530,118.786194",10250,15,37
"32.054508,118.854097","32.032508,118.743635",14970,22,55
"32.054508,118.854097","32.033003,118.737038",15810,24,59
"32.054508,118.854097","32.037808,118.747551",14300,21,53
"32.054508,118.854097","32.031013,118.738209",15720,24,58
"32.054508,118.854097","32.032169,118.736831",15860,24,59
"32.054508,118.854097","32.030694,118.738053",15760,24,59
"32.054508,118.854097","32.037366,118.735959",15820,24,59
"32.054508,118.854097","32.037663,118.735970",15810,24,59
"32.054508,118.854097","32.037628,118.735845",15820,24,59
"32.054508,118.854097","32.037600,118.735407",15880,24,59
"32.054508,118.854097","32.066600,118.813012",5740,9,23
"32.054508,118.854097","32.068443,118.808893",6350,10,25
"32.054508,118.854097","32.072880,118.812323",6210,9,24
"32.054508,118.854097","32.065951,118.813648",5630,8,22
"32.054508,118.854097","32.065844,118.813334",5660,8,23
"32.054508,118.854097","32.065749,118.812922",5710,9,23
"32.054508,118.854097","32.066370,118.815739",5390,8,22
"32.054508,118.854097","32.073502,118.814071",6050,9,24
"32.054508,118.854097","32.065167,118.813406",5620,8,22
"32.054508,118.854097","32.067685,118.817973",5190,8,21
"32.054508,118.854097","32.067708,118.777860",10270,15,37
"32.054508,118.854097","32.068005,118.778377",10210,15,36
"32.054508,118.854097","32.068328,118.777251",10360,16,37
"32.054508,118.854097","32.068635,118.777723",10310,15,37
"32.054508,118.854097","32.068108,118.776615",10440,16,37
"32.054508,118.854097","32.068922,118.777773",10320,15,37
