city,name,address,latitude,longitude,decoration_time,hotel_star,price,score,brand
Chengdu,Home Inn - Chengdu Chunxi Taisheng North Road Branch,"No. 9, Da'an Middle Road, Qingyang District, Chengdu, Sichuan Province (near Wenshu Monastery business circle)",30.672610,104.082869,2018,2,100,4.2,Home Inn
Chengdu,Chengdu Taihe International Hotel (Chunxi Road Taikoo Li Branch),"No. 15, Binjiang Middle Road",30.647345,104.068740,2014,5,356,4.7,
Chengdu,Atour Hotel Chengdu New Exhibition Zhangjiasi Metro Station,"No. 11, Zhonghe Second Street, High-Tech Zone, Chengdu",30.547299,104.090108,2024,4,376,4.4,Atour Hotel
Chengdu,Hanting Hotel (Chengdu Wenshu Monastery Metro Station Branch),"No. 29, Luoyang Road, Qingyang District, Chengdu",30.673888,104.067744,2024,2,296,4.9,Hanting Hotel
Chengdu,Hanting Hotel Chengdu Longquanyi Dong'an Lake Branch,"No. 12, 1st Floor, Building 11, No. 300, Anyi Street, Dong'an Subdistrict, Longquanyi District, Chengdu, Sichuan Province",30.574098,104.246914,2024,3,238,4.8,Hanting Hotel
Chengdu,Hanting Hotel (Chengdu Taikoo Li Chunxi Road Pedestrian Street Branch),"No. 69, Qingnian Road, Jinjiang District, Chengdu",30.657104,104.071766,2025,3,390,4.5,Hanting Hotel
Chengdu,Home Inn·Neo - Chengdu Chunxi Road Taikoo Li Shuyuan Street Branch,"No. 75, Shuyuan West Street, Jinjiang District, Chengdu",30.657916,104.085323,2019,2,260,4.8,Home Inn
Chengdu,Jinjiang Inn Chengdu Du Fu Thatched Cottage Hotel,"No. 17, Baihua West Road (opposite Fanglin Road, Section 1, West First Ring Road)",30.655413,104.038312,2019,2,159,4.2,Jinjiang Inn
Chengdu,Chengdu Qiyashang International Hotel (Kuanzhai Alley Branch),"No. 18, Jinyu Street, Jinniu District, Chengdu",30.682246,104.040873,2017,5,250,4.8,
Chengdu,Vienna International Hotel (5.0 Edition Chengdu Chunxi Road Taikoo Li Branch),"No. 92, Yusha Road, Jinjiang District, Chengdu",30.665621,104.082409,2020,3,334,4.7,
Chengdu,Chanyi · Jincheng Courtyard Chengdu,"Building 3, No. 42, Shuxi Road, High-Tech Industrial Park",30.714246,103.991585,2019,5,377,3.9,
Chengdu,Atour Hotel Chengdu Chunxi Road Taisheng South Road Metro Station,"No. 52, Dongyulong Street, Jinjiang District, Chengdu",30.664720,104.080344,2024,4,466,4.3,Atour Hotel
