origin_city,destination_city,dep_date,dep_station_code,dep_station_name,arr_station_code,arr_station_name,dep_datetime,arr_datetime,duration,flight_no,airline,seat_class,seat_status,equip_type,equip_size,manufacturer,price,segment_index,route_index
Harbin,Dalian,2025-11-12,HRB,Taiping International Airport,SJW,Zhengding International Airport,2025-11-12 13:50:00,2025-11-12 16:20:00,150,8L9556,Hainan Airlines｜Lucky Air,Economy Class,Sufficient,737,Medium Aircraft,Boeing,519,1,9
Harbin,Dalian,2025-11-12,SJW,Zhengding International Airport,DLC,Zhoushuizi Airport,2025-11-12 19:10:00,2025-11-12 20:35:00,85,9C6116,Spring Airlines,Economy Class,Sufficient,320,Medium Aircraft,Airbus,519,2,9
Harbin,Dalian,2025-11-12,HRB,Taiping International Airport,PEK,Capital International Airport,2025-11-12 08:30:00,2025-11-12 10:40:00,130,CA1640,Air China,Economy Class,Sufficient,737,Medium Aircraft,Boeing,1454,1,11
Harbin,Dalian,2025-11-12,PEK,Capital International Airport,DLC,Zhoushuizi Airport,2025-11-12 11:40:00,2025-11-12 13:00:00,80,CA8904,Air China,Economy Class,Sufficient,737,Medium Aircraft,Boeing,1454,2,11
Dalian,Harbin,2025-11-13,DLC,Zhoushuizi Airport,PEK,Capital International Airport,2025-11-13 14:00:00,2025-11-13 15:20:00,80,CA8905,Air China,Economy Class,Sufficient,737,Medium Aircraft,Boeing,393,1,15
Dalian,Harbin,2025-11-13,PEK,Capital International Airport,HRB,Taiping International Airport,2025-11-13 20:45:00,2025-11-13 22:25:00,100,CA1639,Air China,Economy Class,Sufficient,737,Medium Aircraft,Boeing,393,2,15
Dalian,Harbin,2025-11-13,DLC,Zhoushuizi Airport,PEK,Capital International Airport,2025-11-13 14:00:00,2025-11-13 15:20:00,80,CA8905,Air China,Economy Class,Sufficient,737,Medium Aircraft,Boeing,393,1,13
Dalian,Harbin,2025-11-13,PEK,Capital International Airport,HRB,Taiping International Airport,2025-11-13 19:20:00,2025-11-13 21:10:00,110,CA1641,Air China,Economy Class,Sufficient,320,Medium Aircraft,Airbus,393,2,13
Dalian,Harbin,2025-11-13,DLC,Zhoushuizi Airport,PEK,Capital International Airport,2025-11-13 13:00:00,2025-11-13 14:25:00,85,CA8909,Air China,Economy Class,Sufficient,737,Medium Aircraft,Boeing,393,1,14
Dalian,Harbin,2025-11-13,PEK,Capital International Airport,HRB,Taiping International Airport,2025-11-13 19:20:00,2025-11-13 21:10:00,110,CA1641,Air China,Economy Class,Sufficient,320,Medium Aircraft,Airbus,393,2,14
Dalian,Harbin,2025-11-13,DLC,Zhoushuizi Airport,PKX,Daxing International Airport,2025-11-13 19:35:00,2025-11-13 20:55:00,80,CZ6133,China Southern Airlines,Economy Class,Sufficient,320,Medium Aircraft,Airbus,610,1,16
Dalian,Harbin,2025-11-13,PKX,Daxing International Airport,HRB,Taiping International Airport,2025-11-13 21:50:00,2025-11-13 23:55:00,125,CZ6202,China Southern Airlines,Economy Class,Sufficient,320,Medium Aircraft,Airbus,610,2,16
