restaurant_name,city,latitude,longitude,price_per_person,cuisine,opening_time,closing_time,nearby_attraction_name,nearby_attraction_coords,query_latitude,query_longitude,rating
Xin Rong Ji (BFC Bund Financial Center Branch),Shanghai,31.227300,121.497666,781.0,Chinese Restaurant;Zhejiang Cuisine,17:30,20:30,Huangpu River Cruise,"121.498369,31.227636",31.227636,121.498369,4.6
Shanghai Bund Restaurant (BFC Bund Financial Center Store),Shanghai,31.227219,121.497657,714.0,Chinese Restaurant;Zhejiang Cuisine,17:00,21:00,Huangpu River Cruise,"121.498369,31.227636",31.227636,121.498369,4.8
DA VITTORIO SHANGHAI,Shanghai,31.227327,121.497532,2315.0,Foreign Restaurant;Western Restaurant,18:00,21:30,Huangpu River Cruise,"121.498369,31.227636",31.227636,121.498369,4.6
Dongfadao Tea Ice Room (BFC Bund Financial Center Branch),Shanghai,31.227591,121.497309,66.0,Chinese Restaurant;Cantonese Cuisine,10:30,21:00,Huangpu River Cruise,"121.498369,31.227636",31.227636,121.498369,4.5
Encounter Bund (BFC Bund Financial Center Store),Shanghai,31.226455,121.498458,759.0,Chinese Restaurant;Fujian Cuisine,17:30,21:00,Huangpu River Cruise,"121.498369,31.227636",31.227636,121.498369,4.6
PUTIEN (Bund Financial Center Branch),Shanghai,31.226065,121.497799,100.0,Chinese Restaurant;Fujian Cuisine|Accommodation Related;Accommodation Related,17:00,21:30,Huangpu River Cruise,"121.498369,31.227636",31.227636,121.498369,4.4
MOON N BACK Farm Restaurant,Shanghai,31.225721,121.498254,171.0,Foreign Restaurant;Foreign Restaurant,11:30,22:00,Huangpu River Cruise,"121.498369,31.227636",31.227636,121.498369,4.6
Shanghai Bund Indigo Hotel·Quay Riverside Restaurant (Zhongshan East Second Road Branch),Shanghai,31.226183,121.500038,200.0,Food Service Related;Food Service Related,06:30,22:30,Huangpu River Cruise,"121.498369,31.227636",31.227636,121.498369,4.3
Shanghai Bund Indigo Hotel · CHAR Restaurant,Shanghai,31.226125,121.500094,701.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Huangpu River Cruise,"121.498369,31.227636",31.227636,121.498369,3.9
Pier 16 No. 3 Cruise Terminal Waterfront Buffet Restaurant,Shanghai,31.225600,121.501144,283.0,Chinese Restaurant;Chinese Restaurant,07:30,23:30,Huangpu River Cruise,"121.498369,31.227636",31.227636,121.498369,3.9
Justgrapes Wine Bar (Anfu Road Branch),Shanghai,31.214333,121.444635,122.0,Foreign Restaurant;Western Restaurant,10:00,23:00,Anfu Road,"121.444314,31.214156",31.214156,121.444314,4.5
Alimentari (Anfu Road Branch),Shanghai,31.214373,121.444793,125.0,Chinese Restaurant;Chinese Restaurant,09:00,23:30,Anfu Road,"121.444314,31.214156",31.214156,121.444314,4.7
The Garden Restaurant · Western Cuisine,Shanghai,31.215012,121.444771,100.0,Entertainment Venue;Bar|Foreign Restaurant;Foreign Restaurant,10:30,24:00,Anfu Road,"121.444314,31.214156",31.214156,121.444314,4.2
MoneyShops (Wulumuqi Middle Road Branch),Shanghai,31.215293,121.444450,100.0,Foreign Restaurant;Western Restaurant,08:00,22:00,Anfu Road,"121.444314,31.214156",31.214156,121.444314,4.7
Bella Napoli Italian Restaurant (Changle Road Branch),Shanghai,31.216157,121.445306,100.0,Foreign Restaurant;Italian Restaurant,11:00,21:00,Anfu Road,"121.444314,31.214156",31.214156,121.444314,3.6
Zhongjie Hong Kong-Style Handcrafted Lemon Tea (Wulumuqi Middle Road Branch),Shanghai,31.212119,121.445999,100.0,Food Service Related;Food Service Related,11:00,21:00,Anfu Road,"121.444314,31.214156",31.214156,121.444314,3.4
Golden Sparrow Chinese Restaurant (Wuzhong Branch),Shanghai,31.211970,121.446373,86.0,Chinese Restaurant;Cantonese Cuisine,11:00,21:00,Anfu Road,"121.444314,31.214156",31.214156,121.444314,4.4
He Kee Tea Restaurant (Huashan Road Branch),Shanghai,31.217165,121.444516,79.0,Fast Food Restaurant;Tea Restaurant,09:00,20:30,Anfu Road,"121.444314,31.214156",31.214156,121.444314,4.0
Wu Maoxing Authentic Noodles (Huashan Road Branch),Shanghai,31.217324,121.444922,28.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Anfu Road,"121.444314,31.214156",31.214156,121.444314,3.8
Chimido · Farm Restaurant (Wuzhong Market Branch),Shanghai,31.211302,121.446342,100.0,Chinese Restaurant;Chinese Restaurant,15:30,21:30,Anfu Road,"121.444314,31.214156",31.214156,121.444314,4.5
Xinwang Tea Restaurant (Expo Source Store),Shanghai,31.183040,121.492946,86.0,Fast Food Restaurant;Tea Restaurant,10:00,21:00,China Art Museum,"121.494740,31.184338",31.184338,121.494740,4.4
Hua Tai Financial Tower Bocheng Road Restaurant,Shanghai,31.186367,121.494851,30.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,China Art Museum,"121.494740,31.184338",31.184338,121.494740,3.9
Tsui Wah Restaurant (Expo Source Branch),Shanghai,31.184324,121.492115,98.0,Fast Food Restaurant;Tea Restaurant,08:00,21:00,China Art Museum,"121.494740,31.184338",31.184338,121.494740,4.6
Keman Yuan Self-Service Restaurant,Shanghai,31.186844,121.495720,25.0,Chinese Restaurant;Chinese Restaurant,05:30,20:00,China Art Museum,"121.494740,31.184338",31.184338,121.494740,4.4
