origin_city,destination_city,dep_date,dep_station_code,dep_station_name,arr_station_code,arr_station_name,dep_datetime,arr_datetime,duration,flight_no,airline,seat_class,seat_status,equip_type,equip_size,manufacturer,price,segment_index,route_index
Jinan,Chengdu,2025-11-12,TNA,Yaoxiang International Airport,WUH,Tianhe International Airport,2025-11-12 15:00:00,2025-11-12 17:00:00,120,MU2642,China Eastern Airlines,Economy Class,1,737-800,Medium Aircraft,Boeing,618,1,235
Jinan,Chengdu,2025-11-12,WUH,Tianhe International Airport,TFU,Tianfu Airport,2025-11-12 18:30:00,2025-11-12 20:45:00,135,MU2458,China Eastern Airlines,Economy Class,3,320,Medium Aircraft,Airbus,618,2,235
Jinan,Chengdu,2025-11-12,TNA,Yaoxiang International Airport,CTU,Shuangliu International Airport,2025-11-12 15:40:00,2025-11-12 18:25:00,165,3U8954,Sichuan Airlines,Economy Class,3,320,Medium Aircraft,Airbus,843,1,227
Jinan,Chengdu,2025-11-12,TNA,Yaoxiang International Airport,CTU,Shuangliu International Airport,2025-11-12 10:35:00,2025-11-12 13:25:00,170,CZ9218,China Southern Airlines,Economy Class,1,320,Medium Aircraft,Airbus,990,1,232
Jinan,Chengdu,2025-11-12,TNA,Yaoxiang International Airport,WUH,Tianhe International Airport,2025-11-12 14:20:00,2025-11-12 16:10:00,110,MU6313,China Eastern Airlines,Economy Class,1,320,Medium Aircraft,Airbus,512,1,234
Jinan,Chengdu,2025-11-12,WUH,Tianhe International Airport,TFU,Tianfu Airport,2025-11-12 21:00:00,2025-11-12 23:10:00,130,MU2526,China Eastern Airlines,Economy Class,3,320,Medium Aircraft,Airbus,512,2,234
Jinan,Chengdu,2025-11-12,TNA,Yaoxiang International Airport,TFU,Tianfu Airport,2025-11-12 10:00:00,2025-11-12 12:25:00,145,G56743,China Express Airlines,Economy Class,2,737,Medium Aircraft,Boeing,990,1,230
Jinan,Chengdu,2025-11-12,TNA,Yaoxiang International Airport,TFU,Tianfu Airport,2025-11-12 14:20:00,2025-11-12 18:45:00,265,9C7535,Spring Airlines,Economy Class,7,320,Medium Aircraft,Airbus,370,1,218
Jinan,Chengdu,2025-11-12,TNA,Yaoxiang International Airport,TFU,Tianfu Airport,2025-11-12 10:00:00,2025-11-12 12:25:00,145,CA4971,Air China,Economy Class,1,737,Medium Aircraft,Boeing,990,1,229
Jinan,Chengdu,2025-11-12,TNA,Yaoxiang International Airport,TFU,Tianfu Airport,2025-11-12 07:55:00,2025-11-12 10:40:00,165,3U6920,Sichuan Airlines,Economy Class,2,320,Medium Aircraft,Airbus,760,1,223
Jinan,Chengdu,2025-11-12,TNA,Yaoxiang International Airport,CTU,Shuangliu International Airport,2025-11-12 10:35:00,2025-11-12 13:25:00,170,3U8952,Sichuan Airlines,Economy Class,1,320,Medium Aircraft,Airbus,989,1,231
Jinan,Chengdu,2025-11-12,TNA,Yaoxiang International Airport,CTU,Shuangliu International Airport,2025-11-12 18:55:00,2025-11-12 22:00:00,185,3U8958,Sichuan Airlines,Economy Class,3,320,Medium Aircraft,Airbus,762,1,225
Chengdu,Jinan,2025-11-15,TFU,Tianfu Airport,TNA,Yaoxiang International Airport,2025-11-15 13:30:00,2025-11-15 15:40:00,130,CA4972,Air China,Economy Class,3,737,Medium Aircraft,Boeing,1410,1,258
