origin_city,destination_city,dep_date,dep_station_code,dep_station_name,arr_station_code,arr_station_name,dep_datetime,arr_datetime,duration,train_no,train_type,seat_class,seat_status,price,segment_index,route_index
Tianjin,Zhengzhou,2025-11-12,TXP,Tianjin West Station,ZAF,Zhengzhou East Station,2025-11-12 13:25:00,2025-11-12 17:10:00,225,G3483,High-Speed Train,Second Class Seat,Sufficient,364.0,1,55
Tianjin,Zhengzhou,2025-11-12,TJP,Tianjin Station,ZAF,Zhengzhou East Station,2025-11-12 11:08:00,2025-11-12 15:01:00,233,G292,High-Speed Train,Second Class Seat,Sufficient,326.5,1,63
Tianjin,Zhengzhou,2025-11-12,ZAF,Zhengzhou East Station,ZZF,Zhengzhou Station,2025-11-12 15:28:00,2025-11-12 15:44:00,16,G3751,High-Speed Train,Second Class Seat,Sufficient,326.5,2,63
Tianjin,Zhengzhou,2025-11-12,TXP,Tianjin West Station,ZAF,Zhengzhou East Station,2025-11-12 18:52:00,2025-11-12 22:57:00,245,G1285,High-Speed Train,Second Class Seat,Sufficient,335.5,1,59
Tianjin,Zhengzhou,2025-11-12,TXP,Tianjin West Station,ZAF,Zhengzhou East Station,2025-11-12 11:21:00,2025-11-12 15:01:00,220,G293,High-Speed Train,Second Class Seat,Sufficient,308.5,1,43
Tianjin,Zhengzhou,2025-11-12,TJP,Tianjin Station,ZZF,Zhengzhou Station,2025-11-12 08:25:00,2025-11-12 16:50:00,505,T122,Regular Train,Hard Seat,Sufficient,98.0,1,73
Tianjin,Zhengzhou,2025-11-12,TXP,Tianjin West Station,ZAF,Zhengzhou East Station,2025-11-12 11:05:00,2025-11-12 14:34:00,209,G305,High-Speed Train,Second Class Seat,Sufficient,308.5,1,41
Tianjin,Zhengzhou,2025-11-12,TJP,Tianjin Station,FOP,Bazhou West Station,2025-11-12 13:52:00,2025-11-12 14:41:00,49,G1218,High-Speed Train,Second Class Seat,Sufficient,317.5,1,57
Tianjin,Zhengzhou,2025-11-12,FOP,Bazhou West Station,ZAF,Zhengzhou East Station,2025-11-12 15:04:00,2025-11-12 18:17:00,193,G1289,High-Speed Train,Second Class Seat,Sufficient,317.5,2,57
Tianjin,Zhengzhou,2025-11-12,TXP,Tianjin West Station,SJP,Shijiazhuang Station,2025-11-12 16:16:00,2025-11-12 18:27:00,131,G6277,High-Speed Train,Second Class Seat,Sufficient,185.0,1,56
Tianjin,Zhengzhou,2025-11-12,SJP,Shijiazhuang Station,ZZF,Zhengzhou Station,2025-11-12 18:42:00,2025-11-12 22:11:00,209,Z77,Regular Train,Hard Seat,Sufficient,185.0,2,56
Tianjin,Zhengzhou,2025-11-12,TXP,Tianjin West Station,ZAF,Zhengzhou East Station,2025-11-12 15:16:00,2025-11-12 18:55:00,219,G1293,High-Speed Train,Business Seat,Sufficient,967.0,1,80
Zhengzhou,Tianjin,2025-11-15,ZAF,Zhengzhou East Station,TXP,Tianjin West Station,2025-11-15 15:45:00,2025-11-15 19:22:00,217,G1702,High-Speed Train,Second Class Seat,Sufficient,335.5,1,109
Zhengzhou,Tianjin,2025-11-15,ZAF,Zhengzhou East Station,TXP,Tianjin West Station,2025-11-15 16:47:00,2025-11-15 20:16:00,209,G306,High-Speed Train,Second Class Seat,Sufficient,308.5,1,92
Zhengzhou,Tianjin,2025-11-15,ZZF,Zhengzhou Station,TJP,Tianjin Station,2025-11-15 02:30:00,2025-11-15 11:10:00,520,Z326,Regular Train,Hard Seat,Sufficient,98.0,1,82
Zhengzhou,Tianjin,2025-11-15,ZAF,Zhengzhou East Station,TXP,Tianjin West Station,2025-11-15 07:07:00,2025-11-15 10:28:00,201,G1286,High-Speed Train,Second Class Seat,Sufficient,315.5,1,95
Zhengzhou,Tianjin,2025-11-15,TXP,Tianjin West Station,TJP,Tianjin Station,2025-11-15 10:56:00,2025-11-15 11:04:00,8,G6285,High-Speed Train,Second Class Seat,Sufficient,315.5,2,95
Zhengzhou,Tianjin,2025-11-15,ZAF,Zhengzhou East Station,HPP,Handan East Station,2025-11-15 18:55:00,2025-11-15 20:06:00,71,G1560,High-Speed Train,Second Class Seat,Sufficient,257.5,1,86
Zhengzhou,Tianjin,2025-11-15,HPP,Handan East Station,TXP,Tianjin West Station,2025-11-15 20:38:00,2025-11-15 23:25:00,167,G6276,High-Speed Train,Second Class Seat,Sufficient,257.5,2,86
Zhengzhou,Tianjin,2025-11-15,ZZF,Zhengzhou Station,TJP,Tianjin Station,2025-11-15 06:31:00,2025-11-15 16:49:00,618,K126,Regular Train,Hard Seat,Sufficient,115.0,1,93
Zhengzhou,Tianjin,2025-11-15,ZAF,Zhengzhou East Station,TXP,Tianjin West Station,2025-11-15 15:32:00,2025-11-15 19:06:00,214,G1714,High-Speed Train,Second Class Seat,Sufficient,360.5,1,117
Zhengzhou,Tianjin,2025-11-15,ZAF,Zhengzhou East Station,TXP,Tianjin West Station,2025-11-15 10:35:00,2025-11-15 14:34:00,239,G1712,High-Speed Train,Second Class Seat,Sufficient,308.5,1,97
Zhengzhou,Tianjin,2025-11-15,ZZF,Zhengzhou Station,ZAF,Zhengzhou East Station,2025-11-15 18:16:00,2025-11-15 18:32:00,16,D2788,Electric Multiple Unit,Second Class Seat,Sufficient,314.0,1,111
Zhengzhou,Tianjin,2025-11-15,ZAF,Zhengzhou East Station,TXP,Tianjin West Station,2025-11-15 18:49:00,2025-11-15 22:34:00,225,G1710,High-Speed Train,Second Class Seat,Sufficient,314.0,2,111
Zhengzhou,Tianjin,2025-11-15,ZZF,Zhengzhou Station,ZAF,Zhengzhou East Station,2025-11-15 12:12:00,2025-11-15 12:29:00,17,G6634,High-Speed Train,Second Class Seat,Sufficient,326.0,1,120
Zhengzhou,Tianjin,2025-11-15,ZAF,Zhengzhou East Station,TJP,Tianjin Station,2025-11-15 12:52:00,2025-11-15 16:59:00,247,G294,High-Speed Train,Second Class Seat,Sufficient,326.0,2,120
