city,attraction_name,attraction_id,description,attraction_type,address,latitude,longitude,rating,opening_time,closing_time,closing_dates,min_visit_hours,max_visit_hours,ticket_price
Hangzhou,City Balcony,B023B1FB36,The viewing platform by the Qiantang River offers stunning views of the Qiantang River and the Hangzhou city skyline.,City Landmark,,30.241827,120.216803,4.8,09:00,16:00,Monday,0.5,2.0,0.0
Hangzhou,Longjing Village,,"The original production area of Longjing Tea, one of China's top ten famous teas, where visitors can experience tea culture and taste authentic Longjing Tea.",Natural Scenery,,30.219700,120.113500,4.6,Open 24 Hours,Open 24 Hours,,2.0,3.5,0.0
Hangzhou,Xiling Seal Engravers' Society,B023B09LU0,A renowned Chinese seal carving society with a century-long history and cultural heritage.,Historical and Cultural,,30.250279,120.139948,4.9,08:30,16:30,,0.5,2.0,0.0
Hangzhou,Hangzhou West Lake Scenic Area,B023B13L9M,"A UNESCO World Heritage Site and one of China's most famous lake attractions, known for its 'One Lake, Two Pagodas, Three Causeways, and Ten Scenes.'",Natural Scenery,,30.222724,120.121288,4.9,Open 24 Hours,Open 24 Hours,,1.0,2.5,0.0
Hangzhou,Yongfu Temple,B023B1H638,"A serene ancient temple nestled among tea plantations and bamboo forests, offering a tranquil environment ideal for meditation and relaxation.",Historical and Cultural,,30.238978,120.097524,4.8,06:30,18:00,,0.5,2.0,0.0
Hangzhou,West Lake Longjing Shifeng Mountain Tea Frying Center,B023B18RUY,"A traditional tea plantation and tea-making experience site located in Longjing Village, where visitors can enjoy tea field scenery and taste authentic West Lake Longjing Tea.",Leisure Experience,,30.218958,120.105302,4.5,08:00,18:00,,1.5,3.0,0.0
Hangzhou,Bai Causeway,B0FFFTYEG4,"A lake causeway built by Bai Juyi during his tenure as Hangzhou governor, most beautiful in spring when peach blossoms and willow catkins fill the air.",Historical and Cultural,,30.255701,120.149189,4.8,Open 24 Hours,Open 24 Hours,,0.5,2.0,0.0
Hangzhou,Impression West Lake Performance,,"A large-scale outdoor performance integrating Hangzhou's culture and modern art, staged at night on West Lake.",Historical and Cultural,,30.250800,120.149800,4.7,19:40,20:35,,1.0,2.5,340.0
Hangzhou,Hangzhou Arts and Crafts Museum,B023B0I02U,"Showcasing traditional Hangzhou handicrafts and modern arts and crafts, including silk, embroidery, carving, and various other craft categories.",Historical and Cultural,,30.315645,120.136930,4.7,09:00,16:30,Tuesday,1.0,2.5,0.0
Hangzhou,Flying Peak,B023B05MJE,The unique geological landscape in front of Lingyin Temple features abundant stone carvings and statues.,Historical and Cultural,,30.239119,120.101101,4.8,06:30,18:00,,0.5,2.0,45.0
Hangzhou,Three Pools Mirroring the Moon,B023B0283D,"One of the Ten Scenes of West Lake, located on Xiaoyingzhou Island, named for the reflection of three stone pagodas resembling moons.",Historical and Cultural,,30.238845,120.145369,4.8,08:00,17:00,,2.0,3.5,70.0
Hangzhou,Yang Causeway,B0FFJXZGIH,"A scenic avenue on the west side of West Lake, quieter compared to Su Causeway, ideal for leisurely walks and relaxation.",Natural Scenery,,30.232456,120.136580,4.9,Open 24 Hours,Open 24 Hours,,0.5,2.0,0.0
Hangzhou,Xiaohe Historical and Cultural Block,B0FFFWQ8DS,A well-preserved historic district featuring typical Jiangnan water town architecture with a strong sense of local life.,Historical and Cultural,,30.308302,120.135337,4.7,Open 24 Hours,Open 24 Hours,,1.5,3.0,0.0
Hangzhou,West Lake Musical Fountain,,"A large musical fountain located in Lakeside Park No. 3, offering spectacular nighttime performances synchronized with music.",Leisure Experience,,30.254900,120.154700,4.7,19:30,19:45,,0.0,1.5,0.0
Hangzhou,China Academy of Art Xiangshan Campus,B023B1A0E1,"A renowned art academy with unique architectural design, perfect for art enthusiasts to visit.",Art Exhibition,,30.155446,120.076690,3.7,Open 24 Hours,Open 24 Hours,,1.5,3.0,0.0
Hangzhou,Autumn Moon over the Calm Lake Viewing Spot,B023B024F8,"One of the Ten Scenes of West Lake, a tranquil and picturesque spot for moon viewing and lake sightseeing.",Natural Scenery,,30.252038,120.146210,4.7,Open 24 Hours,Open 24 Hours,,1.0,2.5,0.0
Hangzhou,Zhejiang Provincial Museum (Gushan Branch),B023B06XVX,"The most important comprehensive museum in Zhejiang Province, housing a rich collection of historical artifacts and art treasures, situated on the scenic Solitary Hill.",Historical and Cultural,,30.251243,120.143778,4.5,09:00,17:00,Monday,1.0,2.5,0.0
Hangzhou,Dawn at Su Causeway,B023B02070,"The foremost of the Ten Scenes of West Lake, a causeway built under the supervision of Su Dongpo, famous for its willow-lined beauty in spring.",Historical and Cultural,,30.243880,120.137960,4.8,Open 24 Hours,Open 24 Hours,,0.5,2.0,0.0
