origin,destination,distance_meters,duration_minutes,cost
"32.054508,118.854097","32.051926,118.840463",1840,22,0
"32.054508,118.854097","32.045458,118.846557",1720,21,0
"32.054508,118.854097","32.020660,118.788899",10090,15,36
"32.054508,118.854097","32.069455,118.812688",5940,9,23
"32.054508,118.854097","32.011682,118.787631",11020,17,40
"32.054508,118.854097","32.055418,118.867942",1830,22,0
"32.054508,118.854097","32.064698,118.830719",3470,5,16
"32.054508,118.854097","32.069455,118.812688",5940,9,23
"32.054508,118.854097","31.998425,118.780177",13090,20,48
"32.054508,118.854097","32.049053,118.850510",970,12,0
"32.054508,118.854097","32.058352,118.847527",1050,13,0
"32.054508,118.854097","32.058378,118.847167",1090,13,0
"32.054508,118.854097","32.053088,118.840329",1830,22,0
"32.054508,118.854097","32.041985,118.849227",2050,5,12
"32.054508,118.854097","32.043804,118.840376",2460,5,13
"32.054508,118.854097","32.042471,118.841831",2480,5,13
"32.054508,118.854097","32.042886,118.840991",2500,5,13
"32.054508,118.854097","32.037885,118.850974",2620,5,13
"32.054508,118.854097","32.037985,118.850289",2620,5,13
"32.054508,118.854097","32.053020,118.826593",3640,5,17
"32.054508,118.854097","32.040970,118.834915",3290,5,15
"32.054508,118.854097","32.052922,118.826357",3670,6,17
"32.054508,118.854097","32.038346,118.840115",3120,5,15
"32.054508,118.854097","32.036269,118.853232",2840,5,14
"32.054508,118.854097","32.041811,118.878425",3770,6,17
"32.054508,118.854097","32.039269,118.825427",4470,7,19
"32.054508,118.854097","32.043422,118.824293",4290,6,18
"32.054508,118.854097","32.038720,118.822091",4890,7,20
"32.054508,118.854097","32.044629,118.822917",4390,7,19
"32.054508,118.854097","32.034991,118.816403",5830,9,23
"32.054508,118.854097","32.020352,118.789761",10020,15,36
"32.054508,118.854097","32.020275,118.790175",9980,15,36
"32.054508,118.854097","32.021861,118.789212",9960,15,35
"32.054508,118.854097","32.019013,118.790272",10070,15,36
"32.054508,118.854097","32.021395,118.791283",9760,15,35
"32.054508,118.854097","32.020696,118.786196",10390,16,37
"32.054508,118.854097","32.022689,118.787481",10090,15,36
"32.054508,118.854097","32.021996,118.791824",9650,14,35
"32.054508,118.854097","32.023204,118.787265",10080,15,36
"32.054508,118.854097","32.022530,118.786194",10250,15,37
"32.054508,118.854097","32.066600,118.813012",5740,9,23
"32.054508,118.854097","32.068443,118.808893",6350,10,25
"32.054508,118.854097","32.072880,118.812323",6210,9,24
"32.054508,118.854097","32.065951,118.813648",5630,8,22
"32.054508,118.854097","32.065844,118.813334",5660,8,23
"32.054508,118.854097","32.065749,118.812922",5710,9,23
"32.054508,118.854097","32.066370,118.815739",5390,8,22
"32.054508,118.854097","32.073502,118.814071",6050,9,24
"32.054508,118.854097","32.065167,118.813406",5620,8,22
"32.054508,118.854097","32.067685,118.817973",5190,8,21
"32.054508,118.854097","32.011515,118.787387",11060,17,40
"32.054508,118.854097","32.011774,118.786821",11090,17,40
"32.054508,118.854097","32.012241,118.787144",11020,17,40
"32.054508,118.854097","32.011940,118.786703",11090,17,40
"32.054508,118.854097","32.011064,118.786955",11150,17,40
"32.054508,118.854097","32.010760,118.788191",11050,17,40
"32.054508,118.854097","32.012681,118.788744",10810,16,39
"32.054508,118.854097","32.011082,118.789613",10870,16,39
"32.054508,118.854097","32.014135,118.787506",10800,16,39
"32.054508,118.854097","32.009595,118.785806",11410,17,41
"32.054508,118.854097","32.068502,118.820836",4900,7,20
