origin,destination,distance_meters,duration_minutes,cost
"29.562204,106.579027","29.557921,106.586915",1260,15,0
"29.562204,106.579027","29.562014,106.550513",3860,6,17
"29.562204,106.579027","29.551340,106.548454",4470,7,19
"29.562204,106.579027","29.545316,106.602505",4130,6,18
"29.562204,106.579027","29.553340,106.538016",5720,9,23
"29.562204,106.579027","29.560000,106.580000",370,5,0
"29.562204,106.579027","29.556310,106.577448",940,11,0
"29.562204,106.579027","29.560017,106.576909",450,5,0
"29.562204,106.579027","29.551015,106.573042",1920,23,0
"29.562204,106.579027","29.561089,106.578870",170,5,0
"29.562204,106.579027","29.561056,106.579061",180,5,0
"29.562204,106.579027","29.561251,106.578230",180,5,0
"29.562204,106.579027","29.561053,106.578091",220,5,0
"29.562204,106.579027","29.560770,106.579150",220,5,0
"29.562204,106.579027","29.561313,106.580333",220,5,0
"29.562204,106.579027","29.562602,106.580798",250,5,0
"29.562204,106.579027","29.561436,106.577164",280,5,0
"29.562204,106.579027","29.561223,106.577220",290,5,0
"29.562204,106.579027","29.561384,106.581577",370,5,0
"29.562204,106.579027","29.556809,106.576425",910,11,0
"29.562204,106.579027","29.555982,106.575355",1090,13,0
"29.562204,106.579027","29.555697,106.575618",1110,13,0
"29.562204,106.579027","29.558893,106.576121",650,8,0
"29.562204,106.579027","29.559065,106.576152",620,7,0
"29.562204,106.579027","29.550482,106.595027",2830,5,14
"29.562204,106.579027","29.557397,106.587080",1320,16,0
"29.562204,106.579027","29.559132,106.584040",830,10,0
"29.562204,106.579027","29.555101,106.585600",1420,17,0
"29.562204,106.579027","29.557825,106.582875",860,10,0
"29.562204,106.579027","29.562890,106.587738",1180,14,0
"29.562204,106.579027","29.562981,106.585820",930,11,0
"29.562204,106.579027","29.563207,106.586046",960,12,0
"29.562204,106.579027","29.563225,106.588275",1260,15,0
"29.562204,106.579027","29.560375,106.581225",410,5,0
"29.562204,106.579027","29.548696,106.573429",2240,5,12
"29.562204,106.579027","29.551647,106.535731",6090,9,24
"29.562204,106.579027","29.550875,106.538693",5740,9,23
"29.562204,106.579027","29.550769,106.540372",5530,8,22
"29.562204,106.579027","29.552250,106.541818",5270,8,21
"29.562204,106.579027","29.551440,106.543603",5080,8,21
"29.562204,106.579027","29.548097,106.536410",6170,9,24
"29.562204,106.579027","29.548024,106.536141",6210,9,24
"29.562204,106.579027","29.551409,106.544207",5010,8,21
"29.562204,106.579027","29.551409,106.544207",5010,8,21
"29.562204,106.579027","29.551413,106.544232",5000,8,21
"29.562204,106.579027","29.573221,106.533461",6400,10,25
"29.562204,106.579027","29.572855,106.533791",6350,10,25
"29.562204,106.579027","29.560680,106.551088",3790,6,17
"29.562204,106.579027","29.562897,106.552496",3590,5,16
"29.562204,106.579027","29.559479,106.549782",3980,6,18
"29.562204,106.579027","29.564931,106.549439",4030,6,18
"29.562204,106.579027","29.562546,106.546935",4350,7,19
"29.562204,106.579027","29.558406,106.548331",4200,6,18
"29.562204,106.579027","29.557865,106.549087",4110,6,18
"29.562204,106.579027","29.559884,106.555045",3270,5,15
"29.562204,106.579027","29.559945,106.555127",3260,5,15
"29.562204,106.579027","29.565726,106.554520",3360,5,16
"29.562204,106.579027","29.551449,106.544652",4950,7,20
