restaurant_name,city,latitude,longitude,price_per_person,cuisine,opening_time,closing_time,nearby_attraction_name,nearby_attraction_coords,query_latitude,query_longitude,rating
Zhang Manager's Goose Castle,Zhengzhou,34.870717,113.670712,50.0,Fast Food Restaurant;Fast Food Restaurant,09:30,23:00,Yellow River Museum,"113.677764,34.871840",34.871840,113.677764,4.4
Datang Restaurant Shrimp Dumpling Specialty Store (Yingbin Road Branch),Zhengzhou,34.871556,113.665047,90.0,Chinese Restaurant;Local Specialty Restaurant,17:00,21:30,Yellow River Museum,"113.677764,34.871840",34.871840,113.677764,4.5
Radisson Blu Hotel Zhengzhou - Pin Buffet Restaurant,Zhengzhou,34.859568,113.678526,208.0,Food Service Related;Food Service Related,11:00,22:00,Yellow River Museum,"113.677764,34.871840",34.871840,113.677764,4.1
Zhengzhou Normal University East Campus Jingxinyuan Restaurant,Zhengzhou,34.863435,113.659282,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Yellow River Museum,"113.677764,34.871840",34.871840,113.677764,4.2
Xinyang Fusion Restaurant,Zhengzhou,34.889033,113.574616,32.0,Chinese Restaurant;Chinese Restaurant,11:00,22:00,Huiji Bridge Ruins Park,"113.585469,34.892354",34.892354,113.585469,3.8
Convenience Restaurant,Zhengzhou,34.886025,113.569690,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Huiji Bridge Ruins Park,"113.585469,34.892354",34.892354,113.585469,2.2
KFC Drive-Thru Restaurant (Jiangshan Road DT Branch),Zhengzhou,34.880231,113.572945,100.0,Food Service Related;Food Service Related,11:00,21:00,Huiji Bridge Ruins Park,"113.585469,34.892354",34.892354,113.585469,3.7
Han Feng Yuan BBQ and Hot Pot Buffet Restaurant (Asia Joy City Branch),Zhengzhou,34.751785,113.667704,80.0,Chinese Restaurant;Chinese Restaurant,11:00,23:30,Erqi Memorial Hall,"113.666494,34.752186",34.752186,113.666494,4.7
Yuehai Hotel Xuan Palace Western Restaurant (Erqi Square),Zhengzhou,34.749629,113.667658,111.0,Foreign Restaurant;Western Restaurant,10:00,23:00,Erqi Memorial Hall,"113.666494,34.752186",34.752186,113.666494,3.9
Yuehai Hotel - Yuehai Pavilion Chinese Restaurant,Zhengzhou,34.749142,113.667796,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Erqi Memorial Hall,"113.666494,34.752186",34.752186,113.666494,3.9
Huya Fried Chicken (Henan Zhengzhou Erqi MixC Branch),Zhengzhou,34.754815,113.662798,55.0,Chinese Restaurant;Chinese Restaurant,10:00,22:00,Erqi Memorial Hall,"113.666494,34.752186",34.752186,113.666494,4.6
Jixu Folk Music Barbecue Restaurant (Zhengzhou Guangcai Branch),Zhengzhou,34.755287,113.669676,72.0,Chinese Restaurant;Chinese Restaurant,18:00,02:30,Erqi Memorial Hall,"113.666494,34.752186",34.752186,113.666494,4.6
Green Tea Restaurant (Zhengzhou MixC Mall Branch),Zhengzhou,34.754667,113.662403,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Erqi Memorial Hall,"113.666494,34.752186",34.752186,113.666494,4.6
Zhengzhou Zhengbai Restaurant (Zhengzhou Department Store Branch),Zhengzhou,34.756286,113.668080,100.0,Chinese Restaurant;Chinese Restaurant,09:30,21:00,Erqi Memorial Hall,"113.666494,34.752186",34.752186,113.666494,3.9
Route 5 Steakhouse (David City Branch),Zhengzhou,34.756777,113.666316,128.0,Fast Food Restaurant;Fast Food Restaurant,11:00,22:00,Erqi Memorial Hall,"113.666494,34.752186",34.752186,113.666494,4.7
Manyu (Dennis David Plaza Branch),Zhengzhou,34.756848,113.666241,90.0,服装鞋帽皮具店;服装鞋帽皮具店,11:00,21:00,Erqi Memorial Hall,"113.666494,34.752186",34.752186,113.666494,4.7
Jiang A Qiao Tatta Noodles (Grand Shanghai Branch),Zhengzhou,34.755928,113.670393,100.0,Chinese Restaurant;Chinese Restaurant,10:30,21:30,Erqi Memorial Hall,"113.666494,34.752186",34.752186,113.666494,4.5
Ginkgo Tree Seafood Restaurant (Jinshui Road Branch),Zhengzhou,34.763326,113.684358,100.0,Chinese Restaurant;Seafood Restaurant,17:00,22:00,Zijing Mountain Park,"113.687708,34.761890",34.761890,113.687708,4.6
Government Canteen Fast Food Section,Zhengzhou,34.764882,113.689757,100.0,Fast Food Restaurant;Fast Food Restaurant,11:00,21:00,Zijing Mountain Park,"113.687708,34.761890",34.761890,113.687708,3.8
Tanghou Keyixing Tea Banquet,Zhengzhou,34.764738,113.684978,93.0,Tea House;Tea House|购物相关场所;购物相关场所,09:30,23:00,Zijing Mountain Park,"113.687708,34.761890",34.761890,113.687708,4.3
Sofitel International Hotel (Yueweixian Chinese Restaurant),Zhengzhou,34.761932,113.692486,204.0,Chinese Restaurant;Chinese Restaurant,17:30,22:00,Zijing Mountain Park,"113.687708,34.761890",34.761890,113.687708,4.1
Zhengzhou Zhongzhou Holiday Inn Express Restaurant,Zhengzhou,34.762887,113.692533,100.0,Cafe;Cafe,11:00,21:00,Zijing Mountain Park,"113.687708,34.761890",34.761890,113.687708,4.1
Zhengzhou Sofitel International Hotel · Dome Pavilion Western Restaurant,Zhengzhou,34.761863,113.692708,237.0,Foreign Restaurant;Western Restaurant,11:00,21:30,Zijing Mountain Park,"113.687708,34.761890",34.761890,113.687708,4.2
