city,name,address,latitude,longitude,decoration_time,hotel_star,price,score,brand
Zhengzhou,Ruyue Cloud Hotel by Home Inn - Zhengzhou Xinzheng International Airport,"Home Inn Plus. Cloud Hotel (Zhengzhou Xinzheng International Airport Branch), No. 186 Feixiang Road, Xingang Subdistrict, Xinzheng City, Zhengzhou, Henan Province",34.532732,113.827800,2022,3,137,4.9,Home Inn
Zhengzhou,Zhengzhou Yaser International Hotel (Provincial Science and Technology Museum Xianghu Branch),"No. 76 Zhengkai Avenue, Zhengdong New District, Zhengzhou, Henan Province",34.775698,113.858697,2023,4,223,4.5,
Zhengzhou,Yunman Hotel (Zhengzhou Airport Zone BYD Factory Branch),"3rd to 5th Floors, Intersection of Lingang Avenue and Deyu Street, Gangli Township, Zhengzhou Aviation Port Area",34.368782,113.919851,2023,3,105,4.9,
Zhengzhou,Hanting Hotel Zhengzhou Xianghu Science and Technology Museum,"100 meters west of the intersection of Yangqiao Avenue and Liangxiu Road, Zhongmu County, on the south side of the road",34.763200,113.863000,2022,2,244,4.8,Hanting Hotel
Zhengzhou,Hanting Hotel Zhengzhou Erqi Square,"No. 231 Shangcheng Road, Guancheng District",34.754346,113.671977,2017,2,219,4.8,Hanting Hotel
Zhengzhou,Zhipu Hotel Zhengzhou Zhongmu (Only Henan Film Town Branch),"Building 6, Rongxin City Window, East of Jiaotong Road and South of Fugui Road, Green Expo Cultural Industry Park",34.786329,113.955310,2022,4,199,4.9,
Zhengzhou,Atour Hotel Zhengzhou Beilonghu Financial Center Financial Island,"1st Floor (Units 147-149), 3rd to 5th Floors (entire floors), Building 7, Southwest Corner of the Intersection of Longxiang First Street and East Second Street of Ruyi River (Haomulin. Ruyi Plaza), Zhengdong New District, Zhengzhou",34.801804,113.740044,2024,4,402,4.8,Atour Hotel
Zhengzhou,Hanting Hotel Zhengzhou Hanghai East Road,No. 69 Shihua Road (Intersection of Zhongzhou Avenue and Shihua Road),34.725246,113.718570,2018,2,175,4.6,Hanting Hotel
Zhengzhou,Courtyard by Marriott Zhengzhou Huiyi,"Building B, No. 77 Shangding Road, Zhengdong New District, Zhengzhou, Henan",34.753708,113.770139,2015,5,552,4.7,Marriott
Zhengzhou,Kunlun Leju Select Hotel (Zhengzhou South City Jinyi City Branch),"Northeast Corner of the Intersection of Shuanghu Avenue and Yufeng Road, Mengzhuang Town, Xinzheng City, Zhengzhou, Henan Province, Building 23, Feiyu Electromechanical City, 1st Floor North Side, 3rd to 10th Floors",34.613066,113.733835,2020,3,206,5.0,
Zhengzhou,Orange Hotel Zhengzhou Zhengdong New District Convention Center,"No. 119 Hongzhuan Road, Jinshui District, Zhengzhou",34.779780,113.702020,2020,3,265,4.4,Orange Hotel
Zhengzhou,Zhengzhou Jinshen Zhongzhou Yihe Hotel,"No. 27 Zhengqi Street, Jinshui District, Zhengzhou",34.781424,113.686953,2025,4,223,4.5,
Zhengzhou,Henan Yellow River Guesthouse,"No. 1 Yingbin Road, Zhengzhou (near Zhengzhou Wenhua Road, close to Yellow River Scenic Area)",34.872278,113.648540,2018,5,839,4.8,
Zhengzhou,Ji Hotel Zhengzhou Convention Center Future Road,"No. 60 Weilai Road, Jinshui District, Zhengzhou, Henan Province",34.772300,113.707000,2020,3,328,4.6,Ji Hotel
Zhengzhou,Hanting Hotel (Zhengzhou East Station East Square Shangding Road Branch),"Building 4, China Resources Land New Era Plaza, Intersection of Shangding Road and Jiayuan Road, Guancheng Hui District, Zhengzhou",34.755908,113.787360,2024,3,282,4.8,Hanting Hotel
Zhengzhou,Chenxi Hotel (Zhengzhou Convention Center Branch),"No. 16 Jinshui East Road, Northeast Corner of the Intersection of Jinshui East Road and Huanghe South Road, Jinshui District, Zhengzhou, Henan Province",34.764990,113.745222,2019,5,401,4.7,
Zhengzhou,Home Inn - Zhengzhou Zhongyuan Tower East Metro Station Branch,"Zhongrun Building, No. 110 Jingkai Third Street, Minghu Subdistrict, Economic Development Zone, Guancheng Hui District, Zhengzhou, Henan Province",34.722713,113.746504,2023,2,224,4.9,Home Inn
Zhengzhou,Orange Hotel Zhengzhou Provincial Government MixC,"Partial 1st Floor, 3rd to 14th Floors, East Unit, Block B, Meijian Building, Southwest Corner of the Intersection of Zhengguang North Street and Dehou Street, Zhengdong New District",34.771074,113.755528,2024,3,330,4.9,Orange Hotel
Zhengzhou,Future Livable Hotel (Health Road Night Market Zhengzhou Second Affiliated Hospital Branch),No. 15 Weisan Road,34.769325,113.669130,2019,3,152,4.3,
Zhengzhou,Hampton by Hilton Zhengzhou Zhengdong New District,No. 67 Shangdu Road,34.745195,113.763361,2019,4,417,4.7,Hilton
