restaurant_name,city,latitude,longitude,price_per_person,cuisine,opening_time,closing_time,nearby_attraction_name,nearby_attraction_coords,query_latitude,query_longitude,rating
Cantonese Flavor (Jiefang North Road Branch),Guangzhou,23.137298,113.262015,40.0,Chinese Restaurant;Chinese Restaurant,11:00,20:30,Guangzhou Museum (Zhenhai Tower Exhibition Area),"113.265698,23.137723",23.137723,113.265698,4.2
Huachengli · Mo Shang Hua Kai,Guangzhou,23.138076,113.269909,79.0,Foreign Restaurant;Western Restaurant,11:00,20:30,Guangzhou Museum (Zhenhai Tower Exhibition Area),"113.265698,23.137723",23.137723,113.265698,4.5
Yuexiu Park · Yundao Soup Garden Restaurant,Guangzhou,23.141657,113.268382,100.0,Chinese Restaurant;Chinese Restaurant,17:00,02:00,Guangzhou Museum (Zhenhai Tower Exhibition Area),"113.265698,23.137723",23.137723,113.265698,4.0
Kaiser Xinjiang Restaurant,Guangzhou,23.134685,113.261613,86.0,Chinese Restaurant;Halal Restaurant,10:00,23:00,Guangzhou Museum (Zhenhai Tower Exhibition Area),"113.265698,23.137723",23.137723,113.265698,3.6
Kowloon Ice Room (China Hotel Branch),Guangzhou,23.139943,113.260837,50.0,Chinese Restaurant;Chinese Restaurant,10:00,22:00,Guangzhou Museum (Zhenhai Tower Exhibition Area),"113.265698,23.137723",23.137723,113.265698,4.3
Green Island Western Restaurant · Birthday Theme · Lawn Terrace Restaurant,Guangzhou,23.142096,113.268446,70.0,Foreign Restaurant;Foreign Restaurant,11:00,10:00,Guangzhou Museum (Zhenhai Tower Exhibition Area),"113.265698,23.137723",23.137723,113.265698,4.6
Meat Times Restaurant,Guangzhou,23.141163,113.270362,117.0,Food Service Related;Food Service Related,10:00,24:00,Guangzhou Museum (Zhenhai Tower Exhibition Area),"113.265698,23.137723",23.137723,113.265698,4.1
Haliman Restaurant,Guangzhou,23.141023,113.270484,17.0,Chinese Restaurant;Halal Restaurant,11:30,24:00,Guangzhou Museum (Zhenhai Tower Exhibition Area),"113.265698,23.137723",23.137723,113.265698,3.8
Tao Tao Ju Restaurant (Jiefang North Road Branch),Guangzhou,23.133583,113.261670,106.0,Chinese Restaurant;Chinese Restaurant,17:00,21:00,Guangzhou Museum (Zhenhai Tower Exhibition Area),"113.265698,23.137723",23.137723,113.265698,4.5
Ke Ming Ice Room,Guangzhou,23.140969,113.260656,100.0,Fast Food Restaurant;Tea Restaurant,11:00,21:00,Guangzhou Museum (Zhenhai Tower Exhibition Area),"113.265698,23.137723",23.137723,113.265698,4.0
