restaurant_name,city,latitude,longitude,price_per_person,cuisine,opening_time,closing_time,nearby_attraction_name,nearby_attraction_coords,query_latitude,query_longitude,rating
Harmony Restaurant,Enshi,30.302475,109.474325,100.0,Food Service Related;Food Service Related,11:00,21:00,Tusi Road Commercial Street,"109.472098,30.301061",30.301061,109.472098,3.7
Tujia Tian Family Restaurant,Enshi,30.301495,109.475002,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Tusi Road Commercial Street,"109.472098,30.301061",30.301061,109.472098,3.8
Hongrun Tea Restaurant (Tujia Homestyle Cuisine),Enshi,30.300249,109.475847,100.0,Chinese Restaurant;Chinese Restaurant,09:00,21:00,Tusi Road Commercial Street,"109.472098,30.301061",30.301061,109.472098,4.0
Zhenhao Restaurant (Guangyin Emerald City Phase 2 West Garden Community Store),Enshi,30.301746,109.467255,100.0,Food Service Related;Food Service Related,11:00,21:00,Tusi Road Commercial Street,"109.472098,30.301061",30.301061,109.472098,4.0
Yellow Crane Tower Tujia Smoked Meat Restaurant,Enshi,30.296477,109.476872,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Tusi Road Commercial Street,"109.472098,30.301061",30.301061,109.472098,2.0
Granny's Restaurant,Enshi,30.296007,109.476872,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Tusi Road Commercial Street,"109.472098,30.301061",30.301061,109.472098,3.9
Yuanyuan Restaurant,Enshi,30.295951,109.476794,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Tusi Road Commercial Street,"109.472098,30.301061",30.301061,109.472098,3.5
Tu Wang Fu Chinese Tusi Culture Theme Restaurant,Enshi,30.298196,109.479754,83.0,Chinese Restaurant;Chinese Restaurant,09:30,21:00,Tusi Road Commercial Street,"109.472098,30.301061",30.301061,109.472098,4.5
717 Cured Meat Restaurant,Enshi,30.302513,109.480335,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Tusi Road Commercial Street,"109.472098,30.301061",30.301061,109.472098,4.3
Chef Ding · Five Flavors Restaurant,Enshi,30.295675,109.477742,100.0,Chinese Restaurant;Chinese Restaurant,06:00,24:00,Tusi Road Commercial Street,"109.472098,30.301061",30.301061,109.472098,4.8
Tea Shop Beef (Daughter City Branch),Enshi,30.271161,109.503462,63.0,Chinese Restaurant;Chinese Restaurant,09:00,21:00,Tujia Daughter's Town,"109.502984,30.269545",30.269545,109.502984,4.1
Zeng Family Restaurant,Enshi,30.273675,109.507075,100.0,Food Service Related;Food Service Related,11:00,21:00,Tujia Daughter's Town,"109.502984,30.269545",30.269545,109.502984,4.0
Hu Mei Restaurant,Enshi,30.274041,109.506901,100.0,Chinese Restaurant;Chinese Restaurant,07:30,20:00,Tujia Daughter's Town,"109.502984,30.269545",30.269545,109.502984,4.3
