origin,destination,distance_meters,duration_minutes,cost
"34.739600,113.546720","34.753775,113.690498",18520,28,70
"34.739600,113.546720","34.752186,113.666494",15450,23,57
"34.739600,113.546720","34.812300,113.789100",32990,49,128
"34.739600,113.546720","34.769100,113.753400",26830,40,103
"34.739600,113.546720","34.761890,113.687708",18360,28,69
"34.739600,113.546720","34.920000,113.630000",30030,45,116
"34.739600,113.546720","34.748659,113.688345",18170,27,68
"34.739600,113.546720","34.871840,113.677764",26540,40,102
"34.739600,113.546720","34.892354,113.585469",24290,36,93
"34.739600,113.546720","34.751785,113.667704",15590,23,58
"34.739600,113.546720","34.749629,113.667658",15550,23,58
"34.739600,113.546720","34.749142,113.667796",15560,23,58
"34.739600,113.546720","34.754815,113.662798",15040,23,56
"34.739600,113.546720","34.755287,113.669676",15920,24,59
"34.739600,113.546720","34.754667,113.662403",14980,22,56
"34.739600,113.546720","34.756286,113.668080",15740,24,59
"34.739600,113.546720","34.756777,113.666316",15530,23,58
"34.739600,113.546720","34.783597,113.675687",17860,27,67
"34.739600,113.546720","34.756848,113.666241",15520,23,58
"34.739600,113.546720","34.740996,113.539988",890,11,0
"34.739600,113.546720","34.739770,113.537534",1180,14,0
"34.739600,113.546720","34.740659,113.537609",1180,14,0
"34.739600,113.546720","34.739579,113.561973",1950,23,0
"34.739600,113.546720","34.739995,113.562140",1970,24,0
"34.739600,113.546720","34.739800,113.563173",2100,5,12
"34.739600,113.546720","34.740377,113.563327",2130,5,12
"34.739600,113.546720","34.770905,113.727350",23610,35,90
"34.739600,113.546720","34.771075,113.727225",23600,35,90
"34.739600,113.546720","34.770914,113.727493",23630,35,90
"34.739600,113.546720","34.771054,113.727309",23610,35,90
"34.739600,113.546720","34.770902,113.727580",23640,35,90
"34.739600,113.546720","34.757454,113.691651",18750,28,71
"34.739600,113.546720","34.755083,113.685722",17940,27,67
"34.739600,113.546720","34.750370,113.685219",17800,27,67
"34.739600,113.546720","34.747760,113.691761",18600,28,70
"34.739600,113.546720","34.752925,113.682675",17510,26,66
"34.739600,113.546720","34.761863,113.692708",18990,28,72
"34.739600,113.546720","34.761674,113.693653",19110,29,72
"34.739600,113.546720","34.761932,113.692486",18970,28,71
"34.739600,113.546720","34.747100,113.697080",19270,29,73
"34.739600,113.546720","34.755928,113.670393",16020,24,60
"34.739600,113.546720","34.748675,113.691225",18540,28,70
"34.739600,113.546720","34.748684,113.681630",17320,26,65
"34.739600,113.546720","34.745025,113.680175",17090,26,64
"34.739600,113.546720","34.760065,113.682462",17650,26,66
"34.739600,113.546720","34.813115,113.795071",33760,51,131
"34.739600,113.546720","34.809266,113.793947",33420,50,129
"34.739600,113.546720","34.818459,113.794111",33930,51,131
"34.739600,113.546720","34.803494,113.786967",32290,48,125
"34.739600,113.546720","34.809780,113.800337",34220,51,132
"34.739600,113.546720","34.808834,113.797840",33870,51,131
"34.739600,113.546720","34.767625,113.751240",26520,40,102
"34.739600,113.546720","34.771566,113.754982",27100,41,104
"34.739600,113.546720","34.771871,113.755230",27140,41,104
"34.739600,113.546720","34.768486,113.749551",26330,39,101
"34.739600,113.546720","34.771881,113.755782",27210,41,104
"34.739600,113.546720","34.771175,113.757935",27460,41,105
"34.739600,113.546720","34.764000,113.754711",26870,40,103
"34.739600,113.546720","34.763882,113.754664",26860,40,103
"34.739600,113.546720","34.772309,113.759111",27640,41,106
"34.739600,113.546720","34.763443,113.756145",27040,41,104
"34.739600,113.546720","34.763326,113.684358",17990,27,68
"34.739600,113.546720","34.764882,113.689757",18710,28,70
"34.739600,113.546720","34.764738,113.684978",18110,27,68
"34.739600,113.546720","34.762887,113.692533",19000,28,72
"34.739600,113.546720","34.764980,113.691112",18890,28,71
"34.739600,113.546720","34.764942,113.691889",18980,28,72
"34.739600,113.546720","34.749825,113.660012",14580,22,54
"34.739600,113.546720","34.777780,113.722674",23280,35,89
"34.739600,113.546720","34.747991,113.699877",19630,29,74
"34.739600,113.546720","34.870717,113.670712",25840,39,99
"34.739600,113.546720","34.871556,113.665047",25510,38,98
"34.739600,113.546720","34.859568,113.678526",25150,38,96
"34.739600,113.546720","34.863435,113.659282",24060,36,92
"34.739600,113.546720","34.889033,113.574616",23530,35,90
"34.739600,113.546720","34.886025,113.569690",22980,34,88
"34.739600,113.546720","34.880231,113.572945",22150,33,84
"34.739600,113.546720","34.744171,113.652484",13550,20,50
"34.739600,113.546720","34.526573,113.855171",51580,77,202
"34.739600,113.546720","34.528534,113.843450",50240,75,197
"34.739600,113.546720","34.754747,113.783314",30360,46,117
"34.739600,113.546720","34.761864,113.772727",29110,44,112
"34.739600,113.546720","34.753801,113.774832",29260,44,113
"34.739600,113.546720","34.537244,113.826908",47750,72,187
"34.739600,113.546720","34.537354,113.833042",48330,72,189
"34.739600,113.546720","34.540161,113.830394",47790,72,187
"34.739600,113.546720","34.530293,113.823391",48140,72,188
"34.739600,113.546720","34.719198,113.764169",28000,42,108
"34.739600,113.546720","34.715080,113.765103",28200,42,108
"34.739600,113.546720","34.776594,113.704493",20980,31,80
"34.739600,113.546720","34.777542,113.706140",21230,32,81
"34.739600,113.546720","34.691973,113.804440",33800,51,131
"34.739600,113.546720","34.694179,113.788699",31760,48,123
"34.739600,113.546720","34.689808,113.779198",30740,46,119
"34.739600,113.546720","34.769988,113.864010",40860,61,159
"34.739600,113.546720","34.769990,113.864126",40870,61,159
"34.739600,113.546720","34.764509,113.745962",25780,39,99
"34.739600,113.546720","34.765092,113.744012",25540,38,98
"34.739600,113.546720","34.767275,113.746025",25850,39,99
"34.739600,113.546720","34.754245,113.770035",28660,43,110
"34.739600,113.546720","34.754378,113.771221",28810,43,111
"34.739600,113.546720","34.759727,113.853131",39320,59,153
"34.739600,113.546720","34.773371,113.856956",40030,60,156
"34.739600,113.546720","34.718823,113.770208",28780,43,111
"34.739600,113.546720","34.775187,113.415274",17700,27,66
"34.739600,113.546720","34.774763,113.428178",16120,24,60
"34.739600,113.546720","34.773975,113.428375",16050,24,60
"34.739600,113.546720","34.763862,113.693297",19120,29,72
"34.739600,113.546720","34.750025,113.723075",22620,34,86
"34.739600,113.546720","34.747665,113.725033",22840,34,87
"34.739600,113.546720","34.747658,113.724967",22840,34,87
"34.739600,113.546720","34.782608,113.677926",18070,27,68
"34.739600,113.546720","34.784425,113.679525",18360,28,69
"34.739600,113.546720","34.872199,113.648259",24380,37,93
"34.739600,113.546720","34.869788,113.636415",23280,35,89
"34.739600,113.546720","34.868938,113.636045",23150,35,88
"34.739600,113.546720","34.751907,113.440908",13670,21,50
"34.739600,113.546720","34.775577,113.858407",40260,60,157
"34.739600,113.546720","34.773400,113.854577",39720,60,154
"34.739600,113.546720","34.808010,113.658539",17830,27,67
"34.739600,113.546720","34.702484,113.789610",31610,47,122
"34.739600,113.546720","34.707160,113.765391",28430,43,109
"34.739600,113.546720","34.770663,113.735001",24560,37,94
"34.739600,113.546720","34.775698,113.858697",40290,60,157
"34.739600,113.546720","34.786040,113.956225",52870,79,207
"34.739600,113.546720","34.536927,113.826736",47770,72,187
"34.739600,113.546720","34.764990,113.745222",25700,39,98
"34.739600,113.546720","34.778263,113.730350",24240,36,93
"34.739600,113.546720","34.555751,113.860851",49370,74,193
"34.739600,113.546720","34.872278,113.648540",24410,37,93
"34.739600,113.546720","34.770996,113.727282",23610,35,90
"34.739600,113.546720","34.763800,113.693000",19090,29,72
"34.739600,113.546720","34.784188,113.677554",18110,27,68
"34.739600,113.546720","34.749650,113.724990",22860,34,87
"34.739600,113.546720","34.799899,113.660000",17260,26,65
"34.739600,113.546720","34.757727,113.773536",29150,44,112
"34.739600,113.546720","34.532732,113.827800",48300,72,189
"34.739600,113.546720","34.783427,113.420024",17580,26,66
"34.739600,113.546720","34.763200,113.863000",40620,61,158
"34.739600,113.546720","34.779780,113.702020",20820,31,79
"34.739600,113.546720","31.196029,121.339775",1157170,1736,4624
"34.739600,113.546720","34.528476,113.856808",51550,77,202
"34.739600,113.546720","29.722563,106.657653",1196470,1795,4781
"34.739600,113.546720","34.528476,113.856808",51550,77,202
"34.739600,113.546720","23.387375,113.307392",1767530,2651,7066
"34.739600,113.546720","34.759081,113.779558",29940,45,115
"34.739600,113.546720","34.744948,113.425242",15560,23,58
"34.739600,113.546720","29.609826,106.550943",1218970,1828,4871
"34.739600,113.546720","34.486036,113.932772",63280,95,249
"34.739600,113.546720","34.525290,113.854665",51660,77,202
"34.739600,113.546720","29.554118,106.460662",1233840,1851,4931
"34.739600,113.546720","29.500386,106.437901",1241780,1863,4963
"34.739600,113.546720","33.816780,113.087816",155310,233,617
"34.739600,113.546720","34.794453,113.623578",13020,20,48
"34.739600,113.546720","34.759081,113.779558",29940,45,115
"34.739600,113.546720","29.880729,107.075457",1138360,1708,4549
"34.739600,113.546720","34.789259,113.986234",56740,85,223
"34.739600,113.546720","34.768817,113.933939",49730,75,195
"34.739600,113.546720","34.786826,113.988821",57020,86,224
"34.739600,113.546720","34.756800,113.944461",50950,76,199
"34.739600,113.546720","34.805008,113.919082",48690,73,190
"34.739600,113.546720","34.902822,113.633591",27730,42,107
"34.739600,113.546720","34.897770,113.618020",26250,39,101
"34.739600,113.546720","34.897676,113.617674",26230,39,101
