origin_city,destination_city,dep_date,dep_station_code,dep_station_name,arr_station_code,arr_station_name,dep_datetime,arr_datetime,duration,flight_no,airline,seat_class,seat_status,equip_type,equip_size,manufacturer,price,segment_index,route_index
Fuzhou,Hangzhou,2025-11-12,FOC,Changle International Airport,WUH,Tianhe International Airport,2025-11-12 12:55:00,2025-11-12 14:50:00,115,MF8251,Xiamen Airlines,Economy Class,Sufficient,737,Medium Aircraft,Boeing,650,1,60
Fuzhou,Hangzhou,2025-11-12,WUH,Tianhe International Airport,HGH,Xiaoshan International Airport,2025-11-12 18:10:00,2025-11-12 19:40:00,90,3U1377,Sichuan Airlines,Economy Class,Sufficient,737,Medium Aircraft,Boeing,650,2,60
Fuzhou,Hangzhou,2025-11-12,FOC,Changle International Airport,XMN,Gaoqi International Airport,2025-11-12 19:30:00,2025-11-12 20:30:00,60,MF8580,Xiamen Airlines,Economy Class,Sufficient,737,Medium Aircraft,Boeing,860,1,63
Fuzhou,Hangzhou,2025-11-12,XMN,Gaoqi International Airport,HGH,Xiaoshan International Airport,2025-11-12 22:10:00,2025-11-12 23:55:00,105,MF8595,Xiamen Airlines,Economy Class,Sufficient,737,Medium Aircraft,Boeing,860,2,63
Hangzhou,Fuzhou,2025-11-17,HGH,Xiaoshan International Airport,CGO,Xinzheng International Airport,2025-11-17 18:15:00,2025-11-17 20:00:00,105,CZ3840,China Southern Airlines,Economy Class,Sufficient,737,Medium Aircraft,Boeing,884,1,67
Hangzhou,Fuzhou,2025-11-17,CGO,Xinzheng International Airport,FOC,Changle International Airport,2025-11-17 21:35:00,2025-11-17 23:50:00,135,MF8274,Xiamen Airlines,Economy Class,Sufficient,737,Medium Aircraft,Boeing,884,2,67
Hangzhou,Fuzhou,2025-11-17,HGH,Xiaoshan International Airport,SJW,Zhengding International Airport,2025-11-17 10:45:00,2025-11-17 13:00:00,135,9C8556,Spring Airlines,Economy Class,Sufficient,320,Medium Aircraft,Airbus,670,1,64
Hangzhou,Fuzhou,2025-11-17,SJW,Zhengding International Airport,FOC,Changle International Airport,2025-11-17 16:50:00,2025-11-17 19:35:00,165,9C7237,Spring Airlines,Economy Class,Sufficient,320,Medium Aircraft,Airbus,670,2,64
Hangzhou,Fuzhou,2025-11-17,HGH,Xiaoshan International Airport,CGO,Xinzheng International Airport,2025-11-17 06:50:00,2025-11-17 08:45:00,115,GJ8179,Loong Air,Economy Class,Sufficient,320,Medium Aircraft,Airbus,610,1,66
Hangzhou,Fuzhou,2025-11-17,CGO,Xinzheng International Airport,FOC,Changle International Airport,2025-11-17 21:00:00,2025-11-17 23:10:00,130,EU2431,Chengdu Airlines,Economy Class,Sufficient,320,Medium Aircraft,Airbus,610,2,66
