origin_city,destination_city,dep_date,dep_station_code,dep_station_name,arr_station_code,arr_station_name,dep_datetime,arr_datetime,duration,flight_no,airline,seat_class,seat_status,equip_type,equip_size,manufacturer,price,segment_index,route_index
Shenyang,Nanjing,2025-11-12,SHE,Taoxian International Airport,NKG,Lukou International Airport,2025-11-12 14:25:00,2025-11-12 17:10:00,165,CZ3656,China Southern Airlines,Economy Class,Sufficient,737,Medium Aircraft,Boeing,1607,1,69
Shenyang,Nanjing,2025-11-12,SHE,Taoxian International Airport,NKG,Lukou International Airport,2025-11-12 18:40:00,2025-11-12 21:10:00,150,MU2758,China Eastern Airlines,Economy Class,Sufficient,319,Medium Aircraft,Airbus,1100,1,66
Shenyang,Nanjing,2025-11-12,SHE,Taoxian International Airport,NKG,Lukou International Airport,2025-11-12 11:25:00,2025-11-12 14:05:00,160,G56175,Hua Xia Airlines,Economy Class,Sufficient,737,Medium Aircraft,Boeing,840,1,65
Shenyang,Nanjing,2025-11-12,SHE,Taoxian International Airport,NKG,Lukou International Airport,2025-11-12 08:15:00,2025-11-12 10:35:00,140,CZ5135,China Southern Airlines,Economy Class,Sufficient,320,Medium Aircraft,Airbus,1607,1,68
Shenyang,Nanjing,2025-11-12,SHE,Taoxian International Airport,NKG,Lukou International Airport,2025-11-12 18:40:00,2025-11-12 21:10:00,150,MF3384,Xiamen Airlines,Economy Class,Sufficient,319,Medium Aircraft,Airbus,1150,1,67
Shenyang,Nanjing,2025-11-12,SHE,Taoxian International Airport,PKX,Daxing International Airport,2025-11-12 08:05:00,2025-11-12 09:55:00,110,CZ6101,China Southern Airlines,Economy Class,Sufficient,320,Medium Aircraft,Airbus,998,1,72
Shenyang,Nanjing,2025-11-12,PKX,Daxing International Airport,NKG,Lukou International Airport,2025-11-12 11:30:00,2025-11-12 13:30:00,120,MU2812,China Eastern Airlines,Economy Class,Sufficient,320,Medium Aircraft,Airbus,998,2,72
Shenyang,Nanjing,2025-11-12,SHE,Taoxian International Airport,NKG,Lukou International Airport,2025-11-12 11:25:00,2025-11-12 14:05:00,160,KY9475,Kunming Airlines,Economy Class,Sufficient,737,Medium Aircraft,Boeing,836,1,64
Shenyang,Nanjing,2025-11-12,SHE,Taoxian International Airport,NKG,Lukou International Airport,2025-11-12 15:00:00,2025-11-12 18:50:00,230,9C7757,Spring Airlines,Economy Class,Sufficient,320,Medium Aircraft,Airbus,710,1,63
Nanjing,Shenyang,2025-11-17,NKG,Lukou International Airport,SHE,Taoxian International Airport,2025-11-17 19:25:00,2025-11-17 22:00:00,155,RY2026,Jiangxi Airlines,Economy Class,Sufficient,737,Medium Aircraft,Boeing,400,1,76
Nanjing,Shenyang,2025-11-17,NKG,Lukou International Airport,SHE,Taoxian International Airport,2025-11-17 15:30:00,2025-11-17 17:40:00,130,MF3383,Xiamen Airlines,Economy Class,Sufficient,320,Medium Aircraft,Airbus,492,1,81
Nanjing,Shenyang,2025-11-17,NKG,Lukou International Airport,SHE,Taoxian International Airport,2025-11-17 07:40:00,2025-11-17 09:45:00,125,MF3429,Xiamen Airlines,Economy Class,Sufficient,320NEO,Medium Aircraft,Airbus,401,1,74
Nanjing,Shenyang,2025-11-17,NKG,Lukou International Airport,PVG,Pudong International Airport,2025-11-17 07:25:00,2025-11-17 08:25:00,60,MU2881,China Eastern Airlines,Economy Class,Sufficient,320,Medium Aircraft,Airbus,621,1,87
Nanjing,Shenyang,2025-11-17,PVG,Pudong International Airport,SHE,Taoxian International Airport,2025-11-17 10:20:00,2025-11-17 12:40:00,140,MU5601,China Eastern Airlines,Economy Class,Sufficient,320NEO,Medium Aircraft,Airbus,621,2,87
Nanjing,Shenyang,2025-11-17,NKG,Lukou International Airport,SHE,Taoxian International Airport,2025-11-17 07:40:00,2025-11-17 09:45:00,125,MU2827,China Eastern Airlines,Economy Class,Sufficient,320NEO,Medium Aircraft,Airbus,405,1,75
Nanjing,Shenyang,2025-11-17,NKG,Lukou International Airport,SHE,Taoxian International Airport,2025-11-17 16:00:00,2025-11-17 18:30:00,150,MF8077,Xiamen Airlines,Economy Class,Sufficient,737,Medium Aircraft,Boeing,450,1,80
Nanjing,Shenyang,2025-11-17,NKG,Lukou International Airport,SHE,Taoxian International Airport,2025-11-17 19:25:00,2025-11-17 22:00:00,155,NS3282,Hebei Airlines,Economy Class,Sufficient,737,Medium Aircraft,Boeing,400,1,77
Nanjing,Shenyang,2025-11-17,NKG,Lukou International Airport,SHE,Taoxian International Airport,2025-11-17 10:55:00,2025-11-17 13:05:00,130,CZ3655,China Southern Airlines,Economy Class,Sufficient,737,Medium Aircraft,Boeing,550,1,82
Nanjing,Shenyang,2025-11-17,NKG,Lukou International Airport,SHE,Taoxian International Airport,2025-11-17 12:45:00,2025-11-17 15:05:00,140,CZ6361,China Southern Airlines,Economy Class,Sufficient,737,Medium Aircraft,Boeing,550,1,83
Nanjing,Shenyang,2025-11-17,NKG,Lukou International Airport,PEK,Capital International Airport,2025-11-17 14:00:00,2025-11-17 16:00:00,120,CA1848,Air China,Economy Class,Sufficient,320,Medium Aircraft,Airbus,444,1,84
Nanjing,Shenyang,2025-11-17,PEK,Capital International Airport,SHE,Taoxian International Airport,2025-11-17 19:15:00,2025-11-17 20:50:00,95,CA1635,Air China,Economy Class,Sufficient,321,Medium Aircraft,Airbus,444,2,84
