origin,destination,distance_meters,duration_minutes,cost
"28.183606,112.936153","28.190528,112.973865",5290,8,21
"28.183606,112.936153","28.190528,112.973865",5290,8,21
"28.183606,112.936153","28.196505,112.963081",4210,6,18
"28.183606,112.936153","28.117792,112.947121",10360,16,37
"28.183606,112.936153","28.180397,112.940805",810,10,0
"28.183606,112.936153","28.189233,112.969737",4690,7,20
"28.183606,112.936153","28.190000,112.980000",6100,9,24
"28.183606,112.936153","28.181974,112.885848",6910,10,26
"28.183606,112.936153","28.207576,112.946176",3980,6,18
"28.183606,112.936153","28.190791,112.974259",5350,8,22
"28.183606,112.936153","28.190953,112.973159",5200,8,21
"28.183606,112.936153","28.191433,112.973384",5250,8,21
"28.183606,112.936153","28.189394,112.974530",5340,8,22
"28.183606,112.936153","28.189147,112.974185",5290,8,21
"28.183606,112.936153","28.190257,112.972072",5040,8,21
"28.183606,112.936153","28.189385,112.975270",5440,8,22
"28.183606,112.936153","28.191183,112.976184",5620,8,22
"28.183606,112.936153","28.192819,112.973742",5350,8,22
"28.183606,112.936153","28.180734,112.936597",450,5,0
"28.183606,112.936153","28.187193,112.936348",560,7,0
"28.183606,112.936153","28.178501,112.937813",830,10,0
"28.183606,112.936153","28.177706,112.932422",1050,13,0
"28.183606,112.936153","28.190276,112.932871",1130,14,0
"28.183606,112.936153","28.190796,112.931429",1290,16,0
"28.183606,112.936153","28.185475,112.945675",1340,16,0
"28.183606,112.936153","28.185229,112.945757",1340,16,0
"28.183606,112.936153","28.184976,112.947099",1520,18,0
"28.183606,112.936153","28.180230,112.924241",1720,21,0
"28.183606,112.936153","28.198253,112.963659",4410,7,19
"28.183606,112.936153","28.198523,112.962848",4340,7,19
"28.183606,112.936153","28.198575,112.963025",4360,7,19
"28.183606,112.936153","28.191580,112.962160",3780,6,17
"28.183606,112.936153","28.198429,112.970513",5250,8,21
"28.183606,112.936153","28.198376,112.970920",5300,8,21
"28.183606,112.936153","28.198357,112.970928",5300,8,21
"28.183606,112.936153","28.198766,112.970925",5320,8,22
"28.183606,112.936153","28.198704,112.971193",5350,8,22
"28.183606,112.936153","28.191277,112.969168",4680,7,20
"28.183606,112.936153","28.186493,112.971892",4920,7,20
"28.183606,112.936153","28.188372,112.970360",4750,7,20
"28.183606,112.936153","28.189065,112.969660",4680,7,20
"28.183606,112.936153","28.188979,112.970630",4800,7,20
"28.183606,112.936153","28.118930,112.948709",10210,15,36
"28.183606,112.936153","28.117071,112.944480",10420,16,37
"28.183606,112.936153","28.115783,112.945326",10630,16,38
"28.183606,112.936153","28.115835,112.949261",10700,16,38
"28.183606,112.936153","28.114394,112.948922",10920,16,39
"28.183606,112.936153","28.123487,112.948995",9520,14,34
"28.183606,112.936153","28.123516,112.949123",9520,14,34
"28.183606,112.936153","28.121219,112.941493",9740,15,35
"28.183606,112.936153","28.124425,112.948934",9380,14,34
"28.183606,112.936153","28.117651,112.938537",10270,15,37
"28.183606,112.936153","28.188144,112.973622",5190,8,21
"28.183606,112.936153","28.181474,112.942030",870,10,0
"28.183606,112.936153","28.173140,112.943420",1910,23,0
"28.183606,112.936153","28.177695,112.949156",2010,5,12
"28.183606,112.936153","28.192438,112.970620",4930,7,20
