city,attraction_name,attraction_id,description,attraction_type,address,latitude,longitude,rating,opening_time,closing_time,closing_dates,min_visit_hours,max_visit_hours,ticket_price
Hangzhou,Hangzhou Hubin Intime in77 Zone A,B023B08RT2,"A well-known shopping center in Hangzhou, located by West Lake, featuring a wide range of brands and convenient transportation.",Leisure Experience,,30.253160,120.162484,4.8,10:00,22:00,,1.0,2.5,0.0
Hangzhou,Spring Dawn at Su Causeway,B023B02070,"The most famous of the Ten Scenes of West Lake, a lakeside causeway built under the supervision of Su Dongpo, renowned for its willow trees in spring.",Historical and Cultural,,30.243880,120.137960,4.8,Open 24 Hours,Open 24 Hours,,0.5,2.0,0.0
Hangzhou,West Lake Music Fountain,,"A large musical fountain located in Lakeside Park No. 3, offering spectacular nighttime performances synchronized with music.",Leisure Experience,,30.254900,120.154700,4.7,19:30,19:45,,0.0,1.5,0.0
Hangzhou,Xixi National Wetland Park,B023B06P06,"China's first national wetland park, boasting beautiful ecological environments and a filming location for the movie 'If You Are the One'.",Natural Scenery,,30.255079,120.061159,4.7,07:30,18:30,,2.5,4.0,80.0
Hangzhou,Southern Song Imperial Street,B0IA368WAJ,"Hangzhou's historic cultural pedestrian street, preserving the street layout from the Southern Song Dynasty, ideal for leisurely strolls.",Historical and Cultural,,30.242479,120.170779,4.5,Open 24 Hours,Open 24 Hours,,1.0,2.5,0.0
Hangzhou,"China Knife, Scissors, and Sword Museum",B023B09XH9,"A specialized museum showcasing the craftsmanship of Chinese knives, scissors, and swords, offering insights into Hangzhou's traditional handicraft culture.",Historical and Cultural,,30.316137,120.137682,4.7,Open 24 Hours,Open 24 Hours,,1.0,2.5,0.0
Hangzhou,Three Pools Mirroring the Moon,B023B0283D,"One of the Ten Scenes of West Lake, located on Xiaoyingzhou Island, named for the reflection of three stone pagodas resembling moons.",Historical and Cultural,,30.238845,120.145369,4.8,08:00,17:00,,2.0,3.5,70.0
Hangzhou,Qinghefang Pedestrian Street,B023B1E89A,"Hangzhou's most representative historic cultural district, retaining Ming and Qing architectural styles and featuring a variety of unique shops.",Historical and Cultural,,30.240073,120.168923,4.7,Open 24 Hours,Open 24 Hours,,2.0,3.5,0.0
Hangzhou,China Academy of Art Xiangshan Campus,B023B1A0E1,"A renowned art academy with distinctive architectural design, perfect for art enthusiasts to visit.",Art Exhibition,,30.155446,120.076690,3.7,Open 24 Hours,Open 24 Hours,,1.5,3.0,0.0
Hangzhou,Xiaohe Historical and Cultural District,B0FFFWQ8DS,A well-preserved historic district featuring typical Jiangnan water town architecture and a strong sense of local life.,Historical and Cultural,,30.308302,120.135337,4.7,Open 24 Hours,Open 24 Hours,,1.5,3.0,0.0
Hangzhou,Broken Bridge and Remnant Snow,B023B01EE6,"One of the Ten Scenes of West Lake, the legendary meeting place of Bai Suzhen and Xu Xian, marking the northern starting point of West Lake.",Historical and Cultural,,30.258106,120.151299,4.8,Open 24 Hours,Open 24 Hours,,0.0,1.5,0.0
Hangzhou,Southern Song Imperial Street Zhongshan Road Pedestrian Street,B023B14PP8,"A modern pedestrian street built on the ruins of the Southern Song Dynasty imperial city, blending historical culture with contemporary commerce.",Historical and Cultural,,30.240249,120.169526,4.7,Open 24 Hours,Open 24 Hours,,0.5,2.0,0.0
Hangzhou,Zhejiang Museum of Natural History,B023B15DKJ,"An important natural science museum in East China, showcasing a rich collection of exhibits.",Historical and Cultural,,30.276814,120.164581,4.8,09:00,17:00,Monday,1.5,3.0,0.0
Hangzhou,Hangzhou Arts and Crafts Museum,B023B0I02U,"A museum displaying traditional and modern handicrafts from Hangzhou, including silk, embroidery, carving, and various other art forms.",Historical and Cultural,,30.315645,120.136930,4.7,09:00,16:30,Tuesday,1.0,2.5,0.0
Hangzhou,Feilai Peak,B023B05MJE,"A unique peak in front of Lingyin Temple, featuring abundant stone carvings and distinctive geological landscapes.",Historical and Cultural,,30.239119,120.101101,4.8,06:30,18:00,,0.5,2.0,45.0
Hangzhou,Leifeng Pagoda Scenic Area,B023B09LKR,"A reconstructed ancient pagoda with a thousand-year history, offering panoramic views of West Lake and closely tied to the legend of 'The Legend of the White Snake'.",Historical and Cultural,,30.230934,120.148849,4.8,08:00,20:00,,0.5,2.0,40.0
Hangzhou,Lingyin Temple,B023B02842,"A famous ancient Buddhist temple in China with a history of approximately 1,700 years, known for its thriving incense offerings and magnificent architecture.",Historical and Cultural,,30.240826,120.101406,4.9,06:30,18:15,,2.5,4.0,75.0
