origin_city,destination_city,dep_date,dep_station_code,dep_station_name,arr_station_code,arr_station_name,dep_datetime,arr_datetime,duration,flight_no,airline,seat_class,seat_status,equip_type,equip_size,manufacturer,price,segment_index,route_index
Zhuhai,Shanghai,2025-11-12,ZUH,Jinwan Airport,SHA,Hongqiao International Airport,2025-11-12 20:30:00,2025-11-12 22:35:00,125,MU8568,China Eastern Airlines,Economy Class,Sufficient,737-800,Medium Aircraft,Boeing,504,1,154
Zhuhai,Shanghai,2025-11-12,ZUH,Jinwan Airport,SHA,Hongqiao International Airport,2025-11-12 21:45:00,2025-11-12 23:55:00,130,HO1156,Juneyao Airlines,Economy Class,Sufficient,321,Medium Aircraft,Airbus,400,1,146
Zhuhai,Shanghai,2025-11-12,ZUH,Jinwan Airport,JJN,Quanzhou Jinjiang International Airport,2025-11-12 10:30:00,2025-11-12 11:50:00,80,MF8344,Xiamen Airlines,Economy Class,Sufficient,737,Medium Aircraft,Boeing,400,1,165
Zhuhai,Shanghai,2025-11-12,JJN,Quanzhou Jinjiang International Airport,SHA,Hongqiao International Airport,2025-11-12 19:30:00,2025-11-12 21:05:00,95,MF8515,Xiamen Airlines,Economy Class,Sufficient,737,Medium Aircraft,Boeing,400,2,165
Zhuhai,Shanghai,2025-11-12,ZUH,Jinwan Airport,SHA,Hongqiao International Airport,2025-11-12 16:45:00,2025-11-12 18:50:00,125,G56469,Grand China Air,Economy Class,Sufficient,737,Medium Aircraft,Boeing,570,1,158
Zhuhai,Shanghai,2025-11-12,ZUH,Jinwan Airport,PVG,Pudong International Airport,2025-11-12 20:00:00,2025-11-12 22:35:00,155,FM9358,Shanghai Airlines,Economy Class,Sufficient,737-800,Medium Aircraft,Boeing,433,1,148
Zhuhai,Shanghai,2025-11-12,ZUH,Jinwan Airport,PVG,Pudong International Airport,2025-11-12 15:45:00,2025-11-12 18:10:00,145,MU5392,China Eastern Airlines,Economy Class,Sufficient,321,Medium Aircraft,Airbus,550,1,155
Zhuhai,Shanghai,2025-11-12,ZUH,Jinwan Airport,SHA,Hongqiao International Airport,2025-11-12 16:45:00,2025-11-12 18:50:00,125,CA4749,Air China,Economy Class,Sufficient,737,Medium Aircraft,Boeing,570,1,159
Zhuhai,Shanghai,2025-11-12,ZUH,Jinwan Airport,PVG,Pudong International Airport,2025-11-12 08:45:00,2025-11-12 11:05:00,140,3U1337,Sichuan Airlines,Economy Class,Sufficient,737,Medium Aircraft,Boeing,770,1,163
Zhuhai,Shanghai,2025-11-12,ZUH,Jinwan Airport,SHA,Hongqiao International Airport,2025-11-12 20:30:00,2025-11-12 22:35:00,125,FM9362,Shanghai Airlines,Economy Class,Sufficient,737-800,Medium Aircraft,Boeing,494,1,153
Zhuhai,Shanghai,2025-11-12,ZUH,Jinwan Airport,SHA,Hongqiao International Airport,2025-11-12 11:50:00,2025-11-12 14:05:00,135,G56513,Grand China Air,Economy Class,Sufficient,737,Medium Aircraft,Boeing,570,1,156
Shanghai,Zhuhai,2025-11-15,PVG,Pudong International Airport,ZUH,Jinwan Airport,2025-11-15 15:55:00,2025-11-15 18:55:00,180,MU8453,China Eastern Airlines,Economy Class,Sufficient,737-800,Medium Aircraft,Boeing,550,1,180
Shanghai,Zhuhai,2025-11-15,SHA,Hongqiao International Airport,ZUH,Jinwan Airport,2025-11-15 16:45:00,2025-11-15 19:20:00,155,MU8567,China Eastern Airlines,Economy Class,Sufficient,737-800,Medium Aircraft,Boeing,550,1,179
Shanghai,Zhuhai,2025-11-15,PVG,Pudong International Airport,ZUH,Jinwan Airport,2025-11-15 19:55:00,2025-11-15 22:50:00,175,HO7472,Juneyao Airlines,Economy Class,Sufficient,737,Medium Aircraft,Boeing,600,1,183
Shanghai,Zhuhai,2025-11-15,SHA,Hongqiao International Airport,ZUH,Jinwan Airport,2025-11-15 08:20:00,2025-11-15 10:50:00,150,FM9359,Shanghai Airlines,Economy Class,Sufficient,321,Medium Aircraft,Airbus,1042,1,186
Shanghai,Zhuhai,2025-11-15,SHA,Hongqiao International Airport,ZUH,Jinwan Airport,2025-11-15 19:55:00,2025-11-15 22:35:00,160,G56470,Grand China Air,Economy Class,Sufficient,737,Medium Aircraft,Boeing,520,1,174
Shanghai,Zhuhai,2025-11-15,PVG,Pudong International Airport,ZUH,Jinwan Airport,2025-11-15 15:55:00,2025-11-15 18:55:00,180,FM9357,Shanghai Airlines,Economy Class,Sufficient,737-800,Medium Aircraft,Boeing,537,1,178
Shanghai,Zhuhai,2025-11-15,PVG,Pudong International Airport,ZUH,Jinwan Airport,2025-11-15 12:10:00,2025-11-15 15:05:00,175,CZ3690,China Southern Airlines,Economy Class,Sufficient,737,Medium Aircraft,Boeing,746,1,184
Shanghai,Zhuhai,2025-11-15,SHA,Hongqiao International Airport,ZUH,Jinwan Airport,2025-11-15 16:45:00,2025-11-15 19:20:00,155,FM9361,Shanghai Airlines,Economy Class,Sufficient,737-800,Medium Aircraft,Boeing,542,1,177
Shanghai,Zhuhai,2025-11-15,SHA,Hongqiao International Airport,WUH,Tianhe International Airport,2025-11-15 07:25:00,2025-11-15 09:30:00,125,MU2510,China Eastern Airlines,Economy Class,Sufficient,737-800,Medium Aircraft,Boeing,1252,1,193
Shanghai,Zhuhai,2025-11-15,WUH,Tianhe International Airport,ZUH,Jinwan Airport,2025-11-15 11:05:00,2025-11-15 12:55:00,110,SC7947,Shandong Airlines,Economy Class,Sufficient,737,Medium Aircraft,Boeing,1252,2,193
Shanghai,Zhuhai,2025-11-15,SHA,Hongqiao International Airport,ZUH,Jinwan Airport,2025-11-15 19:55:00,2025-11-15 22:35:00,160,CA4750,Air China,Economy Class,Sufficient,737,Medium Aircraft,Boeing,520,1,175
