city,attraction_name,attraction_id,description,attraction_type,address,latitude,longitude,rating,opening_time,closing_time,closing_dates,min_visit_hours,max_visit_hours,ticket_price
Beijing,798 Art District,,"A globally renowned contemporary art district, a creative cultural park converted from former industrial factories.",Art Exhibition,,39.984456,116.503789,4.5,10:00,18:00,,2.0,3.5,0
Beijing,Wangfujing Pedestrian Street,B000A48169,"One of Beijing's most famous commercial streets, a century-old street blending traditional and modern commercial culture.",City Landmark,,39.913399,116.412420,4.8,Open 24 Hours,Open 24 Hours,,1.0,2.5,0
Beijing,Beihai Park,B000A80UL1,"One of China's oldest surviving imperial gardens, with the White Pagoda as its iconic structure.",Historical and Cultural,,39.928775,116.391802,4.9,06:00,21:00,Monday,1.0,2.5,20
Beijing,Summer Palace,B000A7O1CU,"A quintessential example of ancient Chinese imperial gardens, a UNESCO World Heritage Site centered around Kunming Lake and Longevity Hill.",Historical and Cultural,,39.999617,116.275179,4.9,06:00,20:00,,2.5,4.0,30
Beijing,Wudaoying Hutong,B0FFGQA57E,"A literary and leisure district in Beijing, featuring creative boutiques, cafés, and specialty restaurants.",Leisure Experience,,39.947899,116.411707,4.5,Open 24 Hours,Open 24 Hours,,1.0,2.5,0
Beijing,Shichahai,B000A7O5PK,"A historic cultural district in Beijing, where hutong scenery merges with lakeside views, offering enchanting nightscapes.",Historical and Cultural,,39.941893,116.385121,4.9,Open 24 Hours,Open 24 Hours,,1.5,3.0,0
Beijing,Capital Museum,B000A76B0A,"A comprehensive showcase of Beijing's history and culture, a modern museum rich in cultural relics.",Historical and Cultural,,39.906412,116.342067,4.8,09:00,17:00,Monday,1.5,3.0,0
Beijing,Jingshan Park,B000A7I1OL,"The highest point of Beijing's central axis, offering the best panoramic view of the Forbidden City, a Ming Dynasty imperial garden.",Historical and Cultural,,39.925875,116.396551,4.8,06:00,21:00,,1.0,2.5,2
Beijing,Tsinghua University,,"One of China's top science and engineering universities, with a beautiful campus and a strong academic atmosphere.",Historical and Cultural,,40.003220,116.325899,4.5,Open 24 Hours,Open 24 Hours,,0.0,1.5,0
Beijing,National Stadium (Bird's Nest),B000A7GWO5,"The main stadium of the 2008 Olympic Games, a masterpiece of modern architectural art and a symbol of Olympic spirit.",City Landmark,,39.993330,116.395784,4.9,09:00,19:00,,0.5,2.0,50
Beijing,Nanluoguxiang,B0FFFAH7I9,"A famous hutong commercial street in Beijing, featuring unique shops and cuisine, offering an experience of traditional courtyard culture.",Historical and Cultural,,39.937182,116.402394,4.8,Open 24 Hours,Open 24 Hours,,1.5,3.0,0
Beijing,Ming Tombs - Changling,B000A7W45X,"The largest tomb in the Ming Dynasty imperial mausoleum complex, the burial site of Emperor Yongle Zhu Di.",Historical and Cultural,,40.300235,116.248804,4.7,08:30,18:00,,1.0,2.5,50
Beijing,Tiananmen Square,B000A83C1S,"The central square of Beijing, the capital of the People's Republic of China, and the largest city square in the world.",Historical and Cultural,,39.903182,116.397755,4.9,05:00,22:00,,0.5,2.0,0
Beijing,Monument to the People's Heroes,B000A7B211,"The Monument to the People's Heroes standing at the center of Tiananmen Square, a sacred memorial to revolutionary martyrs.",Historical and Cultural,,39.904632,116.397691,4.8,Open 24 Hours,Open 24 Hours,,0.0,1.5,0
Beijing,Sanlitun Taikoo Li,B0FFFT5A1C,"A fashion landmark in Beijing, a hub for international brands and the center of modern urban nightlife.",City Landmark,,39.934862,116.454406,4.8,10:00,22:00,,1.5,3.0,0
