city,name,address,latitude,longitude,decoration_time,hotel_star,price,score,brand
Chongqing,Chongqing JW Marriott Hotel,"235 Minsheng Road, Chongqing",29.556987,106.571017,2014,5,886,4.6,Marriott
Chongqing,Atour Hotel Chongqing Guanyinqiao Beibin First Road,"Building 01, 290 Yulong Road, Jiangbei District, Chongqing (Part of 1st floor, 2nd-3rd floors, 46th-49th floors, Evergrande Yulong Tianfeng)",29.564069,106.538825,2025,4,651,5.0,Atour Hotel
Chongqing,Jinke Shengjia Hotel (Chaotianmen Huguang Guild Hall Branch),"80 Binjiang Road, Yangtze River",29.559166,106.588133,2023,4,136,4.8,
Chongqing,Orange Hotel Chongqing Ranjiaba,"319 Yusong Road, Yubei District, Chongqing",29.587200,106.492000,2017,3,200,4.8,Orange Hotel
Chongqing,Chongqing Grand Regency Ramada Plaza Hotel,"1 Yunjin Road, Banan District, Chongqing, near Xinhua Village, Yudong",29.373172,106.503096,2013,5,190,4.9,
Chongqing,Hanting Hotel Chongqing Guanyinqiao Pedestrian Street,"11 Jianxin East Road, Guanyinqiao Subdistrict, Jiangbei District, Chongqing",29.574455,106.536902,2018,2,234,4.8,Hanting Hotel
Chongqing,Lavande Hotel (Chongqing Fengdu Jiuheng Times Square Branch),"4-1, 28 Longxin Road",29.876584,107.749695,2024,3,330,4.8,
Chongqing,Howard Johnson Chongqing Yurun Hotel,"Building 1, 439 Xinnan Road, Yubei District, Chongqing, China Huarong Modern Plaza",29.600323,106.499604,2019,5,418,4.8,
Chongqing,Jinjiang Inn (Chongqing Southwest University Zhuangyuanbei Metro Station Hotel),"188 Kangning Road, Unit 45",29.797818,106.402261,2024,2,190,4.8,Jinjiang Inn
Chongqing,DoubleTree by Hilton Chongqing Jiafa,36 Nanping West Road,29.528993,106.563021,2016,5,560,4.8,Hilton
Chongqing,Home Inn - Chongqing North Railway Station High-Speed Rail Station Branch,"Unit 5, 98 East Section of Taishan Avenue, Yubei District, Chongqing",29.603985,106.555151,2020,2,136,4.5,Home Inn
Chongqing,Vienna Hotel (5.0 Chongqing Sunac Resort Branch),"Unit 3, Building 1, 14 Xigui Road Apartment, Shapingba District, Chongqing",29.638230,106.352458,2024,3,350,4.8,
Chongqing,Orange Hotel Chongqing Guanyinqiao Pedestrian Street,"19 Jianxin North Road Second Branch, Guanyinqiao, Jiangbei District, Chongqing, Feiyang Century",29.574700,106.527000,2019,3,297,4.7,Orange Hotel
Chongqing,Grand Forest International Hotel (Chongqing Jiangbei Airport Branch),"655 Konggang Avenue, Yubei District, Chongqing",29.768140,106.650278,2018,5,324,4.9,
Chongqing,Hanting Hotel (Chongqing Daping Metro Station Branch),"35 Changjiang Second Road, Yuzhong District, Chongqing",29.541578,106.526666,2025,2,265,4.5,Hanting Hotel
Chongqing,DoubleTree by Hilton Chongqing Jiangbei,"Building B, 68 Yanghe First Road, Xiexin Center",29.578850,106.531393,2011,5,630,4.9,Hilton
Chongqing,Chongqing Junhao Grand Hotel,"9 Jinyuan Road, Jiangbei District, Chongqing",29.559299,106.527185,2012,5,5016,4.6,
Chongqing,Switing Hotel (Fengdu Ghost City Branch),"4th Floor, 22 Mingshan Avenue, Sanhe Subdistrict",29.870886,107.732456,2025,3,203,5.0,
Chongqing,Kaizhou Jinke Grand Hotel,"2 East Section of Kaizhou Avenue, Zhongyuan Community, Wenfeng Subdistrict, Kaizhou District, Chongqing",31.179498,108.445024,2018,5,190,4.6,
Chongqing,Hanting Hotel Chongqing Guanyinqiao Metro Station,"Next to Jiandong Building, 5 Zhongye Road, Jiangbei District, Chongqing",29.572449,106.535926,2020,2,200,4.8,Hanting Hotel
