poi_name,latitude,longitude,address,poi_type
Shanghai Tower Observation Deck,31.233487,121.505317,,attraction
West Bund Museum,31.167682,121.463841,,attraction
BFC Bund Finance Center,31.226435,121.497809,,attraction
St. Ignatius Cathedral of Shanghai (Xujiahui Catholic Church),31.191164,121.436099,,attraction
Super Brand Mall,31.236752,121.499170,,attraction
Shanghai Museum (People's Square Branch),31.228234,121.475497,,attraction
Shanghai Natural History Museum,31.229167,121.451944,,attraction
Shanghai Century Park,31.215725,121.552563,,attraction
Pudong Art Museum,31.238115,121.496310,,attraction
Liu Haisu Art Museum,31.209504,121.419424,,attraction
Starry Sky Yili Terrace Western Restaurant,31.227525,121.487825,,restaurant
Yu Garden Renaissance Yu Café Western Restaurant,31.227406,121.487800,,restaurant
Dongfa Dao Tea Ice Hall (BFC Bund Financial Center Branch),31.227591,121.497309,,restaurant
Xin Rong Ji (BFC Bund Financial Center Branch),31.227300,121.497666,,restaurant
Shanghai Bund Restaurant (BFC Bund Financial Center Branch),31.227219,121.497657,,restaurant
DA VITTORIO SHANGHAI,31.227327,121.497532,,restaurant
Encounter The Bund (BFC Bund Financial Center Branch),31.226455,121.498458,,restaurant
PUTIEN (Bund Financial Center Branch),31.226065,121.497799,,restaurant
MOON N BACK Farm Restaurant,31.225721,121.498254,,restaurant
Shanghai Bund Indigo Hotel·Quay Riverside Restaurant (Zhongshan East Second Road Branch),31.226183,121.500038,,restaurant
Shanghai Bund Indigo Hotel · CHAR Restaurant,31.226125,121.500094,,restaurant
Pier 16 No.3 Cruise Terminal Waterfront Buffet Restaurant,31.225600,121.501144,,restaurant
Shanghai Museum Restaurant,31.228350,121.476185,,restaurant
New Bella Italian Restaurant (Dimei Plaza Branch),31.227746,121.472522,,restaurant
VIVANT French Restaurant,31.230323,121.477751,,restaurant
TAGSIU Bistro American Craft Beer Restaurant,31.228070,121.479030,,restaurant
Shantek South Asian Restaurant (Middle Huaihai Road Branch),31.225186,121.477877,,restaurant
Mingmen Feast Seafood (Shanghai First Branch),31.225699,121.478956,,restaurant
Yuan Yuan (Huaihai Road Branch),31.224328,121.475477,,restaurant
Fuwan Vietnamese Restaurant (Lippo Plaza Branch),31.224208,121.475689,,restaurant
Shuiqing Tairong Thai Garden Restaurant,31.232164,121.476698,,restaurant
Minhua Ice Room (Shanghai Raffles City Plaza Branch),31.232148,121.477124,,restaurant
Oriental Pearl Revolving Restaurant,31.239881,121.499750,,restaurant
Café de Coral (Super Brand Mall Branch),31.237186,121.499997,,restaurant
Rain Pine · Exquisite Teppanyaki Cuisine (Super Brand Mall Branch),31.236939,121.499084,,restaurant
SPACELAB Zero Gravity Restaurant (Shanghai Super Brand Mall Branch),31.236698,121.499532,,restaurant
Tsui Wah Restaurant (Super Brand Mall Branch),31.236632,121.499985,,restaurant
eat n work (Super Brand Mall Branch),31.236524,121.498143,,restaurant
Shang 9 · Shanghai Tower Sky Garden Branch,31.233622,121.505391,,restaurant
Shanghai Tower Garden No. 5 Restaurant,31.233463,121.505183,,restaurant
Maison Lameloise (La Maison Lameloise) (Yincheng Road Branch),31.233748,121.505390,,restaurant
Fresh King Terrace,31.233502,121.504997,,restaurant
Food Republic (Shanghai Tower Branch),31.233773,121.505003,,restaurant
Jingpu Club (Shanghai Tower Branch),31.233410,121.505860,,restaurant
Han Palace White-Collar Restaurant (Oriental Financial Center Branch),31.233024,121.503627,,restaurant
Jinmao Grand Hyatt ON56 Buffet Restaurant,31.235095,121.505881,,restaurant
Jinmao Sky Garden Restaurant (Jinmao Fashion Lifestyle Center Branch),31.235278,121.505340,,restaurant
Lujiazui Financial City White-Collar Restaurant Convenience Breakfast Cart,31.235458,121.505189,,restaurant
1886 German Automobile Restaurant (Lujiazui Riverside Branch),31.235556,121.496892,,restaurant
DONQUIXOTE Spanish Restaurant & Tavern,31.235980,121.497764,,restaurant
ELI FALAFEL Lebanese Restaurant (Fucheng Road Branch),31.235611,121.498066,,restaurant
Warehouse No. 3 · Creative Chinese Cuisine (Lujiazui · Super Brand Mall Branch),31.236125,121.498523,,restaurant
BROWNSTONE Spanish Restaurant & Bar (Fucheng Branch),31.235445,121.498176,,restaurant
Osmanthus House Huaiyang Chinese Restaurant (Pudong Shangri-La Hotel),31.235426,121.499120,,restaurant
Minre Restaurant (Saint Love Building Branch),31.191988,121.437084,,restaurant
Metal Hands Coffee,31.189519,121.435560,,restaurant
New Realm Smart Music Restaurant (Zhongjin International Plaza Building B Branch),31.190929,121.438549,,restaurant
You Dian Self-Service Restaurant (Xuhui Branch),31.188704,121.438533,,restaurant
Spit Garden Western Restaurant (Oriental Department Store Branch),31.193233,121.437851,,restaurant
Jingyan Shanghai Cuisine,31.189239,121.433762,,restaurant
Spanish Restaurant (Metro City Branch),31.192663,121.439200,,restaurant
Bullfighter Western Restaurant (TPY Center Branch),31.193075,121.439044,,restaurant
Shilu (Shanghai Grand Gateway Plaza Branch),31.194031,121.436826,,restaurant
HALO Star Immersive Sci-Fi Experience Restaurant (West Bund Phoenix Nest AI PLAZA Branch),31.164125,121.460612,,restaurant
Half Mountain Half Sea,31.165046,121.459341,,restaurant
Zens Tea Lounge Tea + French Cuisine (Shanghai West Bund Phoenix Nest Branch),31.163564,121.460866,,restaurant
New Brother·Modern Cantonese Cuisine (West Bund Phoenix Nest Branch),31.164067,121.459704,,restaurant
Yu Jian Huaiyang (West Bund Phoenix Nest Branch),31.164089,121.459497,,restaurant
4251 French South Home,31.168996,121.457576,,restaurant
BegL Bagel Restaurant (Gate M West Bund Dream Center),31.161942,121.465505,,restaurant
MAX S FRIENDS Restaurant & Tavern (Greenland Huizhong Center Branch),31.164575,121.457751,,restaurant
Dao Gu Qing Fashion Select Restaurant (Greenland·Hui Center Branch),31.164997,121.457296,,restaurant
Brandy Western Restaurant BAR·A·MUNDI (Xingyang West Coast Center Branch),31.161453,121.462353,,restaurant
Courtyard Hotel Buffet Restaurant MoMo Cafe (Xuhui Branch),31.192142,121.434420,,restaurant
Yi Café Seafood Buffet Restaurant (Shanghai Pudong Shangri-La),31.235994,121.499702,,restaurant
Jade 36 Restaurant (Pudong Shangri-La Branch),31.235994,121.499702,,restaurant
JSL Three Pepper Restaurant,31.228150,121.451818,,restaurant
KLAY Modern Indian Restaurant (Beijing West Road 1110 Lane Community Branch),31.229796,121.453432,,restaurant
Rongfu Banquet (Nanyang Road Branch),31.228155,121.450517,,restaurant
Portman's Restaurant (Nanjing West Road Branch),31.227361,121.452182,,restaurant
gaga (Plaza 66 Branch),31.227553,121.453419,,restaurant
Shangniu Society Beef & Liberty (Shanghai Center Branch),31.226513,121.451680,,restaurant
bluefrog (Shanghai Golden Eagle International Shopping Center Branch),31.228598,121.455042,,restaurant
New Zhenjiang Select Restaurant Xiaolongbao House,31.231440,121.449851,,restaurant
Moose Garden (Jing'an Branch),31.226759,121.453859,,restaurant
TSOO·Korean Fusion Cuisine (Jincang Mandarin Plaza Branch),31.227018,121.454325,,restaurant
Chao Mansion·Chaozhou Cuisine (Century Park Branch),31.211609,121.550205,,restaurant
Yanwu Restaurant (Golden Eagle Tower A Branch),31.220132,121.550164,,restaurant
One Foot Garden (Century Park),31.212024,121.548349,,restaurant
Ming Ji Roasted Meats Restaurant,31.210316,121.558746,,restaurant
Drive-Thru Restaurant,31.215606,121.543081,,restaurant
Shanghai Pudong Renaissance Hotel - Banquet Hall,31.223894,121.552230,,restaurant
Yucui Pavilion Chinese Restaurant,31.214371,121.562219,,restaurant
Mi Xiang Yuan Select Restaurant (Shanghai Information Tower Branch),31.224152,121.551100,,restaurant
Daoxiangqing Fashion Smart Choice Restaurant Meihua Road Branch,31.210963,121.560861,,restaurant
BIANCHI PLUS (Pudong Kerry Parkside Branch),31.212770,121.562545,,restaurant
New Australia Hong Kong-Style Restaurant (Yan'an West Road Branch),31.209294,121.423404,,restaurant
Fengyan Restaurant,31.210937,121.423222,,restaurant
Shangzhengyi Steamed Seafood (Shanghai Flagship Store),31.209011,121.423635,,restaurant
Xianqi Half-Step Tipsy Tavern (Dingxi Road Branch),31.208756,121.423945,,restaurant
Shangzhengyi Steamed Seafood (Fu 1999·Dingxi Road Branch 2),31.208706,121.423959,,restaurant
"Kowloon City - Claypot Porridge, Stir-fried Dishes, BBQ, and Oysters",31.208650,121.423980,,restaurant
Yang's Qiqihar Barbecue (Dingxi Road Branch),31.207847,121.423854,,restaurant
Backyard Shanghai Cuisine · Fusion Dishes (Dingxi Road Branch),31.207835,121.423884,,restaurant
Huxi Old Alley Noodle House,31.206976,121.423453,,restaurant
Little George Café (Yan'an West Road 1782 Lane No.1-4 Community Branch),31.207429,121.414777,,restaurant
Tanjie All-Day Dining Restaurant (Shanghai Pudong International Airport Branch),31.146964,121.806694,,restaurant
