origin_city,destination_city,dep_date,dep_station_code,dep_station_name,arr_station_code,arr_station_name,dep_datetime,arr_datetime,duration,train_no,train_type,seat_class,seat_status,price,segment_index,route_index
Wuhan,Nanjing,2025-11-12,HKN,Hankou Station,NKH,Nanjing South Station,2025-11-12 16:11:00,2025-11-12 18:48:00,157,G1726,High-Speed Train,Second Class Seat,Sufficient,200,1,303
Wuhan,Nanjing,2025-11-12,HKN,Hankou Station,NKH,Nanjing South Station,2025-11-12 14:08:00,2025-11-12 16:58:00,170,G596,High-Speed Train,Second Class Seat,Sufficient,200,1,314
Wuhan,Nanjing,2025-11-12,HKN,Hankou Station,NKH,Nanjing South Station,2025-11-12 07:54:00,2025-11-12 10:55:00,181,D3016,Electric Multiple Unit,Second Class Seat,Sufficient,200,1,323
Wuhan,Nanjing,2025-11-12,HKN,Hankou Station,NKH,Nanjing South Station,2025-11-12 15:47:00,2025-11-12 18:30:00,163,D954,Electric Multiple Unit,Second Class Seat,Sufficient,200,1,306
Wuhan,Nanjing,2025-11-12,WHN,Wuhan Station,NKH,Nanjing South Station,2025-11-12 19:43:00,2025-11-12 23:01:00,198,G3592,High-Speed Train,Second Class Seat,Sufficient,201,1,328
Wuhan,Nanjing,2025-11-12,WHN,Wuhan Station,NKH,Nanjing South Station,2025-11-12 15:05:00,2025-11-12 17:53:00,168,G1774,High-Speed Train,Second Class Seat,Sufficient,202,1,312
Wuhan,Nanjing,2025-11-12,WHN,Wuhan Station,NKH,Nanjing South Station,2025-11-12 15:00:00,2025-11-12 17:31:00,151,G600,High-Speed Train,无座,Sufficient,201,1,302
Wuhan,Nanjing,2025-11-12,HKN,Hankou Station,NKH,Nanjing South Station,2025-11-12 08:13:00,2025-11-12 11:10:00,177,G1738,High-Speed Train,Second Class Seat,Sufficient,200,1,319
Wuhan,Nanjing,2025-11-12,HKN,Hankou Station,NKH,Nanjing South Station,2025-11-12 13:43:00,2025-11-12 16:27:00,164,D958,Electric Multiple Unit,无座,Sufficient,200,1,307
Wuhan,Nanjing,2025-11-12,WHN,Wuhan Station,NKH,Nanjing South Station,2025-11-12 08:27:00,2025-11-12 12:28:00,241,G2817,High-Speed Train,Second Class Seat,Sufficient,272,1,331
Nanjing,Wuhan,2025-11-14,NKH,Nanjing South Station,HKN,Hankou Station,2025-11-14 16:18:00,2025-11-14 19:10:00,172,D2493,Electric Multiple Unit,Second Class Seat,Sufficient,200,1,350
Nanjing,Wuhan,2025-11-14,NKH,Nanjing South Station,WHN,Wuhan Station,2025-11-14 15:52:00,2025-11-14 18:28:00,156,G1745,High-Speed Train,Business Seat,Sufficient,603,1,364
Nanjing,Wuhan,2025-11-14,NKH,Nanjing South Station,WHN,Wuhan Station,2025-11-14 10:08:00,2025-11-14 13:23:00,195,G587,High-Speed Train,Second Class Seat,Sufficient,202,1,358
Nanjing,Wuhan,2025-11-14,NKH,Nanjing South Station,MBN,Macheng North Station,2025-11-14 11:04:00,2025-11-14 13:21:00,137,D2273,Electric Multiple Unit,Second Class Seat,Sufficient,201,1,357
Nanjing,Wuhan,2025-11-14,MBN,Macheng North Station,WHN,Wuhan Station,2025-11-14 13:38:00,2025-11-14 14:17:00,39,G591,High-Speed Train,Second Class Seat,Sufficient,201,2,357
Nanjing,Wuhan,2025-11-14,NKH,Nanjing South Station,WHN,Wuhan Station,2025-11-14 15:55:00,2025-11-14 20:00:00,245,G3121,High-Speed Train,Second Class Seat,Sufficient,266,1,365
Nanjing,Wuhan,2025-11-14,NKH,Nanjing South Station,HKN,Hankou Station,2025-11-14 10:14:00,2025-11-14 12:55:00,161,D953,Electric Multiple Unit,Second Class Seat,Sufficient,200,1,337
Nanjing,Wuhan,2025-11-14,NKH,Nanjing South Station,HKN,Hankou Station,2025-11-14 20:12:00,2025-11-14 23:00:00,168,D3015,Electric Multiple Unit,Second Class Seat,Sufficient,200,1,342
Nanjing,Wuhan,2025-11-14,NKH,Nanjing South Station,HKN,Hankou Station,2025-11-14 11:47:00,2025-11-14 14:50:00,183,G3319,High-Speed Train,Second Class Seat,Sufficient,200,1,354
Nanjing,Wuhan,2025-11-14,NKH,Nanjing South Station,WHN,Wuhan Station,2025-11-14 06:53:00,2025-11-14 09:26:00,153,G3591,High-Speed Train,无座,Sufficient,201,1,332
Nanjing,Wuhan,2025-11-14,NKH,Nanjing South Station,WHN,Wuhan Station,2025-11-14 17:58:00,2025-11-14 20:29:00,151,G1729,High-Speed Train,Second Class Seat,Sufficient,201,1,333
