origin,destination,distance_meters,duration_minutes,cost
"30.238845,120.145369","30.243880,120.137960",1270,15,0
"30.238845,120.145369","30.254900,120.154700",2800,5,14
"30.238845,120.145369","30.255079,120.061159",11600,17,42
"30.238845,120.145369","30.240073,120.168923",3170,5,15
"30.238845,120.145369","30.316137,120.137682",12080,18,44
"30.238845,120.145369","30.308302,120.135337",10900,16,39
"30.238845,120.145369","30.253160,120.162484",3200,5,15
"30.238845,120.145369","30.155446,120.076690",15940,24,59
"30.238845,120.145369","30.242479,120.170779",3460,5,16
"30.238845,120.145369","30.232386,120.149789",1170,14,0
"30.238845,120.145369","30.238732,120.154521",1230,15,0
"30.238845,120.145369","30.236157,120.154292",1270,15,0
"30.238845,120.145369","30.230372,120.148032",1370,16,0
"30.238845,120.145369","30.240324,120.155890",1430,17,0
"30.238845,120.145369","30.230253,120.138864",1600,19,0
"30.238845,120.145369","30.234732,120.156845",1670,20,0
"30.238845,120.145369","30.240410,120.157740",1680,20,0
"30.238845,120.145369","30.230581,120.137300",1680,20,0
"30.238845,120.145369","30.239341,120.157948",1690,20,0
"30.238845,120.145369","30.247279,120.133313",2090,5,12
"30.238845,120.145369","30.246209,120.132068",2120,5,12
"30.238845,120.145369","30.247373,120.131962",2240,5,12
"30.238845,120.145369","30.250209,120.140723",1880,23,0
"30.238845,120.145369","30.248263,120.131589",2360,5,13
"30.238845,120.145369","30.252574,120.137577",2380,5,13
"30.238845,120.145369","30.251519,120.131988",2670,5,14
"30.238845,120.145369","30.234669,120.133019",1780,21,0
"30.238845,120.145369","30.253808,120.133460",2830,5,14
"30.238845,120.145369","30.240230,120.126352",2570,5,13
"30.238845,120.145369","30.257141,120.158020",3320,5,16
"30.238845,120.145369","30.257779,120.157824",3390,5,16
"30.238845,120.145369","30.257475,120.159475",3470,5,16
"30.238845,120.145369","30.256048,120.160868",3390,5,16
"30.238845,120.145369","30.255517,120.161265",3360,5,16
"30.238845,120.145369","30.259038,120.159258",3660,5,17
"30.238845,120.145369","30.259017,120.159309",3660,5,17
"30.238845,120.145369","30.260575,120.153651",3560,5,16
"30.238845,120.145369","30.260378,120.157253",3710,6,17
"30.238845,120.145369","30.257225,120.161325",3580,5,16
"30.238845,120.145369","30.257882,120.060148",11840,18,43
"30.238845,120.145369","30.258014,120.060353",11820,18,43
"30.238845,120.145369","30.252592,120.054018",12470,19,45
"30.238845,120.145369","30.248028,120.061537",11360,17,41
"30.238845,120.145369","30.255298,120.052736",12720,19,46
"30.238845,120.145369","30.264967,120.059799",12200,18,44
"30.238845,120.145369","30.247866,120.052082",12620,19,46
"30.238845,120.145369","30.247608,120.049377",12980,19,48
"30.238845,120.145369","30.247398,120.048962",13030,20,48
"30.238845,120.145369","30.247268,120.048608",13080,20,48
"30.238845,120.145369","30.240719,120.169041",3200,5,15
"30.238845,120.145369","30.239312,120.169339",3220,5,15
"30.238845,120.145369","30.239071,120.169689",3270,5,15
"30.238845,120.145369","30.240777,120.170435",3380,5,16
"30.238845,120.145369","30.240648,120.171031",3460,5,16
"30.238845,120.145369","30.239810,120.171980",3580,5,16
