city,name,address,latitude,longitude,decoration_time,hotel_star,price,score,brand,services
Zhengzhou,Zhengzhou High-Tech Crowne Plaza Hotel,"No. 26, Mudan Road",34.827628,113.563243,2022,5,556,4.8,,Gym;Washer and Dryer
Zhengzhou,Ji Hotel Zhengzhou Convention and Exhibition Center Future Road,"No. 60, Weilai Road, Jinshui District, Zhengzhou City, Henan Province",34.772300,113.707000,2020,3,328,4.6,Ji Hotel,Gym;Robot Service;TV Casting
Zhengzhou,Zhengzhou Jinshui Hilton Hampton Hotel,"No. 27, Nongye Road (at the intersection of Nongye Road and Information College Road, west of Henan Provincial Department of Agriculture), adjacent to Henan Museum",34.787778,113.657658,2018,4,364,4.3,Hilton,SPA Service;Swimming Pool
Zhengzhou,Jinjiang Inn (Phoenix Tea City Phoenix Terrace South Metro Station),"Northeast corner, 5 meters from the intersection of Shihua Road and Weilai Road, Guancheng Hui District, Zhengzhou",34.733212,113.704863,2024,3,157,4.5,Jinjiang Inn,Gym;Free Parking;Robot Service
Zhengzhou,Zhengzhou Airport Hilton Garden Inn,"No. 29, Fuyin No. 2, Xiaodian Road, Aviation Port, Zhengzhou City, Henan Province",34.489252,113.924137,2025,4,385,4.5,Hilton,Gym;Free Parking;Robot Service;Washer and Dryer
Zhengzhou,Home Inn - Zhengzhou Railway Station Erqi Square Metro Station,"No. 52, Yuanling Street, Erqi District, Zhengzhou, Henan (opposite the south gate of Wanbo Mall, under Yuanling Shopping Mall)",34.748404,113.664174,2022,2,221,4.6,Home Inn,Robot Service;Washer and Dryer
Zhengzhou,Zhengzhou High-Tech Holiday Inn,"No. 186, Heyang Road, High-Tech Zone (adjacent to the Cybersecurity Science and Technology Museum)",34.819372,113.484180,2021,5,533,4.8,,SPA Service;Robot Service;TV Casting
Zhengzhou,Xinmi Huangdi Palace Imperial Hot Spring Resort Hotel,"Yinji International Tourism Resort, Liuzhai Town, Xinmi City (5 kilometers from the Xuanyuanqiu Exit of Zhengyao Expressway)",34.481991,113.550337,2019,4,616,4.7,,SPA Service;Washer and Dryer;TV Casting
Zhengzhou,Orange Hotel Zhengzhou Provincial Government MixC,"Southwest corner, intersection of Zhengguang North Street and Dehou Street, Zhengdong New District, Coal Construction Building, Block B, East Unit, 1st Floor (partial), 3rd to 14th Floors",34.771074,113.755528,2024,3,330,4.9,Orange Hotel,Washer and Dryer;TV Casting
Zhengzhou,Zhengzhou Beilonghu Financial Center Financial Island Atour Hotel,"Southwest corner, intersection of Longxiang First Street and Ruyi River East Second Street, Zhengdong New District, Zhengzhou (Hao Mulin Ruyi Fang), Building 7, 1st Floor, Units 147-149, 3rd, 4th, and 5th Floors (entire floors)",34.801804,113.740044,2024,4,402,4.8,Atour Hotel,Free Parking;TV Casting
Zhengzhou,Zhengzhou Guanghua Grand Hotel,"No. 68, Ruida Road, High-Tech Industrial Development Zone",34.798408,113.567656,2021,4,296,4.6,,SPA Service;Gym;Free Parking;Swimming Pool
Zhengzhou,Zhengzhou East High-Speed Railway Station Atour Hotel,"North Tower Podium, Twin Towers, intersection of Dongfeng South Road and Chuangye Road, Guancheng District, Zhengzhou",34.760173,113.767623,2020,4,468,4.7,Atour Hotel,Free Parking;Swimming Pool;Washer and Dryer
Zhengzhou,Home Inn Selected Zhengzhou East Station,"Intersection of Xinyi Road and East Station South Street, Zhengdong New District, Zhengzhou, Henan",34.757727,113.773536,2018,3,278,4.6,Home Inn,SPA Service;Gym
Zhengzhou,Jinjiang Inn Zhengzhou Railway Station Erqi Square Metro Station,"No. 77, Erma Road",34.749441,113.659562,2015,2,149,4.5,Jinjiang Inn,Robot Service;Swimming Pool;Washer and Dryer
Zhengzhou,Zhengzhou Aimagene Hotel,"No. 167, Ninth Avenue, Economic and Technological Development Zone",34.707160,113.765391,2023,3,211,4.4,,Robot Service;Washer and Dryer
Zhengzhou,Jinjiang Inn (Zhengzhou East High-Speed Railway Station Zhengdong MixC Store),"No. 106, Nongye South Road (50 meters south of the intersection of Jinshui East Road and Nongye South Road)",34.762718,113.755074,2015,3,245,4.8,Jinjiang Inn,SPA Service;Washer and Dryer;TV Casting
Zhengzhou,Zhengzhou Jianguo Hotel,"No. 86, Airport Road, East Section of Jinshui Avenue, Zhengzhou City, Henan Province (350 meters west of Jinshui Overpass, north side of the road)",34.763266,113.715505,2011,5,408,4.8,,Robot Service;TV Casting
