origin_city,destination_city,dep_date,dep_station_code,dep_station_name,arr_station_code,arr_station_name,dep_datetime,arr_datetime,duration,flight_no,airline,seat_class,seat_status,equip_type,equip_size,manufacturer,price,segment_index,route_index
Shenzhen,Beijing,2025-11-12,SZX,Bao'an International Airport,PKX,Daxing International Airport,2025-11-12 14:05:00,2025-11-12 17:15:00,190,KN5858,China United Airlines,Economy Class,Sufficient,737,Medium Aircraft,Boeing,1100,1,391
Shenzhen,Beijing,2025-11-12,SZX,Bao'an International Airport,PKX,Daxing International Airport,2025-11-12 12:10:00,2025-11-12 15:15:00,185,G59274,China Express Airlines,Economy Class,Sufficient,737,Medium Aircraft,Boeing,1160,1,393
Shenzhen,Beijing,2025-11-12,SZX,Bao'an International Airport,PEK,Capital International Airport,2025-11-12 13:55:00,2025-11-12 18:50:00,295,CA3411,Air China,Economy Class,Sufficient,320,Medium Aircraft,Airbus,1080,1,395
Shenzhen,Beijing,2025-11-12,SZX,Bao'an International Airport,PEK,Capital International Airport,2025-11-12 13:55:00,2025-11-12 18:50:00,295,KY9209,Kunming Airlines,Economy Class,Sufficient,320,Medium Aircraft,Airbus,1080,1,394
Shenzhen,Beijing,2025-11-12,SZX,Bao'an International Airport,SHA,Hongqiao International Airport,2025-11-12 16:10:00,2025-11-12 18:30:00,140,MU5354,China Eastern Airlines,Economy Class,Sufficient,737,Medium Aircraft,Boeing,500,1,397
Shenzhen,Beijing,2025-11-12,SHA,Hongqiao International Airport,PKX,Daxing International Airport,2025-11-12 20:40:00,2025-11-12 22:55:00,135,MU8230,China Eastern Airlines,Economy Class,Sufficient,737,Medium Aircraft,Boeing,500,2,397
Shenzhen,Beijing,2025-11-12,SZX,Bao'an International Airport,HGH,Xiaoshan International Airport,2025-11-12 15:20:00,2025-11-12 17:20:00,120,HU7395,Hainan Airlines | Hainan Airlines,Economy Class,Sufficient,787,Large Aircraft,Boeing,699,1,402
Shenzhen,Beijing,2025-11-12,HGH,Xiaoshan International Airport,PEK,Capital International Airport,2025-11-12 21:10:00,2025-11-12 23:40:00,150,HU7678,Hainan Airlines | Hainan Airlines,Economy Class,Sufficient,787,Large Aircraft,Boeing,699,2,402
Shenzhen,Beijing,2025-11-12,SZX,Bao'an International Airport,PKX,Daxing International Airport,2025-11-12 15:30:00,2025-11-12 18:45:00,195,CZ3189,China Southern Airlines,Economy Class,Sufficient,777,Large Aircraft,Boeing,1000,1,388
Shenzhen,Beijing,2025-11-12,SZX,Bao'an International Airport,SHA,Hongqiao International Airport,2025-11-12 12:30:00,2025-11-12 14:45:00,135,MU8432,China Eastern Airlines,Economy Class,Sufficient,330,Large Aircraft,Airbus,500,1,399
Shenzhen,Beijing,2025-11-12,SHA,Hongqiao International Airport,PKX,Daxing International Airport,2025-11-12 20:40:00,2025-11-12 22:55:00,135,MU8230,China Eastern Airlines,Economy Class,Sufficient,737,Medium Aircraft,Boeing,500,2,399
Shenzhen,Beijing,2025-11-12,SZX,Bao'an International Airport,PKX,Daxing International Airport,2025-11-12 21:00:00,2025-11-12 23:55:00,175,G59098,China Express Airlines,Economy Class,Sufficient,737,Medium Aircraft,Boeing,1000,1,384
Shenzhen,Beijing,2025-11-12,SZX,Bao'an International Airport,PKX,Daxing International Airport,2025-11-12 21:00:00,2025-11-12 23:55:00,175,3U2464,Sichuan Airlines,Economy Class,Sufficient,737,Medium Aircraft,Boeing,1000,1,383
Beijing,Shenzhen,2025-11-18,PEK,Capital International Airport,SZX,Bao'an International Airport,2025-11-18 19:30:00,2025-11-18 23:00:00,210,HU7713,Hainan Airlines | Hainan Airlines,Economy Class,Sufficient,787,Large Aircraft,Boeing,1000,1,417
Beijing,Shenzhen,2025-11-18,PKX,Daxing International Airport,SZX,Bao'an International Airport,2025-11-18 11:00:00,2025-11-18 14:35:00,215,CZ3168,China Southern Airlines,Economy Class,Sufficient,320,Medium Aircraft,Airbus,889,1,408
Beijing,Shenzhen,2025-11-18,PKX,Daxing International Airport,SZX,Bao'an International Airport,2025-11-18 06:55:00,2025-11-18 11:55:00,300,DZ6210,Donghai Airlines,Economy Class,Sufficient,737-800,Medium Aircraft,Boeing,800,1,404
Beijing,Shenzhen,2025-11-18,PEK,Capital International Airport,SHA,Hongqiao International Airport,2025-11-18 13:00:00,2025-11-18 15:05:00,125,MU5112,China Eastern Airlines,Economy Class,Sufficient,330,Large Aircraft,Airbus,894,1,428
