origin,destination,distance_meters,duration_minutes,cost
"30.654685,104.078817","30.663869,104.053307",3700,6,17
"30.654685,104.078817","30.645000,104.050000",4140,6,18
"30.654685,104.078817","30.644000,104.052000",3960,6,17
"30.654685,104.078817","30.999000,103.617000",81760,123,323
"30.654685,104.078817","30.732000,104.150000",15350,23,57
"30.654685,104.078817","30.656990,104.057641",2860,5,14
"30.654685,104.078817","30.668365,104.053864",3960,6,17
"30.654685,104.078817","30.657297,104.063749",2060,5,12
"30.654685,104.078817","30.656882,104.058603",2730,5,14
"30.654685,104.078817","30.654170,104.078958",80,5,0
"30.654685,104.078817","30.654531,104.077614",160,5,0
"30.654685,104.078817","30.655078,104.077428",200,5,0
"30.654685,104.078817","30.654388,104.080336",210,5,0
"30.654685,104.078817","30.654601,104.080517",230,5,0
"30.654685,104.078817","30.654415,104.077083",240,5,0
"30.654685,104.078817","30.654132,104.077153",240,5,0
"30.654685,104.078817","30.654460,104.080868",280,5,0
"30.654685,104.078817","30.654508,104.080877",280,5,0
"30.654685,104.078817","30.654007,104.076812",290,5,0
"30.654685,104.078817","30.663924,104.053720",3660,5,17
"30.654685,104.078817","30.663163,104.053746",3610,5,16
"30.654685,104.078817","30.663338,104.054079",3580,5,16
"30.654685,104.078817","30.663759,104.054408",3560,5,16
"30.654685,104.078817","30.663520,104.054902",3490,5,16
"30.654685,104.078817","30.664635,104.051670",3950,6,17
"30.654685,104.078817","30.666555,104.052671",3960,6,17
"30.654685,104.078817","30.667067,104.054643",3770,6,17
"30.654685,104.078817","30.667881,104.055095",3780,6,17
"30.654685,104.078817","30.667604,104.055896",3670,6,17
"30.654685,104.078817","30.643241,104.048570",4430,7,19
"30.654685,104.078817","30.641445,104.050759",4290,6,18
"30.654685,104.078817","30.644238,104.045840",4710,7,20
"30.654685,104.078817","30.641334,104.050190",4360,7,19
"30.654685,104.078817","30.641064,104.047460",4700,7,20
"30.654685,104.078817","30.646589,104.055046",3420,5,16
"30.654685,104.078817","30.640353,104.051448",4290,6,18
"30.654685,104.078817","30.640688,104.047147",4770,7,20
"30.654685,104.078817","30.640652,104.047151",4770,7,20
"30.654685,104.078817","30.649528,104.053294",3510,5,16
"30.654685,104.078817","30.641888,104.055322",3720,6,17
"30.654685,104.078817","30.642444,104.056934",3500,5,16
"30.654685,104.078817","30.646767,104.056740",3200,5,15
"30.654685,104.078817","30.997876,103.617940",81550,122,322
"30.654685,104.078817","30.997252,103.616310",81650,122,322
"30.654685,104.078817","30.997217,103.616294",81650,122,322
"30.654685,104.078817","30.998295,103.622448",81140,122,320
"30.654685,104.078817","30.994976,103.621147",80930,121,319
"30.654685,104.078817","31.000353,103.623375",81250,122,321
"30.654685,104.078817","30.996065,103.622804",80870,121,319
"30.654685,104.078817","31.002128,103.622984",81480,122,322
"30.654685,104.078817","31.002286,103.623338",81460,122,321
"30.654685,104.078817","31.005590,103.617400",82390,124,325
"30.654685,104.078817","30.734411,104.145977",15330,23,57
"30.654685,104.078817","30.740664,104.154233",16760,25,63
"30.654685,104.078817","30.718200,104.150406",13770,21,51
"30.654685,104.078817","30.742216,104.138901",15820,24,59
"30.654685,104.078817","30.719208,104.157827",14590,22,54
"30.654685,104.078817","30.743926,104.136487",15890,24,59
"30.654685,104.078817","30.722332,104.134215",12880,19,47
"30.654685,104.078817","30.743057,104.135454",15710,24,58
"30.654685,104.078817","30.743751,104.136102",15840,24,59
"30.654685,104.078817","30.722241,104.134147",12860,19,47
"30.654685,104.078817","30.656754,104.059012",2670,5,14
"30.654685,104.078817","30.655140,104.057305",2880,5,14
"30.654685,104.078817","30.658649,104.059212",2700,5,14
"30.654685,104.078817","30.657032,104.060546",2470,5,13
"30.654685,104.078817","30.656958,104.060634",2460,5,13
"30.654685,104.078817","30.657078,104.054256",3310,5,16
"30.654685,104.078817","30.659150,104.060393",2560,5,13
"30.654685,104.078817","30.655064,104.053819",3350,5,16
"30.654685,104.078817","30.659877,104.062021",2390,5,13
"30.654685,104.078817","30.656085,104.064025",1990,24,0
"30.654685,104.078817","30.668445,104.053930",3960,6,17
"30.654685,104.078817","30.668316,104.053617",3990,6,18
"30.654685,104.078817","30.668202,104.054804",3840,6,17
"30.654685,104.078817","30.669547,104.052615",4200,6,18
"30.654685,104.078817","30.669813,104.058680",3580,5,16
"30.654685,104.078817","30.658970,104.065865",1860,22,0
"30.654685,104.078817","30.655996,104.066530",1660,20,0
"30.654685,104.078817","30.655767,104.067000",1590,19,0
"30.654685,104.078817","30.654259,104.065470",1790,21,0
"30.654685,104.078817","30.566550,103.954761",21550,32,82
"30.654685,104.078817","30.554132,103.963807",21970,33,83
"30.654685,104.078817","30.560751,103.967890",20850,31,79
"30.654685,104.078817","30.603137,104.068464",8140,12,30
"30.654685,104.078817","30.603004,104.068896",8150,12,30
"30.654685,104.078817","30.602824,104.068639",8190,12,30
"30.654685,104.078817","30.310654,104.443250",72520,109,286
"30.654685,104.078817","30.311414,104.442460",72360,109,285
"30.654685,104.078817","30.629527,104.144253",9600,14,34
"30.654685,104.078817","30.628600,104.137373",8830,13,32
"30.654685,104.078817","30.629440,104.144592",9650,14,35
"30.654685,104.078817","30.673265,104.040653",5870,9,23
"30.654685,104.078817","30.680634,104.043539",6220,9,24
"30.654685,104.078817","30.680798,104.043594",6230,9,24
"30.654685,104.078817","30.650189,104.115805",5000,8,21
"30.654685,104.078817","30.650067,104.115088",4910,7,20
"30.654685,104.078817","30.649995,104.116292",5070,8,21
"30.654685,104.078817","30.659966,104.070340",1400,17,0
"30.654685,104.078817","30.656822,104.068943",1360,16,0
"30.654685,104.078817","30.656857,104.070150",1210,15,0
"30.654685,104.078817","30.719985,104.037457",11580,17,42
"30.654685,104.078817","30.717008,104.043679",10780,16,39
"30.654685,104.078817","30.713392,104.029103",11310,17,41
"30.654685,104.078817","30.577264,104.186171",18760,28,71
"30.654685,104.078817","30.577615,104.185694",18680,28,70
"30.654685,104.078817","30.577756,104.184624",18560,28,70
"30.654685,104.078817","30.538190,104.085994",18160,27,68
"30.654685,104.078817","22.216553,113.549793",1860690,2791,7438
"30.654685,104.078817","22.215176,113.550900",1860960,2791,7439
"30.654685,104.078817","22.214949,113.550915",1860990,2791,7440
"30.654685,104.078817","22.267928,113.514842",1851410,2777,7401
"30.654685,104.078817","22.267749,113.516897",1851640,2777,7402
"30.654685,104.078817","22.268238,113.511327",1851030,2777,7400
"30.654685,104.078817","30.694211,104.074773",6180,9,24
"30.654685,104.078817","30.694215,104.074933",6180,9,24
"30.654685,104.078817","30.694346,104.074937",6200,9,24
"30.654685,104.078817","30.630040,104.144424",9590,14,34
"30.654685,104.078817","30.631295,104.146806",9810,15,35
"30.654685,104.078817","30.674188,103.966209",15380,23,57
"30.654685,104.078817","30.671590,103.963890",15610,23,58
"30.654685,104.078817","30.676000,103.966476",15400,23,57
"30.654685,104.078817","30.583217,104.055107",11570,17,42
"30.654685,104.078817","30.583470,104.055922",11500,17,42
"30.654685,104.078817","30.583094,104.056024",11560,17,42
"30.654685,104.078817","30.634241,104.109328",5180,8,21
"30.654685,104.078817","30.634097,104.109324",5190,8,21
"30.654685,104.078817","30.635842,104.111321",5250,8,21
"30.654685,104.078817","30.656802,104.070345",1180,14,0
"30.654685,104.078817","30.690944,104.015979",10130,15,36
"30.654685,104.078817","30.672262,104.049101",4830,7,20
"30.654685,104.078817","30.691375,104.024053",9290,14,33
"30.654685,104.078817","30.692356,104.023440",9450,14,34
"30.654685,104.078817","30.604775,103.910975",23790,36,91
"30.654685,104.078817","30.606584,103.905281",24420,37,93
"30.654685,104.078817","30.606834,103.919428",22610,34,86
"30.654685,104.078817","30.313922,104.493650",76880,115,303
"30.654685,104.078817","30.605060,103.911039",23770,36,91
"30.654685,104.078817","30.689192,104.020681",9460,14,34
"30.654685,104.078817","30.719884,104.037093",11590,17,42
"30.654685,104.078817","30.675771,104.042107",5910,9,23
"30.654685,104.078817","30.692840,104.073704",5980,9,24
"30.654685,104.078817","30.674292,104.045712",5380,8,22
"30.654685,104.078817","30.680784,104.082509",4090,6,18
"30.654685,104.078817","30.631383,104.144938",9570,14,34
"30.654685,104.078817","30.586284,104.068870",10730,16,39
"30.654685,104.078817","30.535812,104.084043",18520,28,70
"30.654685,104.078817","30.720419,103.992498",15440,23,57
"30.654685,104.078817","30.671197,104.051699",4450,7,19
"30.654685,104.078817","30.703684,104.165253",13860,21,51
"30.654685,104.078817","30.651108,104.115676",4970,7,21
"30.654685,104.078817","30.658737,104.069891",1350,16,0
"30.654685,104.078817","30.583178,104.055009",11580,17,42
"30.654685,104.078817","30.577312,104.186056",18750,28,71
"30.654685,104.078817","30.636233,104.108650",4920,7,20
"30.654685,104.078817","30.671525,103.969067",14930,22,55
"30.654685,104.078817","30.308016,104.446518",73120,110,288
"30.654685,104.078817","30.559807,103.951229",22590,34,86
"30.654685,104.078817","22.007696,113.380780",1868170,2802,7468
"30.654685,104.078817","28.838631,115.909413",1623000,2434,6488
"30.654685,104.078817","22.249091,113.594430",1861410,2792,7441
"30.654685,104.078817","30.628779,104.140947",9250,14,33
"30.654685,104.078817","30.606130,104.068469",7680,12,29
"30.654685,104.078817","22.988344,113.269097",1746250,2619,6981
"30.654685,104.078817","22.215378,113.549572",1860800,2791,7439
"30.654685,104.078817","22.234499,113.525641",1856270,2784,7421
"30.654685,104.078817","22.268481,113.515572",1851420,2777,7401
"30.654685,104.078817","30.667786,104.048691",4520,7,19
"30.654685,104.078817","30.308016,104.446518",73120,110,288
"30.654685,104.078817","30.559807,103.951229",22590,34,86
"30.654685,104.078817","22.007696,113.380780",1868170,2802,7468
"30.654685,104.078817","22.234499,113.525641",1856270,2784,7421
"30.654685,104.078817","22.268481,113.515572",1851420,2777,7401
"30.654685,104.078817","22.233733,113.525141",1856310,2784,7421
"30.654685,104.078817","22.233734,113.524951",1856290,2784,7421
"30.654685,104.078817","22.235622,113.525102",1856090,2784,7420
"30.654685,104.078817","22.232598,113.525658",1856490,2785,7422
"30.654685,104.078817","22.233298,113.523801",1856230,2784,7421
"30.654685,104.078817","22.013366,113.376433",1867090,2801,7464
"30.654685,104.078817","22.013689,113.375864",1867000,2800,7464
"30.654685,104.078817","22.013375,113.374306",1866880,2800,7463
"30.654685,104.078817","22.010297,113.372098",1867030,2801,7464
"30.654685,104.078817","22.016380,113.381496",1867230,2801,7465
"30.654685,104.078817","30.720039,103.991253",15520,23,58
"30.654685,104.078817","30.720167,103.994756",15180,23,56
"30.654685,104.078817","30.717137,103.986927",15680,24,58
"30.654685,104.078817","30.714542,103.981170",16050,24,60
"30.654685,104.078817","30.721005,104.006071",14190,21,52
"30.654685,104.078817","30.535828,104.084206",18520,28,70
"30.654685,104.078817","30.531286,104.089490",19260,29,73
"30.654685,104.078817","30.541196,104.074985",17670,27,66
"30.654685,104.078817","30.530923,104.071109",19290,29,73
"30.654685,104.078817","30.671819,104.047888",4930,7,20
"30.654685,104.078817","30.677277,104.048361",5390,8,22
"30.654685,104.078817","30.677025,104.049125",5280,8,21
"30.654685,104.078817","30.322898,104.497013",76260,114,301
"30.654685,104.078817","30.660825,104.072888",1240,15,0
"30.654685,104.078817","30.703640,104.165866",13930,21,51
"30.654685,104.078817","30.702360,104.163727",13580,20,50
"30.654685,104.078817","30.703159,104.170767",14440,22,53
"30.654685,104.078817","30.698792,104.167676",13740,21,51
"30.654685,104.078817","30.708099,104.157657",13440,20,49
"30.654685,104.078817","30.585366,104.068797",10870,16,39
"30.654685,104.078817","30.584885,104.069257",10940,16,39
"30.654685,104.078817","30.587635,104.069899",10510,16,38
"30.654685,104.078817","30.585537,104.070614",10820,16,39
"30.654685,104.078817","30.678142,104.082509",3680,6,17
"30.654685,104.078817","30.671442,104.102739",4130,6,18
"30.654685,104.078817","30.670977,104.103082",4120,6,18
"30.654685,104.078817","30.669366,104.103257",3990,6,18
"30.654685,104.078817","30.669363,104.103266",3990,6,18
"30.654685,104.078817","30.670951,104.105327",4360,7,19
"30.654685,104.078817","30.668741,104.101897",3790,6,17
"30.654685,104.078817","30.668344,104.102354",3800,6,17
"30.654685,104.078817","30.671538,104.099031",3770,6,17
"30.654685,104.078817","30.673016,104.098345",3870,6,17
"30.654685,104.078817","30.674231,104.106859",4830,7,20
"30.654685,104.078817","30.674023,104.107079",4840,7,20
"30.654685,104.078817","30.654000,104.043000",4800,7,20
"30.654685,104.078817","30.654866,104.043991",4660,7,20
"30.654685,104.078817","30.653328,104.044438",4610,7,19
"30.654685,104.078817","30.655162,104.040142",5180,8,21
"30.654685,104.078817","30.651466,104.041438",5030,8,21
"30.654685,104.078817","30.655864,104.046463",4340,7,19
"30.654685,104.078817","30.658691,104.040627",5150,8,21
"30.654685,104.078817","30.659293,104.045525",4520,7,19
"30.654685,104.078817","30.658406,104.036686",5670,9,23
"30.654685,104.078817","30.660869,104.046495",4430,7,19
"30.654685,104.078817","30.656642,104.034225",5980,9,24
"30.654685,104.078817","30.645000,104.055000",3530,5,16
"30.654685,104.078817","30.646431,104.057996",3070,5,15
"30.654685,104.078817","30.644680,104.058466",3140,5,15
"30.654685,104.078817","30.643426,104.058332",3260,5,15
"30.654685,104.078817","30.644719,104.059247",3050,5,15
"30.654685,104.078817","30.900000,103.567000",78390,118,309
"30.654685,104.078817","30.902086,103.560549",79300,119,313
"30.654685,104.078817","30.887376,103.567795",77360,116,305
"30.654685,104.078817","30.996316,103.615948",81590,122,322
"30.654685,104.078817","30.992175,103.620509",80710,121,318
"30.654685,104.078817","30.992631,103.621756",80630,121,318
"30.654685,104.078817","30.992653,103.622990",80510,121,318
"30.663869,104.053307","30.654685,104.078817",3700,6,17
"30.663869,104.053307","30.645000,104.050000",2970,5,15
"30.663869,104.053307","30.644000,104.052000",3100,5,15
"30.663869,104.053307","30.999000,103.617000",78250,117,309
"30.663869,104.053307","30.732000,104.150000",16730,25,63
"30.663869,104.053307","30.656990,104.057641",1220,15,0
"30.663869,104.053307","30.668365,104.053864",700,8,0
"30.663869,104.053307","30.657297,104.063749",1730,21,0
"30.663869,104.053307","30.656882,104.058603",1300,16,0
"30.663869,104.053307","30.654170,104.078958",3750,6,17
"30.663869,104.053307","30.654531,104.077614",3560,5,16
"30.663869,104.053307","30.655078,104.077428",3510,5,16
"30.663869,104.053307","30.654388,104.080336",3910,6,17
"30.663869,104.053307","30.654601,104.080517",3920,6,17
"30.663869,104.053307","30.654415,104.077083",3510,5,16
"30.663869,104.053307","30.654132,104.077153",3530,5,16
"30.663869,104.053307","30.654460,104.080868",3970,6,18
"30.663869,104.053307","30.654508,104.080877",3970,6,18
"30.663869,104.053307","30.654007,104.076812",3500,5,16
