restaurant_name,city,latitude,longitude,price_per_person,cuisine,opening_time,closing_time,nearby_attraction_name,nearby_attraction_coords,query_latitude,query_longitude,rating
Unnamed Old Braised Noodles (Zhonghuamen Branch),Nanjing,32.014032,118.782467,100.0,Chinese Restaurant;Chinese Restaurant,06:00,20:00,Zhonghua Gate Fortress,"118.781821,32.012800",32.012800,118.781821,4.7
Jiming Soup Dumplings (Nanjing Main Branch) Nanjing Cuisine,Nanjing,32.011940,118.786703,100.0,Chinese Restaurant;Chinese Restaurant,08:30,23:00,Zhonghua Gate Fortress,"118.781821,32.012800",32.012800,118.781821,4.5
Tangwu · Old Nanjing Cuisine (Laomendong Branch),Nanjing,32.014340,118.786519,90.0,Chinese Restaurant;Chinese Restaurant,17:00,21:30,Zhonghua Gate Fortress,"118.781821,32.012800",32.012800,118.781821,4.4
Jiang Youji (Laomendong Branch),Nanjing,32.011774,118.786821,25.0,Chinese Restaurant;Halal Restaurant,08:00,22:30,Zhonghua Gate Fortress,"118.781821,32.012800",32.012800,118.781821,4.4
Xun Wei · Jinling Twelve Dishes (Laomendong Branch),Nanjing,32.012241,118.787144,177.0,Chinese Restaurant;Chinese Restaurant,16:30,21:00,Zhonghua Gate Fortress,"118.781821,32.012800",32.012800,118.781821,4.7
Yunshe Restaurant,Nanjing,32.009595,118.785806,100.0,Chinese Restaurant;Chinese Restaurant,17:00,21:00,Zhonghua Gate Fortress,"118.781821,32.012800",32.012800,118.781821,4.4
New Belle Italian Restaurant · Wood-fired Pizza (Laomendong Branch),Nanjing,32.011064,118.786955,70.0,Fast Food Restaurant;Fast Food Restaurant,10:00,22:00,Zhonghua Gate Fortress,"118.781821,32.012800",32.012800,118.781821,4.6
Xia Ji Breakfast,Nanjing,32.017659,118.781991,15.0,Chinese Restaurant;Chinese Restaurant,04:30,11:00,Zhonghua Gate Fortress,"118.781821,32.012800",32.012800,118.781821,4.7
Wenliu Restaurant (Lao Mendong Branch),Nanjing,32.011515,118.787387,100.0,Chinese Restaurant;Chinese Restaurant,17:00,21:00,Zhonghua Gate Fortress,"118.781821,32.012800",32.012800,118.781821,4.5
Wai Bo THE VIBE (Confucius Temple Branch),Nanjing,32.017072,118.778978,127.0,Entertainment Venue;Bar,11:00,21:00,Zhonghua Gate Fortress,"118.781821,32.012800",32.012800,118.781821,4.7
