city,name,address,latitude,longitude,decoration_time,hotel_star,price,score,brand,services
Nanchang,Nanchang West Station Atour Basketball Hotel,"659 Zhangshu Street, Honggutan New District, Nanchang City, Jiangxi Province, China",28.632704,115.792323,2022,4,324,4.3,Atour Hotel,Gym;Free Parking;Robot Service;Swimming Pool
Nanchang,Jinjiang Inn (Nanchang Chuanshan Road Tengwang Pavilion Wanshou Palace Metro Station Branch),"456 Chuanshan Road, Xihu District, Nanchang City, Jiangxi Province",28.669490,115.889199,2017,2,126,3.5,Jinjiang Inn,Free Parking;Swimming Pool;Washer and Dryer;TV Casting
Nanchang,Chaoman Hotel Nanchang Changbei Airport Branch,"Jiawu Natural Village, Jiangqiao Village, Lehua Town, Economic Development Zone, Nanchang City, Jiangxi Province, near Changbei Airport",28.845546,115.895199,2021,3,168,4.5,,Gym;Swimming Pool;Washer and Dryer;TV Casting
Nanchang,Home Inn Business Travel (Gold Standard) - Nanchang Tengwang Pavilion Bayi Uprising Memorial Hall Branch,"237 Xiangshan North Road, Donghu District, Nanchang City",28.683650,115.890588,2020,3,185,4.6,Home Inn,SPA Service;Washer and Dryer;TV Casting
Nanchang,Home Inn·Neo - Nanchang Yingbin Avenue Jiangling Branch,"368 Yingbin North Avenue, Qingyunpu District",28.627121,115.907234,2018,2,129,3.8,Home Inn,SPA Service;Free Parking
Nanchang,Jinxian Huazhe Grand Hotel,"199 Binhu Road, Jinxian County, Nanchang City, Jiangxi Province",28.378747,116.261460,2015,4,264,4.5,,SPA Service;Free Parking;Washer and Dryer;TV Casting
Nanchang,Orange Hotel Nanchang Honggutan Causeway Bay Plaza,"348 Lushan South Avenue, Honggutan New District, Nanchang City, Jiangxi Province",28.699400,115.867000,2018,3,293,4.8,Orange Hotel,Free Parking;Swimming Pool
Nanchang,Binyue Hotel Nanchang Honggutan Wanda Leigong'ao Industrial Park Flagship Store,"Building 24#, Lei Gong Ao Cultural and Sports Industry Park, Fengsheng Expressway",28.707388,115.846175,2023,4,238,4.8,,Gym;Robot Service;Swimming Pool;TV Casting
Nanchang,Nanchang Meiling New Travel Pullman Hotel,"399 Shuangmashi Road, Xinjian District, Nanchang City, Jiangxi Province, China",28.702106,115.735015,2022,5,405,4.7,,SPA Service;Robot Service;Washer and Dryer;TV Casting
Nanchang,Lavande Hotel (Nanchang Zhujiang Road Metro Station Provincial Museum Branch),"Skirt Building of Public Service Center for Human Resources and Social Security, 369 Fenghe North Avenue, Honggutan District",28.706872,115.876698,2020,3,285,4.7,,SPA Service;Gym;Washer and Dryer
Nanchang,Nanchang Tengwang Pavilion Hilton Garden Inn,1555 Yanjiang North Avenue,28.702631,115.902927,2018,4,357,4.4,Hilton,Gym;TV Casting
Nanchang,Ji Hotel Nanchang High-Tech Jingdong Avenue Metro Station Hotel,"2 Jinsheng Road, High-tech Industrial Development Zone, Nanchang City, Jiangxi Province, partial first floor, entire 2nd to 9th floors",28.685998,115.972828,2025,3,344,4.8,Ji Hotel,SPA Service;Robot Service
Nanchang,Jinjiang Inn Nanchang Bayi Square Yongshu Road Metro Station Hotel,"4 Yongshu Road, opposite Pudong Development Bank",28.667162,115.903680,2018,2,134,4.4,Jinjiang Inn,SPA Service;Gym;Free Parking;Robot Service
Nanchang,Home Inn - Nanchang Honggutan Fenghuang Middle Avenue Wanda Plaza Branch,"850 Phoenix Central Avenue, Honggutan New District",28.685926,115.844574,2023,2,204,4.6,Home Inn,SPA Service;Gym;TV Casting
Nanchang,Nanchang Sunac Pullman Hotel,"577 Nanlongpan Street, Honggutan New District",28.580284,115.795978,2016,5,426,4.0,,SPA Service;Robot Service
Nanchang,Nanchang Sheraton Hotel,"1669 Honggu Middle Avenue, Honggutan New District, Nanchang City",28.691211,115.867815,2015,5,701,4.7,Marriott,Robot Service;Washer and Dryer
Nanchang,Nanchang Sunac Shiboge Hotel,"555 Nanlongpan Street, Honggutan District",28.580124,115.797484,2016,5,367,4.8,,SPA Service;Gym;Robot Service
Nanchang,Hanting Hotel Nanchang Bayi Pavilion Wanshou Palace Hotel,"272 Minde Road, Donghu District",28.677500,115.892000,2022,2,293,4.9,Hanting Hotel,SPA Service;Free Parking;Swimming Pool
