origin,destination,distance_meters,duration_minutes,cost
"29.557921,106.586915","29.541622,106.576856",2880,5,14
"29.557921,106.586915","29.562014,106.550513",4970,7,21
"29.557921,106.586915","29.561674,106.553277",4590,7,19
"29.557921,106.586915","29.563361,106.589421",910,11,0
"29.557921,106.586915","29.551553,106.497421",12160,18,44
"29.557921,106.586915","29.488979,106.539867",12480,19,46
"29.557921,106.586915","29.504023,106.505799",13820,21,51
"29.557921,106.586915","29.585922,106.432707",21330,32,81
"29.557921,106.586915","29.569264,106.576790",2240,5,12
"29.557921,106.586915","29.561089,106.578870",1200,14,0
"29.557921,106.586915","29.561251,106.578230",1290,15,0
"29.557921,106.586915","29.561053,106.578091",1290,15,0
"29.557921,106.586915","29.562602,106.580798",1100,13,0
"29.557921,106.586915","29.561436,106.577164",1430,17,0
"29.557921,106.586915","29.561223,106.577220",1410,17,0
"29.557921,106.586915","29.561384,106.581577",900,11,0
"29.557921,106.586915","29.557397,106.587080",80,5,0
"29.557921,106.586915","29.559132,106.584040",430,5,0
"29.557921,106.586915","29.555101,106.585600",470,6,0
"29.557921,106.586915","29.557825,106.582875",550,7,0
"29.557921,106.586915","29.562890,106.587738",780,9,0
"29.557921,106.586915","29.562981,106.585820",800,10,0
"29.557921,106.586915","29.563207,106.586046",830,10,0
"29.557921,106.586915","29.563225,106.588275",850,10,0
"29.557921,106.586915","29.560375,106.581225",860,10,0
"29.557921,106.586915","29.541884,106.578847",2730,5,14
"29.557921,106.586915","29.541583,106.580916",2670,5,14
"29.557921,106.586915","29.541567,106.581252",2660,5,14
"29.557921,106.586915","29.540327,106.582700",2800,5,14
"29.557921,106.586915","29.537018,106.572562",3790,6,17
"29.557921,106.586915","29.535687,106.575028",3820,6,17
"29.557921,106.586915","29.538125,106.570225",3820,6,17
"29.557921,106.586915","29.548771,106.575784",2070,5,12
"29.557921,106.586915","29.534036,106.578180",3900,6,17
"29.557921,106.586915","29.548696,106.573429",2320,5,13
"29.557921,106.586915","29.583056,106.439680",20320,30,77
"29.557921,106.586915","29.583431,106.439710",20320,30,77
"29.557921,106.586915","29.576545,106.427053",21840,33,83
"29.557921,106.586915","29.572651,106.438974",20160,30,76
"29.557921,106.586915","29.560680,106.551088",4870,7,20
"29.557921,106.586915","29.562897,106.552496",4720,7,20
"29.557921,106.586915","29.559479,106.549782",5030,8,21
"29.557921,106.586915","29.564931,106.549439",5190,8,21
"29.557921,106.586915","29.562546,106.546935",5460,8,22
"29.557921,106.586915","29.558406,106.548331",5230,8,21
"29.557921,106.586915","29.557865,106.549087",5120,8,21
"29.557921,106.586915","29.559884,106.555045",4330,6,19
"29.557921,106.586915","29.559945,106.555127",4320,6,19
"29.557921,106.586915","29.565726,106.554520",4550,7,19
"29.557921,106.586915","29.558174,106.555240",4290,6,18
"29.557921,106.586915","29.558079,106.555388",4270,6,18
"29.557921,106.586915","29.563705,106.557315",4110,6,18
"29.557921,106.586915","29.558033,106.555405",4270,6,18
