city,name,address,latitude,longitude,decoration_time,hotel_star,price,score,brand
Hangzhou,Hangzhou Dongfang Yushe · Huanglong Hotel,"No. 88 Minxin Road, Qianjiang New City, Hangzhou.",30.250852,120.220090,2015,5,543,4.8,
Hangzhou,Home Inn - Hangzhou East Railway Station Arrival Hall Branch,"Shop A06, Basement Level 1, East Square, Arrival Hall, Hangzhou East Railway Station.",30.291855,120.215940,2016,2,154,4.1,Home Inn
Hangzhou,Hilton Garden Inn Hangzhou Lunu,"No. 8 Xunli Street, Lunu Town.",30.469522,119.769431,2017,5,394,4.5,Hilton
Hangzhou,Ji Hotel Hangzhou South Railway Station,"No. 98 Shangcheng North Road, Xiaoshan District, Hangzhou, Zhejiang Province (next to the West Square of South Railway Station).",30.173400,120.292000,2019,3,256,4.8,Ji Hotel
Hangzhou,InterContinental Hangzhou Liangzhu,No. 18 Yuniao Street.,30.362351,120.058265,2022,5,1059,4.8,
Hangzhou,Orange Hotel (Hangzhou Songcheng Branch),"Building 1, Changjiu Center, Zhijiang, Zhuantang Street, Xihu District, Hangzhou, China.",30.167198,120.103127,2024,3,297,4.8,Orange Hotel
Hangzhou,Orange Hotel Hangzhou West Lake,No. 5 Puti Temple.,30.256100,120.165000,2019,3,306,4.7,Orange Hotel
Hangzhou,Orange Hotel Hangzhou Xiaoshan Binjiang Road Metro Station,"Rongxing Mingzuo, Comprehensive Service Building, Rongxing Junjia Garden, No. 1696 Jinhui Road, Intersection of Xiaoyou Road and Hengyi Road, Beigan Street.",30.187200,120.237000,2022,3,411,4.9,Orange Hotel
Hangzhou,Jinjiang Inn (Hangzhou Huafeng Road Metro Station Branch),"No. 168 Huaxi Road, Gongshu District, Hangzhou, Zhejiang Province.",30.336458,120.197730,2025,2,235,4.7,Jinjiang Inn
Hangzhou,Hangzhou Lin'an Qingshan Lake Radisson Manor,"No. 1608 Wushan Street, Jincheng Street, Lin'an District, Hangzhou, Zhejiang Province.",30.234250,119.769275,2023,5,440,4.5,
Hangzhou,Hampton by Hilton Hangzhou East Railway Station,"No. 326 Qiutao North Road, Hangzhou, Zhejiang Province, China.",30.290085,120.198351,2024,4,552,4.8,Hilton
Hangzhou,Ji Hotel Hangzhou Lin'an People's Square,"No. 898 Qianwang Street, Jincheng Street, Lin'an District, Hangzhou.",30.224400,119.710000,2020,3,305,4.8,Ji Hotel
Hangzhou,Hangzhou Xinghai Junlan Hotel,"Lvyin Street, Tangqi, near Shimu Road.",30.473480,120.196022,2018,5,320,4.3,
Hangzhou,Anmu Hotel (Hangzhou Yunqi Town Convention and Exhibition Center Branch),"Inside Zhijiang Development Building, Fushan Road, Zhuantang Street, adjacent to Alibaba Cloud Computing Center and near the Yunqi Conference Main Venue.",30.134343,120.087373,2018,4,213,4.6,
Hangzhou,Fairfield by Marriott Hangzhou Yuhang,"No. 365 Fengxin Road, Yuhang Street, Yuhang District, Hangzhou, Zhejiang Province.",30.260256,119.951895,2024,4,414,4.8,Marriott
Hangzhou,Orange Hotel Hangzhou Sports and Culture Center Xixi Wetland,"No. 738 Wen'er West Road, Xihu District.",30.281383,120.079410,2019,3,305,4.8,Orange Hotel
Hangzhou,Orange Hotel Hangzhou Zhejiang University Zijingang,"Part of the 1st floor, and 2nd to 6th floors, Wangyue Club, North Zijinghua Road, Sandun Town.",30.311759,120.090736,2023,3,367,4.5,Orange Hotel
Hangzhou,Home Inn Neo - Hangzhou Wulin Square Chaohui Road Canal Branch,"Building 11, Liushui Dongyuan, Gongshu District, Hangzhou.",30.277893,120.184128,2018,2,150,4.2,Home Inn
Hangzhou,Hangzhou West Lake Yiting Garden Hotel,"Building 5, Lansheng Jihong Commercial Complex, No. 36 Xinran Street, Sandun Town, Xihu District, Hangzhou (inside Zijin Dream Plaza).",30.328002,120.066380,2023,4,211,4.8,
