restaurant_name,city,latitude,longitude,price_per_person,cuisine,opening_time,closing_time,nearby_attraction_name,nearby_attraction_coords,query_latitude,query_longitude,rating,tags
Zhenbao Chinese Restaurant,Dalian,38.878321,121.595490,280.0,Food Service Related;Food Service Related,17:30,21:00,Lianhua Mountain Observation Deck,"121.608727,38.879606",38.879606,121.608727,4.3,Must-Eat Top 10;Birthday Package
Dalian Castle Luxury Collection Hotel Highlights Signature Restaurant,Dalian,38.878416,121.595227,100.0,Food Service Related;Food Service Related,06:00,23:00,Lianhua Mountain Observation Deck,"121.608727,38.879606",38.879606,121.608727,4.2,Waiting Area;Online Queue
Xianzhi Dao Restaurant (Xinghai New World Branch),Dalian,38.876227,121.593796,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Lianhua Mountain Observation Deck,"121.608727,38.879606",38.879606,121.608727,4.1,Outdoor Seating;Birthday Package
Lubuli Western Restaurant,Dalian,38.876319,121.592747,127.0,Foreign Restaurant;Western Restaurant,11:00,22:00,Lianhua Mountain Observation Deck,"121.608727,38.879606",38.879606,121.608727,4.7,Outdoor Seating;Online Queue
Qian Kuli Seafood Buffet (Xinghai Square Branch),Dalian,38.884002,121.593164,499.0,Chinese Restaurant;Chinese Restaurant,16:30,21:00,Lianhua Mountain Observation Deck,"121.608727,38.879606",38.879606,121.608727,4.7,Private Room;Online Queue
Yuanben Hall Restaurant,Dalian,38.882437,121.592229,61.0,医疗保健服务;医药保健销售店;医疗保健用品,11:00,21:00,Lianhua Mountain Observation Deck,"121.608727,38.879606",38.879606,121.608727,4.0,Birthday Package
Ninglan LEMON LAND Restaurant,Dalian,38.886413,121.593833,100.0,Chinese Restaurant;中式素菜馆,11:00,21:00,Lianhua Mountain Observation Deck,"121.608727,38.879606",38.879606,121.608727,4.8,Private Room;Waiting Area
Xinghai Fishing Harbor · Sea View Restaurant,Dalian,38.875220,121.592000,192.0,Chinese Restaurant;Seafood Restaurant,09:00,21:30,Lianhua Mountain Observation Deck,"121.608727,38.879606",38.879606,121.608727,4.7,Must-Eat Top 10;Outdoor Seating
Puzzle Restaurant & Lounge (Xinghai Daguan Building A Branch),Dalian,38.886869,121.592322,139.0,服装鞋帽皮具店;服装鞋帽皮具店|Food Service Related;Food Service Related,11:00,21:00,Lianhua Mountain Observation Deck,"121.608727,38.879606",38.879606,121.608727,4.6,Waiting Area;Online Queue
Give Me Some Time Cultural and Artistic Restaurant,Dalian,38.886674,121.591761,111.0,Chinese Restaurant;Chinese Restaurant,09:00,21:00,Lianhua Mountain Observation Deck,"121.608727,38.879606",38.879606,121.608727,4.6,Birthday Package
