city,name,address,latitude,longitude,decoration_time,hotel_star,price,score,brand,services
Nanjing,Orange Hotel Nanjing Jiangning Sandship Future Network Town,"No. 117, Suyuan Avenue, Jiangning District, Nanjing, Jiangsu Province",31.842300,118.826000,2020,3,293,4.8,Orange Hotel,Gym;Swimming Pool;Washer and Dryer;TV Casting
Nanjing,Meilun Hotel Nanjing Software Avenue Xiaoxing Metro Station,"Building 2, Xiaoxinghui, Yuhuatai District, Nanjing, Floors 1 to 11",31.979202,118.740648,2025,4,376,4.5,,Gym;Robot Service;Washer and Dryer;TV Casting
Nanjing,Home Inn·Neo Nanjing Xinjiekou Daxinggong Metro Station Wenchang Lane,"No. 147-1, Taiping South Road, Qinhuai District, Nanjing",32.037122,118.793920,2018,2,342,4.8,Home Inn,SPA Service;Swimming Pool
Nanjing,Ji Hotel Nanjing Xinjiekou,"No. 50, Huaihai Road, Qinhuai District, Nanjing",32.037057,118.785687,2021,3,459,4.7,Ji Hotel,Gym;Free Parking;Swimming Pool
Nanjing,Orange Hotel Nanjing Zhongshan Mausoleum Zijin Zhongai Li,"No. 79, Huanling Road (Directly opposite the East Gate of Zhongshan Scenic Area)",32.062172,118.888463,2025,3,378,4.5,Orange Hotel,SPA Service;Robot Service;Swimming Pool;TV Casting
Nanjing,Orange Hotel Nanjing Banqiao Wuyue Plaza,"Building 3, Banqiao New City Innovation Center, Xinlin Avenue, Banqiao New City, Yuhuatai District, Nanjing, Floors 1 to 5",31.907894,118.648118,2020,3,270,4.8,Orange Hotel,SPA Service;Gym;Robot Service;TV Casting
Nanjing,Hilton Nanjing,"No. 100, Jiangdong Middle Road",32.031002,118.738503,2022,5,788,4.6,Hilton,Gym;Free Parking;Robot Service;Swimming Pool
Nanjing,Hanting Hotel Nanjing Confucius Temple Pedestrian Street,"No. 146, Dashiba Street, Qinhuai District",32.018343,118.788350,2020,2,252,4.8,Hanting Hotel,SPA Service;Free Parking;Swimming Pool;Washer and Dryer
Nanjing,Wyndham Garden Nanjing Airport,"No. 88, Yuexiu Road, Airport Economic Development Zone",31.788973,118.831307,2021,5,522,4.4,,SPA Service;Robot Service
Nanjing,Central Grand Hotel Nanjing,"No. 75, Zhongshan Road (Opposite the second phase of Deji Plaza)",32.045542,118.783456,2019,5,528,4.8,,Free Parking;Robot Service;Swimming Pool;TV Casting
Nanjing,Hampton by Hilton Nanjing Confucius Temple,"No. 55, Daming Road, Qinhuai District, Nanjing, Jiangsu Province",32.007382,118.812006,2024,3,617,4.3,Hilton,SPA Service;Swimming Pool;TV Casting
Nanjing,Hilton Garden Inn Nanjing Olympic Sports Center Hexi,"Buildings B6 and B7, Technology Complex, No. 9, Bailongjiang East Street, Jianye District, Nanjing",31.981410,118.737095,2023,5,435,4.7,Hilton,Gym;Swimming Pool
Nanjing,Ji Hotel Nanjing Xinjiekou Central Shopping Mall,"No. 9, Jinluan Lane, Qinhuai District, Nanjing",32.036533,118.785952,2015,3,376,4.8,Ji Hotel,Gym;Robot Service
Nanjing,Jinjiang Inn (Nanjing Railway Station Xuanwu Lake Zhongfu Road Metro Station),"No. 16, Jianning Road",32.091374,118.775473,2012,2,147,4.4,Jinjiang Inn,Free Parking;Washer and Dryer
Nanjing,Vienna International Hotel Nanjing South Station South Square,"Building E, Himalayas Center, No. 8, Mingcheng Avenue, Yuhuatai District, Nanjing, Jiangsu Province",31.967739,118.804099,2019,3,310,3.9,,Gym;Free Parking
Nanjing,Orange Hotel (Nanjing Liuhe Longchi Metro Station Branch),"Unit 8-117, Building 2, No. 99, Mohu Road, Longchi Subdistrict, Liuhe District, Nanjing, China",32.315278,118.827921,2024,3,293,4.5,Orange Hotel,SPA Service;Gym;Swimming Pool;TV Casting
Nanjing,Atour Hotel Nanjing Qixia Jinma Road Metro Station,"No. 8, Shishi Road, Qixia District, Nanjing, Jiangsu Province",32.071969,118.908081,2023,4,479,4.7,Atour Hotel,Washer and Dryer;TV Casting
Nanjing,Buckingham Grand Hotel Nanjing (Xuanwu Avenue Branch),"No. 888, Xuanwu Avenue, Qixia District",32.103049,118.891212,2020,4,310,4.7,,SPA Service;Free Parking;Swimming Pool
Nanjing,Ji Hotel Nanjing Liuhe Longchi Metro Station,"Exit 2, Longchi Metro Station, No. 333, Xiongzhou South Road, Liuhe District, Nanjing, Jiangsu Province",32.318400,118.820000,2019,3,302,4.8,Ji Hotel,SPA Service;Gym
Nanjing,Marriott Nanjing Jingfeng,"No. 1519, Shuanglong Avenue",31.936237,118.821917,2018,5,866,4.7,Marriott,Gym;Free Parking;TV Casting
