origin_city,destination_city,dep_date,dep_station_code,dep_station_name,arr_station_code,arr_station_name,dep_datetime,arr_datetime,duration,train_no,train_type,seat_class,seat_status,price,segment_index,route_index
Guangzhou,Quanzhou,2025-11-12,ZCA,Zengcheng Station,QRS,Quanzhou East Station,2025-11-12 17:18:00,2025-11-12 20:42:00,204,G3050,High-Speed Train,Second Class Seat,Sufficient,332.0,1,2
Guangzhou,Quanzhou,2025-11-12,GGQ,Guangzhou East Station,QNS,Quanzhou South Station,2025-11-12 16:40:00,2025-11-12 20:29:00,229,G3050,High-Speed Train,Second Class Seat,Sufficient,365.0,1,14
Guangzhou,Quanzhou,2025-11-12,GGQ,Guangzhou East Station,CBQ,Chaoshan Station,2025-11-12 16:51:00,2025-11-12 19:14:00,143,D7168,Electric Multiple Unit,Second Class Seat,Sufficient,330.0,1,26
Guangzhou,Quanzhou,2025-11-12,CBQ,Chaoshan Station,QYS,Quanzhou Station,2025-11-12 19:33:00,2025-11-12 21:29:00,116,D3316,Electric Multiple Unit,Second Class Seat,Sufficient,330.0,2,26
Guangzhou,Quanzhou,2025-11-12,GGQ,Guangzhou East Station,QYS,Quanzhou Station,2025-11-12 10:40:00,2025-11-12 16:11:00,331,D3121,Electric Multiple Unit,Second Class Seat,Sufficient,338.0,1,38
Guangzhou,Quanzhou,2025-11-12,XWQ,Guangzhou Xintang Station,QNS,Quanzhou South Station,2025-11-12 17:05:00,2025-11-12 20:29:00,204,G3050,High-Speed Train,Second Class Seat,Sufficient,334.0,1,3
Guangzhou,Quanzhou,2025-11-12,IZQ,Guangzhou South Station,IOQ,Shenzhen North Station,2025-11-12 17:56:00,2025-11-12 18:27:00,31,G6121,High-Speed Train,Second Class Seat,Sufficient,329.5,1,18
Guangzhou,Quanzhou,2025-11-12,IOQ,Shenzhen North Station,QYS,Quanzhou Station,2025-11-12 18:44:00,2025-11-12 22:07:00,203,D686,Electric Multiple Unit,Second Class Seat,Sufficient,329.5,2,18
Guangzhou,Quanzhou,2025-11-12,GGQ,Guangzhou East Station,QYS,Quanzhou Station,2025-11-12 12:44:00,2025-11-12 18:27:00,343,D2429,Electric Multiple Unit,Second Class Seat,Sufficient,338.0,1,39
Guangzhou,Quanzhou,2025-11-12,GZQ,Guangzhou Station,IOQ,Shenzhen North Station,2025-11-12 14:18:00,2025-11-12 15:44:00,86,D7591,Electric Multiple Unit,Second Class Seat,Sufficient,323.0,1,40
Guangzhou,Quanzhou,2025-11-12,IOQ,Shenzhen North Station,QYS,Quanzhou Station,2025-11-12 16:04:00,2025-11-12 20:06:00,242,D2326,Electric Multiple Unit,Second Class Seat,Sufficient,323.0,2,40
Guangzhou,Quanzhou,2025-11-12,XWQ,Guangzhou Xintang Station,QNS,Quanzhou South Station,2025-11-12 12:59:00,2025-11-12 16:21:00,202,G3046,High-Speed Train,无座,Sufficient,340.0,1,4
Guangzhou,Quanzhou,2025-11-12,GGQ,Guangzhou East Station,QYS,Quanzhou Station,2025-11-12 07:40:00,2025-11-12 12:26:00,286,D3309,Electric Multiple Unit,Second Class Seat,Sufficient,338.0,1,28
Quanzhou,Guangzhou,2025-11-14,QNS,Quanzhou South Station,XWQ,Guangzhou Xintang Station,2025-11-14 13:34:00,2025-11-14 16:57:00,203,G3047,High-Speed Train,无座,Sufficient,340.0,1,44
Quanzhou,Guangzhou,2025-11-14,QYS,Quanzhou Station,GGQ,Guangzhou East Station,2025-11-14 10:33:00,2025-11-14 15:38:00,305,D3315,Electric Multiple Unit,Second Class Seat,Sufficient,338.0,1,76
Quanzhou,Guangzhou,2025-11-14,QYS,Quanzhou Station,OGQ,Shanwei Station,2025-11-14 13:14:00,2025-11-14 15:53:00,159,D2347,Electric Multiple Unit,Second Class Seat,Sufficient,317.0,1,52
Quanzhou,Guangzhou,2025-11-14,OGQ,Shanwei Station,XWQ,Guangzhou Xintang Station,2025-11-14 16:23:00,2025-11-14 17:21:00,58,G8427,High-Speed Train,Second Class Seat,Sufficient,317.0,2,52
Quanzhou,Guangzhou,2025-11-14,QYS,Quanzhou Station,OGQ,Shanwei Station,2025-11-14 18:56:00,2025-11-14 21:35:00,159,D4107,Electric Multiple Unit,Second Class Seat,Sufficient,288.0,1,49
Quanzhou,Guangzhou,2025-11-14,OGQ,Shanwei Station,XWQ,Guangzhou Xintang Station,2025-11-14 22:16:00,2025-11-14 23:06:00,50,G6449,High-Speed Train,Second Class Seat,Sufficient,288.0,2,49
Quanzhou,Guangzhou,2025-11-14,QRS,Quanzhou East Station,XWQ,Guangzhou Xintang Station,2025-11-14 18:54:00,2025-11-14 22:24:00,210,G3051,High-Speed Train,Second Class Seat,Sufficient,347.0,1,47
Quanzhou,Guangzhou,2025-11-14,QYS,Quanzhou Station,XKS,Xiamen North Station,2025-11-14 18:17:00,2025-11-14 18:43:00,26,D3165,Electric Multiple Unit,Second Class Seat,Sufficient,335.0,1,46
Quanzhou,Guangzhou,2025-11-14,XKS,Xiamen North Station,XWQ,Guangzhou Xintang Station,2025-11-14 18:59:00,2025-11-14 21:49:00,170,G3049,High-Speed Train,Second Class Seat,Sufficient,335.0,2,46
Quanzhou,Guangzhou,2025-11-14,QYS,Quanzhou Station,OGQ,Shanwei Station,2025-11-14 11:31:00,2025-11-14 14:14:00,163,D2361,Electric Multiple Unit,Second Class Seat,Sufficient,290.0,1,42
Quanzhou,Guangzhou,2025-11-14,OGQ,Shanwei Station,ZCA,Zengcheng Station,2025-11-14 14:31:00,2025-11-14 15:22:00,51,G8409,High-Speed Train,Second Class Seat,Sufficient,290.0,2,42
Quanzhou,Guangzhou,2025-11-14,QRS,Quanzhou East Station,IZQ,Guangzhou South Station,2025-11-14 17:09:00,2025-11-14 21:53:00,284,G1625,High-Speed Train,无座,Sufficient,353.5,1,75
Quanzhou,Guangzhou,2025-11-14,QYS,Quanzhou Station,OGQ,Shanwei Station,2025-11-14 15:56:00,2025-11-14 18:34:00,158,D2307,Electric Multiple Unit,Second Class Seat,Sufficient,287.0,1,50
Quanzhou,Guangzhou,2025-11-14,OGQ,Shanwei Station,ZCA,Zengcheng Station,2025-11-14 19:06:00,2025-11-14 20:19:00,73,D7123,Electric Multiple Unit,Second Class Seat,Sufficient,287.0,2,50
Quanzhou,Guangzhou,2025-11-14,QNS,Quanzhou South Station,XWQ,Guangzhou Xintang Station,2025-11-14 08:22:00,2025-11-14 11:47:00,205,G3041,High-Speed Train,Second Class Seat,Sufficient,340.0,1,43
