restaurant_name,city,latitude,longitude,price_per_person,cuisine,opening_time,closing_time,nearby_attraction_name,nearby_attraction_coords,query_latitude,query_longitude,rating
Chao Mansion·Chaozhou Cuisine (Century Park Branch),Shanghai,31.211609,121.550205,280.0,Chinese Restaurant;潮州菜|Chinese Restaurant;Hunan Cuisine,08:30,21:00,Shanghai Century Park,"121.552563,31.215725",31.215725,121.552563,4.5
Yanwu Restaurant (Golden Eagle Tower A Branch),Shanghai,31.220132,121.550164,100.0,Chinese Restaurant;Chinese Restaurant,08:00,19:00,Shanghai Century Park,"121.552563,31.215725",31.215725,121.552563,3.8
One Foot Garden (Century Park),Shanghai,31.212024,121.548349,100.0,风景名胜;公园广场;公园|Cafe;Cafe,10:00,21:00,Shanghai Century Park,"121.552563,31.215725",31.215725,121.552563,4.7
Ming Ji Roasted Meats Restaurant,Shanghai,31.210316,121.558746,69.0,Chinese Restaurant;Chinese Restaurant,09:00,22:00,Shanghai Century Park,"121.552563,31.215725",31.215725,121.552563,4.3
Drive-Thru Restaurant,Shanghai,31.215606,121.543081,100.0,Fast Food Restaurant;Fast Food Restaurant,11:00,21:00,Shanghai Century Park,"121.552563,31.215725",31.215725,121.552563,4.0
Shanghai Pudong Renaissance Hotel - Banquet Hall,Shanghai,31.223894,121.552230,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Shanghai Century Park,"121.552563,31.215725",31.215725,121.552563,3.9
Yucui Pavilion Chinese Restaurant,Shanghai,31.214371,121.562219,600.0,Chinese Restaurant;Chinese Restaurant,17:00,21:30,Shanghai Century Park,"121.552563,31.215725",31.215725,121.552563,4.3
Mi Xiang Yuan Select Restaurant (Shanghai Information Tower Branch),Shanghai,31.224152,121.551100,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Shanghai Century Park,"121.552563,31.215725",31.215725,121.552563,3.8
Daoxiangqing Fashion Smart Choice Restaurant Meihua Road Branch,Shanghai,31.210963,121.560861,40.0,Fast Food Restaurant;Fast Food Restaurant,16:00,21:00,Shanghai Century Park,"121.552563,31.215725",31.215725,121.552563,4.1
BIANCHI PLUS (Pudong Kerry Parkside Branch),Shanghai,31.212770,121.562545,386.0,Foreign Restaurant;Italian Restaurant,11:00,21:30,Shanghai Century Park,"121.552563,31.215725",31.215725,121.552563,4.4
Rain Pine · Exquisite Teppanyaki Cuisine (Super Brand Mall Branch),Shanghai,31.236939,121.499084,128.0,Foreign Restaurant;Japanese Cuisine,17:00,21:00,Super Brand Mall,"121.499170,31.236752",31.236752,121.499170,4.4
SPACELAB Zero Gravity Restaurant (Shanghai Super Brand Mall Branch),Shanghai,31.236698,121.499532,131.0,Foreign Restaurant;Western Restaurant,16:30,21:00,Super Brand Mall,"121.499170,31.236752",31.236752,121.499170,4.7
Tsui Wah Restaurant (Super Brand Mall Branch),Shanghai,31.236632,121.499985,94.0,Chinese Restaurant;Chinese Restaurant,10:00,21:30,Super Brand Mall,"121.499170,31.236752",31.236752,121.499170,4.5
Café de Coral (Super Brand Mall Branch),Shanghai,31.237186,121.499997,100.0,Fast Food Restaurant;Tea Restaurant,10:00,22:00,Super Brand Mall,"121.499170,31.236752",31.236752,121.499170,4.5
Warehouse No. 3 · Creative Chinese Cuisine (Lujiazui · Super Brand Mall Branch),Shanghai,31.236125,121.498523,100.0,Food Service Related;Food Service Related,16:00,21:30,Super Brand Mall,"121.499170,31.236752",31.236752,121.499170,4.4
Yi Café Seafood Buffet Restaurant (Shanghai Pudong Shangri-La),Shanghai,31.235994,121.499702,233.0,Food Service Related;Food Service Related,17:30,21:30,Super Brand Mall,"121.499170,31.236752",31.236752,121.499170,4.6
Jade 36 Restaurant (Pudong Shangri-La Branch),Shanghai,31.235994,121.499702,512.0,Foreign Restaurant;French Restaurant,17:30,22:00,Super Brand Mall,"121.499170,31.236752",31.236752,121.499170,4.1
eat n work (Super Brand Mall Branch),Shanghai,31.236524,121.498143,319.0,Food Service Related;Food Service Related,11:00,00:30,Super Brand Mall,"121.499170,31.236752",31.236752,121.499170,4.5
Osmanthus House Huaiyang Chinese Restaurant (Pudong Shangri-La Hotel),Shanghai,31.235426,121.499120,273.0,Chinese Restaurant;Chinese Restaurant,17:30,21:30,Super Brand Mall,"121.499170,31.236752",31.236752,121.499170,4.0
DONQUIXOTE Spanish Restaurant & Tavern,Shanghai,31.235980,121.497764,178.0,Chinese Restaurant;Chinese Restaurant,11:00,24:00,Super Brand Mall,"121.499170,31.236752",31.236752,121.499170,4.8
Minre Restaurant (Saint Love Building Branch),Shanghai,31.191988,121.437084,100.0,Chinese Restaurant;Chinese Restaurant,07:00,19:30,St. Ignatius Cathedral of Shanghai (Xujiahui Catholic Church),"121.436099,31.191164",31.191164,121.436099,3.6
Metal Hands Coffee,Shanghai,31.189519,121.435560,41.0,Entertainment Venue;Entertainment Venue,11:00,21:00,St. Ignatius Cathedral of Shanghai (Xujiahui Catholic Church),"121.436099,31.191164",31.191164,121.436099,4.4
