origin_city,destination_city,dep_date,dep_station_code,dep_station_name,arr_station_code,arr_station_name,dep_datetime,arr_datetime,duration,flight_no,airline,seat_class,seat_status,equip_type,equip_size,manufacturer,price,segment_index,route_index
Nanning,Nanjing,2025-11-12,NNG,Wuxu Airport,NKG,Lukou International Airport,2025-11-12 08:25:00,2025-11-12 10:40:00,135,ZH9373,Shenzhen Airlines,Economy Class,Sufficient,737,Medium Aircraft,Boeing,560,1,42
Nanning,Nanjing,2025-11-12,NNG,Wuxu Airport,NKG,Lukou International Airport,2025-11-12 20:20:00,2025-11-12 22:40:00,140,CA3719,Air China,Economy Class,Sufficient,737,Medium Aircraft,Boeing,500,1,41
Nanning,Nanjing,2025-11-12,NNG,Wuxu Airport,NKG,Lukou International Airport,2025-11-12 20:20:00,2025-11-12 22:40:00,140,HO5316,Juneyao Airlines,Economy Class,Sufficient,737,Medium Aircraft,Boeing,500,1,40
Nanning,Nanjing,2025-11-12,NNG,Wuxu Airport,NKG,Lukou International Airport,2025-11-12 15:30:00,2025-11-12 17:45:00,135,CZ5136,China Southern Airlines,Economy Class,Sufficient,320,Medium Aircraft,Airbus,766,1,46
Nanning,Nanjing,2025-11-12,NNG,Wuxu Airport,NKG,Lukou International Airport,2025-11-12 07:10:00,2025-11-12 09:35:00,145,HO1729,Juneyao Airlines,Economy Class,Sufficient,320,Medium Aircraft,Airbus,460,1,39
Nanning,Nanjing,2025-11-12,NNG,Wuxu Airport,NKG,Lukou International Airport,2025-11-12 13:05:00,2025-11-12 15:30:00,145,MU2688,China Eastern Airlines,Economy Class,Sufficient,319,Medium Aircraft,Airbus,760,1,45
Nanning,Nanjing,2025-11-12,NNG,Wuxu Airport,CSX,Huanghua Airport,2025-11-12 09:30:00,2025-11-12 11:10:00,100,GX8815,Hainan Airlines | Beibu Gulf Airlines,Economy Class,Sufficient,190,Medium Aircraft,Embraer,1819,1,50
Nanning,Nanjing,2025-11-12,CSX,Huanghua Airport,NKG,Lukou International Airport,2025-11-12 13:00:00,2025-11-12 14:35:00,95,HU7791,Hainan Airlines | Hainan Airlines,Economy Class,Sufficient,737,Medium Aircraft,Boeing,1819,2,50
Nanning,Nanjing,2025-11-12,NNG,Wuxu Airport,NKG,Lukou International Airport,2025-11-12 07:10:00,2025-11-12 09:35:00,145,3U4561,Sichuan Airlines,Economy Class,Sufficient,320,Medium Aircraft,Airbus,560,1,43
Nanning,Nanjing,2025-11-12,NNG,Wuxu Airport,NKG,Lukou International Airport,2025-11-12 08:25:00,2025-11-12 10:40:00,135,CA3643,Air China,Economy Class,Sufficient,737,Medium Aircraft,Boeing,595,1,44
Nanjing,Nanning,2025-11-15,NKG,Lukou International Airport,NNG,Wuxu Airport,2025-11-15 18:05:00,2025-11-15 20:55:00,170,MF7867,Xiamen Airlines,Economy Class,Sufficient,320,Medium Aircraft,Airbus,810,1,57
Nanjing,Nanning,2025-11-15,NKG,Lukou International Airport,NNG,Wuxu Airport,2025-11-15 08:05:00,2025-11-15 11:00:00,175,CA3720,Air China,Economy Class,Sufficient,737,Medium Aircraft,Boeing,870,1,58
Nanjing,Nanning,2025-11-15,NKG,Lukou International Airport,NNG,Wuxu Airport,2025-11-15 20:00:00,2025-11-15 22:40:00,160,CZ6362,China Southern Airlines,Economy Class,Sufficient,737,Medium Aircraft,Boeing,740,1,54
Nanjing,Nanning,2025-11-15,NKG,Lukou International Airport,NNG,Wuxu Airport,2025-11-15 11:40:00,2025-11-15 14:35:00,175,ZH9374,Shenzhen Airlines,Economy Class,Sufficient,737,Medium Aircraft,Boeing,720,1,53
Nanjing,Nanning,2025-11-15,NKG,Lukou International Airport,NNG,Wuxu Airport,2025-11-15 07:50:00,2025-11-15 12:25:00,275,MU2779,China Eastern Airlines,Economy Class,Sufficient,319,Medium Aircraft,Airbus,518,1,51
Nanjing,Nanning,2025-11-15,NKG,Lukou International Airport,HAK,Meilan International Airport,2025-11-15 11:45:00,2025-11-15 14:40:00,175,QW6001,Qingdao Airlines,Economy Class,Sufficient,320,Medium Aircraft,Airbus,1569,1,62
Nanjing,Nanning,2025-11-15,HAK,Meilan International Airport,NNG,Wuxu Airport,2025-11-15 17:00:00,2025-11-15 18:00:00,60,JD5530,Hainan Airlines | Capital Airlines,Economy Class,Sufficient,321,Medium Aircraft,Airbus,1569,2,62
Nanjing,Nanning,2025-11-15,NKG,Lukou International Airport,NNG,Wuxu Airport,2025-11-15 08:05:00,2025-11-15 11:00:00,175,ZH9378,Shenzhen Airlines,Economy Class,Sufficient,737,Medium Aircraft,Boeing,620,1,52
Nanjing,Nanning,2025-11-15,NKG,Lukou International Airport,NNG,Wuxu Airport,2025-11-15 18:05:00,2025-11-15 20:55:00,170,HO1730,Juneyao Airlines,Economy Class,Sufficient,320,Medium Aircraft,Airbus,725,1,55
Nanjing,Nanning,2025-11-15,NKG,Lukou International Airport,NNG,Wuxu Airport,2025-11-15 11:35:00,2025-11-15 14:25:00,170,CZ5135,China Southern Airlines,Economy Class,Sufficient,320,Medium Aircraft,Airbus,760,1,56
