city,attraction_name,attraction_id,description,attraction_type,address,latitude,longitude,rating,opening_time,closing_time,closing_dates,min_visit_hours,max_visit_hours,ticket_price
Hangzhou,Solitary Hill Park,B0FFKQNUS4,"The largest island in West Lake, concentrated with historical and cultural attractions, offering a tranquil environment.",Historical and Cultural,,30.251654,120.142481,4.9,Open 24 Hours,Open 24 Hours,,1.0,2.5,0.0
Hangzhou,Lingyin Temple,B023B02842,"A famous ancient Buddhist temple in China, with a history of approximately 1,700 years, known for its thriving incense offerings and magnificent architecture.",Historical and Cultural,,30.240826,120.101406,4.9,06:30,18:15,,2.5,4.0,75.0
Hangzhou,Yongfu Temple,B023B1H638,"A Zen-inspired ancient temple nestled among tea plantations and bamboo forests, featuring a serene and elegant environment, ideal for meditation and relaxation.",Historical and Cultural,,30.238978,120.097524,4.8,06:30,18:00,,0.5,2.0,0.0
Hangzhou,Yang Gong Causeway,B0FFJXZGIH,"A scenic avenue on the west side of West Lake, quieter compared to Su Causeway, perfect for leisurely strolls.",Natural Scenery,,30.232456,120.136580,4.9,Open 24 Hours,Open 24 Hours,,0.5,2.0,0.0
Hangzhou,Hangzhou Hubin Intime in77 Area A,B023B08RT2,"A well-known shopping center in Hangzhou, located by West Lake, offering a wide range of brands and convenient transportation.",Leisure Experience,,30.253160,120.162484,4.8,10:00,22:00,,1.0,2.5,0.0
Hangzhou,Zhejiang Museum of Natural History,B023B15DKJ,"An important natural science museum in East China, showcasing a rich collection of exhibits.",Historical and Cultural,,30.276814,120.164581,4.8,09:00,17:00,Monday,1.5,3.0,0.0
Hangzhou,Nine Creeks and Misty Trees,B0FFHMH4J8,"One of the New Ten Scenes of West Lake, where nine streams converge, with particularly enchanting autumn scenery.",Natural Scenery,,30.202395,120.113350,4.8,Open 24 Hours,Open 24 Hours,,1.5,3.0,0.0
Hangzhou,Leifeng Pagoda Scenic Area,B023B09LKR,"A reconstructed ancient pagoda with a history of a thousand years, offering panoramic views of West Lake from the top, closely associated with the legend of 'The Legend of the White Snake.'",Historical and Cultural,,30.230934,120.148849,4.8,08:00,20:00,,0.5,2.0,40.0
Hangzhou,Hangzhou Arts and Crafts Museum,B023B0I02U,"Showcasing traditional handicrafts and modern arts of Hangzhou, including silk, embroidery, carving, and various other craft categories.",Historical and Cultural,,30.315645,120.136930,4.7,09:00,16:30,Tuesday,1.0,2.5,0.0
Hangzhou,Spring Dawn at Su Causeway,B023B02070,"The most famous of the Ten Scenes of West Lake, a causeway built under the supervision of Su Dongpo, renowned for its willow-lined beauty in spring.",Historical and Cultural,,30.243880,120.137960,4.8,Open 24 Hours,Open 24 Hours,,0.5,2.0,0.0
Hangzhou,Flying Peak,B023B05MJE,"A unique peak in front of Lingyin Temple, featuring abundant stone carvings and distinctive geological landscapes.",Historical and Cultural,,30.239119,120.101101,4.8,06:30,18:00,,0.5,2.0,45.0
Hangzhou,Xiaohe Historical and Cultural District,B0FFFWQ8DS,"A well-preserved historic district with typical Jiangnan water town architecture, exuding a strong sense of local life.",Historical and Cultural,,30.308302,120.135337,4.7,Open 24 Hours,Open 24 Hours,,1.5,3.0,0.0
Hangzhou,Autumn Moon Over the Calm Lake Scenic Spot,B023B024F8,"One of the Ten Scenes of West Lake, a serene and beautiful spot for moon viewing and lake gazing.",Natural Scenery,,30.252038,120.146210,4.7,Open 24 Hours,Open 24 Hours,,1.0,2.5,0.0
Hangzhou,Hangzhou West Lake Scenic Area,B023B13L9M,"A UNESCO World Heritage Site and China's most famous lake destination, renowned for its 'One Lake, Two Pagodas, Three Causeways, and Ten Scenes.'",Natural Scenery,,30.222724,120.121288,4.9,Open 24 Hours,Open 24 Hours,,1.0,2.5,0.0
Hangzhou,Viewing Fish at Flower Harbor,B023B023B2,"One of the Ten Scenes of West Lake, a garden famous for its red koi fish, particularly stunning during the blooming season in spring.",Natural Scenery,,30.230233,120.139095,4.8,Open 24 Hours,Open 24 Hours,,0.5,2.0,0.0
Hangzhou,Impression West Lake Performance,,"A large-scale live-action performance blending Hangzhou's culture with modern art, staged at night on West Lake.",Historical and Cultural,,30.250800,120.149800,4.7,19:40,20:35,,1.0,2.5,340.0
Hangzhou,Xixi National Wetland Park,B023B06P06,"China's first national wetland park, featuring a beautiful ecological environment and a filming location for the movie 'If You Are the One.'",Natural Scenery,,30.255079,120.061159,4.7,07:30,18:30,,2.5,4.0,80.0
Hangzhou,Three Pools Mirroring the Moon,B023B0283D,"One of the Ten Scenes of West Lake, located on the island of Xiaoyingzhou, named for the reflection of three stone pagodas resembling moons.",Historical and Cultural,,30.238845,120.145369,4.8,08:00,17:00,,2.0,3.5,70.0
