restaurant_name,city,latitude,longitude,price_per_person,cuisine,opening_time,closing_time,nearby_attraction_name,nearby_attraction_coords,query_latitude,query_longitude,rating,tags
Zhenbao Chinese Restaurant,Dalian,38.878321,121.595490,280.0,Food Service Related;Food Service Related,17:30,21:00,Lianhua Mountain Observation Deck,"121.608727,38.879606",38.879606,121.608727,4.3,Outdoor Seating;Online Queue
Dalian Castle Luxury Collection Hotel Signature Restaurant,Dalian,38.878416,121.595227,100.0,Food Service Related;Food Service Related,06:00,23:00,Lianhua Mountain Observation Deck,"121.608727,38.879606",38.879606,121.608727,4.2,Private Room;Birthday Package
Fresh Way Restaurant (Xinghai New World Branch),Dalian,38.876227,121.593796,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Lianhua Mountain Observation Deck,"121.608727,38.879606",38.879606,121.608727,4.1,Outdoor Seating
Lubri Western Restaurant,Dalian,38.876319,121.592747,127.0,Foreign Restaurant;Western Restaurant,11:00,22:00,Lianhua Mountain Observation Deck,"121.608727,38.879606",38.879606,121.608727,4.7,Waiting Area
Qian Kuli Seafood Buffet (Xinghai Square Store),Dalian,38.884002,121.593164,499.0,Chinese Restaurant;Chinese Restaurant,16:30,21:00,Lianhua Mountain Observation Deck,"121.608727,38.879606",38.879606,121.608727,4.7,Outdoor Seating
Yuanbentang Restaurant,Dalian,38.882437,121.592229,61.0,医疗保健服务;医药保健销售店;医疗保健用品,11:00,21:00,Lianhua Mountain Observation Deck,"121.608727,38.879606",38.879606,121.608727,4.0,Online Queue
Ninglan LEMON LAND Restaurant,Dalian,38.886413,121.593833,100.0,Chinese Restaurant;中式素菜馆,11:00,21:00,Lianhua Mountain Observation Deck,"121.608727,38.879606",38.879606,121.608727,4.8,Private Room
Xinghai Fishing Port · Seaview Restaurant,Dalian,38.875220,121.592000,192.0,Chinese Restaurant;Seafood Restaurant,09:00,21:30,Lianhua Mountain Observation Deck,"121.608727,38.879606",38.879606,121.608727,4.7,Waiting Area
Puzzle Restaurant & Lounge (Xinghai Grand View Tower A Branch),Dalian,38.886869,121.592322,139.0,服装鞋帽皮具店;服装鞋帽皮具店|Food Service Related;Food Service Related,11:00,21:00,Lianhua Mountain Observation Deck,"121.608727,38.879606",38.879606,121.608727,4.6,Online Queue
Give Me Some Time Cultural and Artistic Restaurant,Dalian,38.886674,121.591761,111.0,Chinese Restaurant;Chinese Restaurant,09:00,21:00,Lianhua Mountain Observation Deck,"121.608727,38.879606",38.879606,121.608727,4.6,Must-Eat Top 10;Waiting Area
LENBACH Western Restaurant & Beer House (Xinghai Bay Amusement Park Branch),Dalian,38.875140,121.589221,100.0,Foreign Restaurant;Western Restaurant,11:30,24:00,Binhai Road West Section Boardwalk,"121.596943,38.875925",38.875925,121.596943,4.7,Outdoor Seating;Private Room
FEAST Western Restaurant (Xinghai Plaza Branch),Dalian,38.877169,121.585633,99.0,Food Service Related;Food Service Related,10:00,23:00,Binhai Road West Section Boardwalk,"121.596943,38.875925",38.875925,121.596943,4.4,Must-Eat Top 10;Waiting Area
Haiyu MANGATA COFFEE (Xinghai Branch),Dalian,38.877266,121.584327,65.0,Cafe;Cafe,10:00,23:00,Binhai Road West Section Boardwalk,"121.596943,38.875925",38.875925,121.596943,4.6,Private Room
Fishing Love Seafood Restaurant,Dalian,39.078632,122.004641,121.0,Chinese Restaurant;Seafood Restaurant,09:00,00:30,Golden Coast,"122.003474,39.076061",39.076061,122.003474,3.8,Outdoor Seating
Golden Pebble Beach Luneng Hilton · Culinary All-Day Dining Restaurant,Dalian,39.075001,121.997921,244.0,Foreign Restaurant;Japanese Cuisine,06:30,21:00,Golden Coast,"122.003474,39.076061",39.076061,122.003474,4.2,Must-Eat Top 10;Online Queue
Jinshitan Seafood Food Stall No. 12 Restaurant,Dalian,39.080485,122.012637,72.0,Chinese Restaurant;Seafood Restaurant,11:00,21:00,Golden Coast,"122.003474,39.076061",39.076061,122.003474,4.3,Private Room;Waiting Area
Qingyuan Restaurant (Blue Bay Store),Dalian,39.087721,122.012230,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Golden Coast,"122.003474,39.076061",39.076061,122.003474,3.6,Waiting Area
Food More Restaurant (Food More Dining Store),Dalian,39.088915,122.014309,100.0,Chinese Restaurant;Chinese Restaurant,10:00,22:45,Golden Coast,"122.003474,39.076061",39.076061,122.003474,3.5,Private Room;Waiting Area
Golden Pebble Beach No. 13 Seafood Food Stall Restaurant (Temporarily Closed),Dalian,39.080383,122.012676,48.0,Food Service Related;Food Service Related,10:00,24:00,Golden Coast,"122.003474,39.076061",39.076061,122.003474,3.9,Waiting Area
Daren Crown Time Chinese Restaurant (Friendship Mall Branch),Dalian,38.922800,121.645427,116.0,Chinese Restaurant;Chinese Restaurant,11:00,20:30,Zhongshan Square,"121.643827,38.921549",38.921549,121.643827,4.3,Must-Eat Top 10;Waiting Area
Encounter Music Bar,Dalian,38.921410,121.646174,100.0,Entertainment Venue;Bar,11:00,21:00,Zhongshan Square,"121.643827,38.921549",38.921549,121.643827,4.3,Outdoor Seating
Tsim Sha Tsui Tea Restaurant · Peach Blossom Land (Friendship Mall Branch),Dalian,38.922682,121.645763,40.0,Fast Food Restaurant;Fast Food Restaurant,09:30,20:00,Zhongshan Square,"121.643827,38.921549",38.921549,121.643827,4.1,Outdoor Seating;Birthday Package
Flower Holding Time (New Star International Center Branch),Dalian,38.919444,121.642699,114.0,Food Service Related;Food Service Related,10:00,21:00,Zhongshan Square,"121.643827,38.921549",38.921549,121.643827,4.7,Must-Eat Top 10;Online Queue
Bai Le Hui Restaurant (Dalian COSCO Shipping Building Branch),Dalian,38.919655,121.641943,25.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Zhongshan Square,"121.643827,38.921549",38.921549,121.643827,3.7,Private Room;Birthday Package
Huimeixuan Chinese Restaurant,Dalian,38.920062,121.640715,98.0,Chinese Restaurant;Chinese Restaurant,17:30,21:00,Zhongshan Square,"121.643827,38.921549",38.921549,121.643827,3.9,Birthday Package
Hidden Alley Restaurant,Dalian,38.924468,121.645262,69.0,Chinese Restaurant;东北菜,10:30,21:00,Zhongshan Square,"121.643827,38.921549",38.921549,121.643827,3.9,Waiting Area
Atour Hotel Dalian Zhongshan Square Branch - Chinese Restaurant,Dalian,38.924384,121.645614,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Zhongshan Square,"121.643827,38.921549",38.921549,121.643827,3.0,Outdoor Seating;Waiting Area
Gather & Joy Restaurant at Aloft Hotel,Dalian,38.921338,121.647952,95.0,Food Service Related;Food Service Related,17:30,21:00,Zhongshan Square,"121.643827,38.921549",38.921549,121.643827,4.3,Waiting Area;Online Queue
Zhenghuangqi Seafood BBQ Food Stall (Yan'an Road Main Store),Dalian,38.918305,121.643875,201.0,Chinese Restaurant;Chinese Restaurant,11:00,24:00,Zhongshan Square,"121.643827,38.921549",38.921549,121.643827,4.7,Must-Eat Top 10
Mongolian Cultural Theme Restaurant (Haiyun Garden Branch),Dalian,38.880874,121.567668,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Xinghai Park,"121.568075,38.877811",38.877811,121.568075,3.5,Waiting Area;Birthday Package
Dalian COASTAL Western Restaurant · Seaside Western Restaurant,Dalian,38.877325,121.571997,171.0,Foreign Restaurant;Foreign Restaurant,11:00,22:00,Xinghai Park,"121.568075,38.877811",38.877811,121.568075,4.5,Private Room;Birthday Package
Sun Moon Bright Little Fishing Village (Xinghai Plaza Branch),Dalian,38.878291,121.563753,88.0,Chinese Restaurant;Seafood Restaurant,09:00,21:00,Xinghai Park,"121.568075,38.877811",38.877811,121.568075,4.8,Outdoor Seating;Online Queue
Xinghai Fast Food Noodle House (Second Medical University Hospital Branch),Dalian,38.881466,121.569550,224.0,Chinese Restaurant;Chinese Restaurant,06:00,20:00,Xinghai Park,"121.568075,38.877811",38.877811,121.568075,4.1,Waiting Area;Birthday Package
COASTAL Waterfront Restaurant,Dalian,38.879472,121.572577,100.0,体育休闲服务场所;体育休闲服务场所,11:00,21:00,Xinghai Park,"121.568075,38.877811",38.877811,121.568075,4.1,Birthday Package
Snail Restaurant,Dalian,38.879791,121.573800,130.0,Chinese Restaurant;Chinese Restaurant,10:30,22:00,Xinghai Park,"121.568075,38.877811",38.877811,121.568075,4.3,Outdoor Seating
Dalian Bofen Western Restaurant,Dalian,38.879440,121.574390,100.0,Food Service Related;Food Service Related,09:00,22:00,Xinghai Park,"121.568075,38.877811",38.877811,121.568075,3.8,Birthday Package;Online Queue
Xian All-Day Premium Dining Restaurant (Fuli Court Branch),Dalian,38.876408,121.557763,100.0,Foreign Restaurant;Western Restaurant,11:00,21:00,Xinghai Park,"121.568075,38.877811",38.877811,121.568075,4.5,Private Room;Online Queue
Lvda Impression - Dalian Local Cuisine Restaurant (Xinghai Branch),Dalian,38.874363,121.558179,100.0,Chinese Restaurant;Seafood Restaurant,10:30,21:00,Xinghai Park,"121.568075,38.877811",38.877811,121.568075,4.6,Private Room;Birthday Package
Bin Yu (Fuhua Villa Branch),Dalian,38.887058,121.566183,100.0,Casual Dining;Casual Dining,08:30,24:00,Xinghai Park,"121.568075,38.877811",38.877811,121.568075,4.2,Must-Eat Top 10
Shiyin Tea House,Dalian,38.810893,121.227546,89.0,Tea House;Tea House,10:00,22:00,Sun Valley Scenic Area,"121.234155,38.810796",38.810796,121.234155,4.4,Private Room
Haoshihui Buffet Restaurant (Agricultural Products Wholesale Market Branch) (Temporarily Closed),Dalian,38.823554,121.250092,59.0,Food Service Related;Food Service Related,09:00,21:00,Sun Valley Scenic Area,"121.234155,38.810796",38.810796,121.234155,3.8,Must-Eat Top 10;Private Room
Tianchi Restaurant (Heishijiao Street),Dalian,38.872667,121.556567,23.0,Chinese Restaurant;Chinese Restaurant,10:00,22:00,Heishi Reef Park,"121.558934,38.869587",38.869587,121.558934,4.4,Must-Eat Top 10;Birthday Package
Yajie Restaurant,Dalian,38.877662,121.555835,43.0,Chinese Restaurant;东北菜,09:00,22:00,Heishi Reef Park,"121.558934,38.869587",38.869587,121.558934,4.2,Private Room;Waiting Area
Second Restaurant of Dongbei University of Finance and Economics,Dalian,38.879365,121.550837,13.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Heishi Reef Park,"121.558934,38.869587",38.869587,121.558934,4.3,Waiting Area;Birthday Package
KFC Drive-Thru Restaurant (Xueyuan Plaza Branch),Dalian,38.875440,121.545979,100.0,Food Service Related;Food Service Related,11:00,21:00,Heishi Reef Park,"121.558934,38.869587",38.869587,121.558934,3.8,Waiting Area;Birthday Package
Central Restaurant of Dongbei University of Finance and Economics,Dalian,38.881291,121.554077,100.0,Food Service Related;Food Service Related,09:00,22:00,Heishi Reef Park,"121.558934,38.869587",38.869587,121.558934,4.5,Outdoor Seating;Waiting Area
Phoenix Restaurant (Zhongshan Road),Dalian,38.886419,121.585269,89.0,Chinese Restaurant;Chinese Restaurant,17:00,20:00,Dalian Museum,"121.586097,38.888484",38.888484,121.586097,4.6,Outdoor Seating
Tany Sheep No.1 Fresh Hot Pot (Xinghai Plaza Branch),Dalian,38.890314,121.587779,104.0,Chinese Restaurant;Hot Pot,10:00,22:00,Dalian Museum,"121.586097,38.888484",38.888484,121.586097,4.8,Birthday Package
Ronghe Restaurant (Century Plaza Building C Branch),Dalian,38.890610,121.588450,63.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Dalian Museum,"121.586097,38.888484",38.888484,121.586097,4.5,Private Room;Online Queue
Jingyue Seafood Restaurant,Dalian,38.892252,121.587594,100.0,Chinese Restaurant;Seafood Restaurant,11:00,21:00,Dalian Museum,"121.586097,38.888484",38.888484,121.586097,3.7,Birthday Package
Hotebao Restaurant,Dalian,38.891025,121.590375,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Dalian Museum,"121.586097,38.888484",38.888484,121.586097,0.2,Birthday Package
Eat Well 15 Yuan Self-Service Fast Food Restaurant,Dalian,38.894088,121.584805,18.0,Fast Food Restaurant;Fast Food Restaurant,10:00,22:00,Dalian Museum,"121.586097,38.888484",38.888484,121.586097,4.2,Online Queue
Respect Coffee Leisure Restaurant,Dalian,38.894053,121.588350,100.0,Food Service Related;Food Service Related,09:30,21:00,Dalian Museum,"121.586097,38.888484",38.888484,121.586097,4.4,Must-Eat Top 10;Private Room
Whole Grain Seafood Restaurant,Dalian,39.091653,122.016233,80.0,Chinese Restaurant;Seafood Restaurant,17:00,21:30,Dalian Jinshitan Life Mystery Museum,"122.009081,39.088910",39.088910,122.009081,4.1,Outdoor Seating;Online Queue
Susan Western Restaurant,Dalian,39.092618,122.016947,51.0,Foreign Restaurant;Western Restaurant,07:00,21:30,Dalian Jinshitan Life Mystery Museum,"122.009081,39.088910",39.088910,122.009081,4.8,Outdoor Seating;Private Room
Hongfu Yuan Seafood Restaurant (Golden Pebble Beach Branch),Dalian,39.098542,122.015995,71.0,Chinese Restaurant;Seafood Restaurant,10:00,22:30,Dalian Jinshitan Life Mystery Museum,"122.009081,39.088910",39.088910,122.009081,4.4,Must-Eat Top 10;Outdoor Seating
Fisherman's Ode Fisherman's Flavor (Qingshi Road Branch),Dalian,39.098865,122.016364,100.0,Chinese Restaurant;Seafood Restaurant,10:00,22:00,Dalian Jinshitan Life Mystery Museum,"122.009081,39.088910",39.088910,122.009081,4.2,Private Room;Birthday Package
Homemade Fishing Boat Seafood (Wanda Jinshi Tiancheng Branch),Dalian,39.098600,122.026001,100.0,Chinese Restaurant;Seafood Restaurant,08:00,06:00,Dalian Jinshitan Life Mystery Museum,"122.009081,39.088910",39.088910,122.009081,3.7,Must-Eat Top 10;Online Queue
Wanyi Shan Restaurant,Dalian,38.917069,121.703356,78.0,Chinese Restaurant;Chinese Restaurant,09:00,22:00,Donggang Business District,"121.698262,38.918777",38.918777,121.698262,4.3,Must-Eat Top 10
B23 GARDEN (Donggang Branch),Dalian,38.924307,121.695032,98.0,Entertainment Venue;Bar|服装鞋帽皮具店;服装鞋帽皮具店,11:00,21:00,Donggang Business District,"121.698262,38.918777",38.918777,121.698262,4.7,Outdoor Seating;Online Queue
