origin_city,destination_city,dep_date,dep_station_code,dep_station_name,arr_station_code,arr_station_name,dep_datetime,arr_datetime,duration,flight_no,airline,seat_class,seat_status,equip_type,equip_size,manufacturer,price,segment_index,route_index
Urumqi,Shanghai,2025-11-12,URC,Urumqi Tianshan International Airport,SHA,Hongqiao International Airport,2025-11-12 16:25:00,2025-11-12 20:50:00,265,HO1256,Juneyao Airlines,Economy Class,Sufficient,320NEO,Medium Aircraft,Airbus,1300,1,350
Urumqi,Shanghai,2025-11-12,URC,Urumqi Tianshan International Airport,SHA,Hongqiao International Airport,2025-11-12 19:10:00,2025-11-12 23:55:00,285,FM9224,Shanghai Airlines,Economy Class,Sufficient,737,Medium Aircraft,Boeing,912,1,348
Urumqi,Shanghai,2025-11-12,URC,Urumqi Tianshan International Airport,TAO,Jiaodong International Airport,2025-11-12 07:40:00,2025-11-12 12:30:00,290,SC4721,Shandong Airlines,Economy Class,Sufficient,737MAX8,Medium Aircraft,Boeing,690,1,359
Urumqi,Shanghai,2025-11-12,TAO,Jiaodong International Airport,SHA,Hongqiao International Airport,2025-11-12 15:30:00,2025-11-12 17:15:00,105,SC4659,Shandong Airlines,Economy Class,Sufficient,737,Medium Aircraft,Boeing,690,2,359
Urumqi,Shanghai,2025-11-12,URC,Urumqi Tianshan International Airport,PVG,Pudong International Airport,2025-11-12 09:55:00,2025-11-12 14:30:00,275,HU4505,Hainan Airlines,Economy Class,Sufficient,737,Medium Aircraft,Boeing,710,1,345
Urumqi,Shanghai,2025-11-12,URC,Urumqi Tianshan International Airport,SHA,Hongqiao International Airport,2025-11-12 11:05:00,2025-11-12 15:50:00,285,FM9220,Shanghai Airlines,Economy Class,Sufficient,737,Medium Aircraft,Boeing,1013,1,349
Urumqi,Shanghai,2025-11-12,URC,Urumqi Tianshan International Airport,SHA,Hongqiao International Airport,2025-11-12 19:10:00,2025-11-12 23:55:00,285,MU8370,China Eastern Airlines,Economy Class,Sufficient,737,Medium Aircraft,Boeing,1305,1,351
Urumqi,Shanghai,2025-11-12,URC,Urumqi Tianshan International Airport,PEK,Capital International Airport,2025-11-12 13:00:00,2025-11-12 16:45:00,225,SC5749,Shandong Airlines,Economy Class,Sufficient,737MAX8,Medium Aircraft,Boeing,700,1,361
Urumqi,Shanghai,2025-11-12,PEK,Capital International Airport,PVG,Pudong International Airport,2025-11-12 21:00:00,2025-11-12 23:20:00,140,SC5406,Shandong Airlines,Economy Class,Sufficient,350,Large Aircraft,Airbus,700,2,361
Urumqi,Shanghai,2025-11-12,URC,Urumqi Tianshan International Airport,PEK,Capital International Airport,2025-11-12 14:40:00,2025-11-12 18:30:00,230,SC5150,Shandong Airlines,Economy Class,Sufficient,330,Large Aircraft,Airbus,700,1,358
