city,name,address,latitude,longitude,decoration_time,hotel_star,price,score,brand
Guilin,Lavande Hotel · Guilin City Center Square Elephant Trunk Hill Scenic Area Store,"No. 2, 5th Floor, No. 1, Zhengyang Road Pedestrian Street",25.272980,110.298082,2019,3,295,4.8,
Guilin,Vienna Hotel (Guilin Quanzhou High-Speed Rail Bus Station Store),"Banbian Street, at the intersection of Quanda Highway and Guihuang Road",25.940129,111.045379,2018,4,122,4.7,
Guilin,Guilin Convention International Hotel,"No. 28, Lijiang Road, Qixing District, Guilin City, Guangxi Province (next to Jiatianxia Plaza Convention and Exhibition Center)",25.262087,110.307014,2019,5,456,4.5,
Guilin,Guilin Jinshuiwan International Hotel,Lingui District - Jinshui Intersection - near Qintan Intersection.,25.257998,110.222892,2017,4,163,4.8,
Guilin,Guilin Yangshuo West Street Ten-Mile Gallery Atour Hotel,"No. 6, Kangzhan Road, Building B, Yangshuo Town (1st Floor, 1st Entrance, Floors 4-8)",24.771941,110.496539,2021,4,462,4.8,Atour Hotel
Guilin,Lavande Hotel (Guilin Railway Station Two Rivers and Four Lakes Store),"No. 64, Shangzhi Lane (opposite Guilin Railway Station)",25.261455,110.285075,2020,3,184,4.6,
Guilin,Guilin Tianjie International Hotel,"No. 41, Canluan Road, Building 8, Zhangtai Tianjie, near Wanda Plaza.",25.243324,110.321382,2021,4,199,4.5,
Guilin,Yangshuo Marriott Fairfield Hotel,"No. 2, Qianguqing Avenue, Yangshuo Town, Yangshuo County, Guilin City, Guangxi Zhuang Autonomous Region",24.778650,110.477260,2024,4,358,4.5,Marriott
Guilin,Guilin Two Rivers and Four Lakes Elephant Trunk Hill Atour Hotel,"No. 10, Zhengyang Road, Xiufeng District, Guilin City",25.274069,110.297717,2022,4,333,4.7,Atour Hotel
Guilin,Hanting Hotel Guilin Yangshuo West Street Hotel,"No. 2, Guanlian Road",24.770624,110.497310,2025,3,210,4.5,Hanting Hotel
Guilin,Earth Village Elegant Lijiang Hotel (Guilin Two Rivers and Four Lakes Elephant Trunk Hill Store),"No. 33, Wanshou Lane, Minzhu Road, Xiangshan District, Guilin City, Comprehensive Building, 7th Floor",25.267623,110.289603,2022,4,239,4.9,
Guilin,Hanting Hotel Guilin Two Rivers and Four Lakes Zhongshan South Road Store,"No. 74, Zhongshan South Road, Xiangshan District, Guilin City",25.261582,110.284387,2024,3,229,4.7,Hanting Hotel
Guilin,Manhattan Hotel (Guilin High-Speed Rail North Station Flagship Store),"No. 72, Beichen Road, Diecai District, Guilin, Guangxi Zhuang Autonomous Region, Wanxin Commercial Plaza, Buildings 1, 2, 3, Units 1-5",25.328423,110.307660,2019,4,181,4.7,
