restaurant_name,city,latitude,longitude,price_per_person,cuisine,opening_time,closing_time,nearby_attraction_name,nearby_attraction_coords,query_latitude,query_longitude,rating,tags
NEW ARC Sunset Restaurant (Xuanwu Lake Jinling STYLE Branch),Nanjing,32.066600,118.813012,95.0,Chinese Restaurant;Chinese Restaurant,11:00,22:00,Nanjing City Wall Taicheng Scenic Area,"118.812688,32.069455",32.069455,118.812688,4.7,Must-Eat Top 10;Birthday Package
Fangyuan · Lakeview Banquet (Xuanwu Lake Branch),Nanjing,32.068443,118.808893,371.0,Chinese Restaurant;Chinese Restaurant,17:00,21:30,Nanjing City Wall Taicheng Scenic Area,"118.812688,32.069455",32.069455,118.812688,4.4,Online Queue
Jinling Star Hotel - Chinese Restaurant,Nanjing,32.072880,118.812323,101.0,Chinese Restaurant;Chinese Restaurant,17:00,21:00,Nanjing City Wall Taicheng Scenic Area,"118.812688,32.069455",32.069455,118.812688,4.0,Private Room;Birthday Package
Hong Xiaoman Bistro · Nanjing Specialty Bistro,Nanjing,32.065951,118.813648,87.0,Chinese Restaurant;Chinese Restaurant,17:00,22:00,Nanjing City Wall Taicheng Scenic Area,"118.812688,32.069455",32.069455,118.812688,4.6,Must-Eat Top 10;Waiting Area
Shatileke Western Region Restaurant (Jinling STYLE Branch),Nanjing,32.065844,118.813334,60.0,Foreign Restaurant;Foreign Restaurant,10:30,22:00,Nanjing City Wall Taicheng Scenic Area,"118.812688,32.069455",32.069455,118.812688,4.7,Birthday Package
Xuzhou Impression Restaurant,Nanjing,32.065749,118.812922,64.0,Chinese Restaurant;Chinese Restaurant,16:00,22:00,Nanjing City Wall Taicheng Scenic Area,"118.812688,32.069455",32.069455,118.812688,4.7,Online Queue
Mingxuan Chinese Restaurant,Nanjing,32.066370,118.815739,168.0,Chinese Restaurant;Chinese Restaurant,17:00,21:30,Nanjing City Wall Taicheng Scenic Area,"118.812688,32.069455",32.069455,118.812688,4.1,Waiting Area
Silk Road Xinjiang Aizezi Barbecue Restaurant (Suojin Branch),Nanjing,32.073502,118.814071,60.0,Chinese Restaurant;Local Specialty Restaurant,16:00,02:30,Nanjing City Wall Taicheng Scenic Area,"118.812688,32.069455",32.069455,118.812688,4.3,Waiting Area
Chow Yun-fat Chinese Restaurant,Nanjing,32.065167,118.813406,21.0,Chinese Restaurant;Chinese Restaurant,09:00,21:00,Nanjing City Wall Taicheng Scenic Area,"118.812688,32.069455",32.069455,118.812688,4.2,Birthday Package
Jiangnan Courtyard Restaurant (Bancang Street Branch),Nanjing,32.067685,118.817973,74.0,Chinese Restaurant;Chinese Restaurant,10:00,22:00,Nanjing City Wall Taicheng Scenic Area,"118.812688,32.069455",32.069455,118.812688,4.5,Online Queue
Lazy Life Art Restaurant,Nanjing,32.068502,118.820836,146.0,Chinese Restaurant;Zhejiang Cuisine,17:00,21:30,"Purple Mountain Observatory, Chinese Academy of Sciences","118.830719,32.064698",32.064698,118.830719,4.6,Must-Eat Top 10;Private Room
Yuejian Garden Restaurant,Nanjing,32.053654,118.826412,141.0,Chinese Restaurant;Chinese Restaurant,09:30,22:00,"Purple Mountain Observatory, Chinese Academy of Sciences","118.830719,32.064698",32.064698,118.830719,4.4,Outdoor Seating;Private Room
Nanjing Blossom Hill · Pipa Mountain Residence Hotel · Huajianshi Restaurant,Nanjing,32.053020,118.826593,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,"Purple Mountain Observatory, Chinese Academy of Sciences","118.830719,32.064698",32.064698,118.830719,4.1,Waiting Area
Kuandu · Lake Biwa Restaurant,Nanjing,32.052922,118.826357,82.0,Chinese Restaurant;Chinese Restaurant,17:00,20:45,"Purple Mountain Observatory, Chinese Academy of Sciences","118.830719,32.064698",32.064698,118.830719,4.6,Online Queue
Fenghefang Garden Restaurant,Nanjing,32.058898,118.817225,100.0,Chinese Restaurant;Chinese Restaurant,10:00,21:00,"Purple Mountain Observatory, Chinese Academy of Sciences","118.830719,32.064698",32.064698,118.830719,3.8,Private Room
Pipa Islet Lakeside Green Organic Restaurant,Nanjing,32.054359,118.821680,157.0,购物相关场所;购物相关场所,11:00,21:00,"Purple Mountain Observatory, Chinese Academy of Sciences","118.830719,32.064698",32.064698,118.830719,4.8,Birthday Package
Nanjing Forestry University - Nanda Mountain Apartment Restaurant,Nanjing,32.075920,118.821336,12.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,"Purple Mountain Observatory, Chinese Academy of Sciences","118.830719,32.064698",32.064698,118.830719,4.0,Private Room
Century Garden Lakeside Hotel Lakeview Pavilion Chinese Restaurant,Nanjing,32.064443,118.814406,83.0,Chinese Restaurant;Chinese Restaurant,17:00,20:30,"Purple Mountain Observatory, Chinese Academy of Sciences","118.830719,32.064698",32.064698,118.830719,4.4,Must-Eat Top 10;Private Room
Wanqing Building Gourmet Pavilion,Nanjing,32.020352,118.789761,100.0,Food Service Related;Food Service Related,17:00,21:00,Nanjing Confucius Temple,"118.788899,32.020660",32.020660,118.788899,4.1,Birthday Package;Online Queue
Zhengxing Restaurant,Nanjing,32.020275,118.790175,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Nanjing Confucius Temple,"118.788899,32.020660",32.020660,118.788899,2.6,Outdoor Seating;Online Queue
Lao Song Ji Marinated Seafood,Nanjing,32.021861,118.789212,100.0,Food Service Related;Food Service Related,11:00,21:00,Nanjing Confucius Temple,"118.788899,32.020660",32.020660,118.788899,4.3,Outdoor Seating;Waiting Area
Tianyuan Building True Jiangnan Fashion Restaurant (Confucius Temple Branch),Nanjing,32.019013,118.790272,100.0,Chinese Restaurant;Chinese Restaurant,10:00,23:00,Nanjing Confucius Temple,"118.788899,32.020660",32.020660,118.788899,4.3,Private Room;Birthday Package
