restaurant_name,city,latitude,longitude,price_per_person,cuisine,opening_time,closing_time,nearby_attraction_name,nearby_attraction_coords,query_latitude,query_longitude,rating
Yichun Restaurant (Nanjing Museum Branch),Nanjing,32.039269,118.825427,53.0,Food Service Related;Food Service Related,11:00,21:00,Nanjing Museum,"118.825064,32.040802",32.040802,118.825064,3.9
Taoxiangju Restaurant · Nanjing Jinling International Hotel,Nanjing,32.039919,118.823378,124.0,Food Service Related;Food Service Related,10:30,21:00,Nanjing Museum,"118.825064,32.040802",32.040802,118.825064,4.1
Panda Restaurant,Nanjing,32.043422,118.824293,29.0,Chinese Restaurant;Chinese Restaurant,17:00,20:30,Nanjing Museum,"118.825064,32.040802",32.040802,118.825064,4.3
Zhenmu Space Tea Restaurant,Nanjing,32.038720,118.822091,71.0,Fast Food Restaurant;Fast Food Restaurant,09:00,01:00,Nanjing Museum,"118.825064,32.040802",32.040802,118.825064,4.2
Tai Hang Bing Room Tea Restaurant (Qingxi Road Branch),Nanjing,32.044629,118.822917,100.0,Fast Food Restaurant;Tea Restaurant,11:00,21:00,Nanjing Museum,"118.825064,32.040802",32.040802,118.825064,4.3
San Dian Hong Red-themed Restaurant (Minggugong Road No. 21 Community Branch),Nanjing,32.043222,118.816105,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Nanjing Museum,"118.825064,32.040802",32.040802,118.825064,3.9
Xun·Garden Restaurant (Zijin Square Branch),Nanjing,32.040970,118.834915,189.0,Foreign Restaurant;Western Restaurant|Entertainment Venue;Bar,10:00,21:00,Nanjing Museum,"118.825064,32.040802",32.040802,118.825064,4.6
Tongxinyuan Hotel Chinese Restaurant,Nanjing,32.032954,118.830965,95.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Nanjing Museum,"118.825064,32.040802",32.040802,118.825064,4.2
Yuyuan Hotel - Chinese Restaurant,Nanjing,32.034991,118.816403,344.0,Chinese Restaurant;Chinese Restaurant,17:00,20:30,Nanjing Museum,"118.825064,32.040802",32.040802,118.825064,4.3
Yifeng Jiayan Theme Restaurant,Nanjing,32.046252,118.814997,100.0,Chinese Restaurant;Chinese Restaurant,10:00,22:00,Nanjing Museum,"118.825064,32.040802",32.040802,118.825064,4.6
Nice to Meet You (Deji Plaza Branch),Nanjing,32.044322,118.784931,99.0,Casual Dining;Casual Dining|Chinese Restaurant;Chinese Restaurant,10:00,22:00,Nanjing Deji Plaza,"118.784902,32.044077",32.044077,118.784902,3.9
ROIIN Heartfelt Dining (Deji Plaza Branch),Nanjing,32.044322,118.785086,197.0,Foreign Restaurant;Western Restaurant,11:00,24:00,Nanjing Deji Plaza,"118.784902,32.044077",32.044077,118.784902,4.5
Banquet Encounter (Deji Plaza Branch),Nanjing,32.044163,118.784555,221.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Nanjing Deji Plaza,"118.784902,32.044077",32.044077,118.784902,4.5
Dehexi Lion (Deji Plaza Branch),Nanjing,32.044494,118.784995,179.0,Chinese Restaurant;Chinese Restaurant,11:00,24:00,Nanjing Deji Plaza,"118.784902,32.044077",32.044077,118.784902,4.6
That Time Xinjiang (Deji Plaza Branch),Nanjing,32.044783,118.784572,128.0,Chinese Restaurant;Chinese Restaurant,10:30,21:30,Nanjing Deji Plaza,"118.784902,32.044077",32.044077,118.784902,4.6
Cuiyuan Restaurant (Deji Plaza Phase II Branch),Nanjing,32.044853,118.785127,270.0,Chinese Restaurant;Cantonese Cuisine,11:00,22:00,Nanjing Deji Plaza,"118.784902,32.044077",32.044077,118.784902,4.6
Guanqiaoqiao Guoshida Hotel Restaurant,Nanjing,32.044801,118.783555,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Nanjing Deji Plaza,"118.784902,32.044077",32.044077,118.784902,3.2
Central Grand Hotel · Gordon Bay Buffet Restaurant,Nanjing,32.045307,118.783591,168.0,Food Service Related;Food Service Related,17:30,21:00,Nanjing Deji Plaza,"118.784902,32.044077",32.044077,118.784902,4.3
Home·Restaurant JIA Restaurant (Jinling Hotel),Nanjing,32.043520,118.782963,356.0,Chinese Restaurant;Hot Pot,17:30,22:00,Nanjing Deji Plaza,"118.784902,32.044077",32.044077,118.784902,4.1
Minghai Restaurant,Nanjing,32.044825,118.787025,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Nanjing Deji Plaza,"118.784902,32.044077",32.044077,118.784902,3.0
Wanquinglou Gourmet Pavilion,Nanjing,32.020352,118.789761,100.0,Food Service Related;Food Service Related,17:00,21:00,Qinhuai River Painted Boat Cruise,"118.788899,32.020660",32.020660,118.788899,4.1
Zhengxing Restaurant,Nanjing,32.020275,118.790175,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Qinhuai River Painted Boat Cruise,"118.788899,32.020660",32.020660,118.788899,2.6
Lao Song Ji Marinated Seafood,Nanjing,32.021861,118.789212,100.0,Food Service Related;Food Service Related,11:00,21:00,Qinhuai River Painted Boat Cruise,"118.788899,32.020660",32.020660,118.788899,4.3
Tianyuanlou True Jiangnan Fashion Restaurant (Confucius Temple Branch),Nanjing,32.019013,118.790272,100.0,Chinese Restaurant;Chinese Restaurant,10:00,23:00,Qinhuai River Painted Boat Cruise,"118.788899,32.020660",32.020660,118.788899,4.3
Eleven Scenic Rooftop Bar (Confucius Temple Pedestrian Street Branch),Nanjing,32.021395,118.791283,79.0,Foreign Restaurant;Western Restaurant,11:00,22:30,Qinhuai River Painted Boat Cruise,"118.788899,32.020660",32.020660,118.788899,4.3
Tianfeng Tower Restaurant,Nanjing,32.020696,118.786196,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Qinhuai River Painted Boat Cruise,"118.788899,32.020660",32.020660,118.788899,3.7
Yongheyuan Banquet Hall,Nanjing,32.022689,118.787481,100.0,Chinese Restaurant;General Restaurant,16:30,22:00,Qinhuai River Painted Boat Cruise,"118.788899,32.020660",32.020660,118.788899,4.3
Night Stay Qinhuai Junting Hotel Restaurant (Grand Theater Branch),Nanjing,32.021996,118.791824,194.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Qinhuai River Painted Boat Cruise,"118.788899,32.020660",32.020660,118.788899,4.2
Yongshengli Tea Restaurant (Fuzimiao Branch),Nanjing,32.023204,118.787265,65.0,Fast Food Restaurant;Tea Restaurant,10:00,22:00,Qinhuai River Painted Boat Cruise,"118.788899,32.020660",32.020660,118.788899,4.2
Bella Kitchen Unlimited Steak Restaurant (Maoye World Branch),Nanjing,32.022530,118.786194,77.0,Chinese Restaurant;Chinese Restaurant,16:30,21:00,Qinhuai River Painted Boat Cruise,"118.788899,32.020660",32.020660,118.788899,4.4
Yihe Mansion · Le Siecle Centennial Western Restaurant (Jiangsu Road Branch),Nanjing,32.064186,118.770017,633.0,Foreign Restaurant;Western Restaurant,17:00,21:00,Yihe Road Mansion Area Section 12,"118.770087,32.063981",32.063981,118.770087,4.2
Wanjiahuan Sunny Days,Nanjing,32.065472,118.768555,93.0,Chinese Restaurant;Sichuan Cuisine|Chinese Restaurant;General Restaurant,17:00,21:00,Yihe Road Mansion Area Section 12,"118.770087,32.063981",32.063981,118.770087,4.5
Suoyu Lobster Seafood House (Jiangsu Road Branch),Nanjing,32.066915,118.768259,100.0,Chinese Restaurant;Seafood Restaurant,16:00,02:00,Yihe Road Mansion Area Section 12,"118.770087,32.063981",32.063981,118.770087,4.5
Muxue Jiangyan Xinjiang Restaurant,Nanjing,32.066740,118.772695,72.0,Food Service Related;Food Service Related,10:00,21:30,Yihe Road Mansion Area Section 12,"118.770087,32.063981",32.063981,118.770087,4.4
Pin Yue Xuan · Farm-Themed Restaurant (Xiqiao Branch),Nanjing,32.061813,118.773670,112.0,Chinese Restaurant;Chinese Restaurant,14:30,21:00,Yihe Road Mansion Area Section 12,"118.770087,32.063981",32.063981,118.770087,4.7
Sofitel Galaxy Palace Chinese Restaurant,Nanjing,32.067405,118.772463,220.0,Chinese Restaurant;Chinese Restaurant,17:30,21:00,Yihe Road Mansion Area Section 12,"118.770087,32.063981",32.063981,118.770087,4.0
Jiangsu Yishiyuan Hotel · A La Carte Restaurant,Nanjing,32.064920,118.776260,142.0,Food Service Related;Food Service Related,17:30,21:00,Yihe Road Mansion Area Section 12,"118.770087,32.063981",32.063981,118.770087,3.8
Pinyi · Tea Restaurant (Shuizuo Gang Branch),Nanjing,32.069369,118.767073,100.0,Tea House;Tea House,09:00,21:00,Yihe Road Mansion Area Section 12,"118.770087,32.063981",32.063981,118.770087,4.3
Hong Kong Boy Tea Restaurant,Nanjing,32.070778,118.770778,46.0,Fast Food Restaurant;Tea Restaurant,09:30,21:00,Yihe Road Mansion Area Section 12,"118.770087,32.063981",32.063981,118.770087,4.4
Top Fresh Seafood Garden Restaurant,Nanjing,32.068108,118.776615,67.0,Chinese Restaurant;Seafood Restaurant,11:00,21:00,Yihe Road Mansion Area Section 12,"118.770087,32.063981",32.063981,118.770087,3.9
Wenliu Cuisine (Laomendong Branch),Nanjing,32.011515,118.787387,100.0,Chinese Restaurant;Chinese Restaurant,17:00,21:00,Laomendong,"118.787631,32.011682",32.011682,118.787631,4.5
Jiang Youji (Lao Mendong Branch),Nanjing,32.011774,118.786821,25.0,Chinese Restaurant;Halal Restaurant,08:00,22:30,Laomendong,"118.787631,32.011682",32.011682,118.787631,4.4
Xun Wei·Jinling Twelve Dishes (Laomendong Branch),Nanjing,32.012241,118.787144,177.0,Chinese Restaurant;Chinese Restaurant,16:30,21:00,Laomendong,"118.787631,32.011682",32.011682,118.787631,4.7
Jiming Soup Dumplings (Nanjing Flagship Store) Nanjing Cuisine,Nanjing,32.011940,118.786703,100.0,Chinese Restaurant;Chinese Restaurant,08:30,23:00,Laomendong,"118.787631,32.011682",32.011682,118.787631,4.5
New Belle Italian Restaurant · Wood-fired Pizza (Laomendong Branch),Nanjing,32.011064,118.786955,70.0,Fast Food Restaurant;Fast Food Restaurant,10:00,22:00,Laomendong,"118.787631,32.011682",32.011682,118.787631,4.6
Six Dynasties Pine Teahouse,Nanjing,32.010760,118.788191,294.0,Tea House;Tea House,10:00,22:00,Laomendong,"118.787631,32.011682",32.011682,118.787631,4.7
South City Yan Gui Lou (Laomendong Branch),Nanjing,32.012681,118.788744,100.0,Chinese Restaurant;Chinese Restaurant|Accommodation Related;Accommodation Related,17:00,21:00,Laomendong,"118.787631,32.011682",32.011682,118.787631,4.5
Reunion with Smoke Firewood Wonton Love Snack Shop,Nanjing,32.011082,118.789613,14.0,Chinese Restaurant;Chinese Restaurant,08:30,20:30,Laomendong,"118.787631,32.011682",32.011682,118.787631,4.4
The Free Cook · Family Cuisine (Laomendong Branch),Nanjing,32.014135,118.787506,72.0,Food Service Related;Food Service Related,11:00,21:00,Laomendong,"118.787631,32.011682",32.011682,118.787631,4.6
Yunshe Restaurant,Nanjing,32.009595,118.785806,100.0,Chinese Restaurant;Chinese Restaurant,17:00,21:00,Laomendong,"118.787631,32.011682",32.011682,118.787631,4.4
Hou Taste · Chinese Restaurant,Nanjing,31.990868,118.708386,258.0,Chinese Restaurant;Chinese Restaurant,17:30,20:30,Nanjing Eye Pedestrian Bridge,"118.703146,31.995131",31.995131,118.703146,3.9
Pusan · Zen Restaurant (Renheng Jiangwan New World Branch),Nanjing,31.992314,118.709804,400.0,Chinese Restaurant;Chinese Restaurant,16:00,21:00,Nanjing Eye Pedestrian Bridge,"118.703146,31.995131",31.995131,118.703146,4.2
International Youth Conference Hotel · Leiker German Beer Restaurant,Nanjing,31.991023,118.708803,157.0,Foreign Restaurant;Western Restaurant,17:30,00:30,Nanjing Eye Pedestrian Bridge,"118.703146,31.995131",31.995131,118.703146,4.0
Xiang · All-Day Dining Restaurant,Nanjing,31.990583,118.708585,158.0,Foreign Restaurant;Western Restaurant,11:00,21:00,Nanjing Eye Pedestrian Bridge,"118.703146,31.995131",31.995131,118.703146,4.0
International Youth Conference Hotel - Buffet Restaurant (Nanjing International Youth Conference Hotel),Nanjing,31.990660,118.708676,99.0,Foreign Restaurant;Foreign Restaurant,11:00,21:00,Nanjing Eye Pedestrian Bridge,"118.703146,31.995131",31.995131,118.703146,4.1
Jumeirah Nanjing Hotel - Luchao Modern Chinese Restaurant,Nanjing,31.991186,118.709348,480.0,Food Service Related;Food Service Related,17:30,21:30,Nanjing Eye Pedestrian Bridge,"118.703146,31.995131",31.995131,118.703146,4.5
Bama Ouyue Seafood House (Renhengli New World),Nanjing,31.992152,118.710080,191.0,Chinese Restaurant;Chinese Restaurant,17:00,23:30,Nanjing Eye Pedestrian Bridge,"118.703146,31.995131",31.995131,118.703146,4.6
RONG57 · Trendy Cantonese Cuisine (International Youth Conference Center),Nanjing,31.990397,118.708624,243.0,Chinese Restaurant;Chinese Restaurant,16:30,21:00,Nanjing Eye Pedestrian Bridge,"118.703146,31.995131",31.995131,118.703146,4.4
Furun Jiangwan Chinese Restaurant,Nanjing,31.998951,118.711814,100.0,Chinese Restaurant;Chinese Restaurant,09:30,21:00,Nanjing Eye Pedestrian Bridge,"118.703146,31.995131",31.995131,118.703146,4.4
ANTEP Turkish Restaurant (Jiangshan Center Branch),Nanjing,31.988663,118.710784,166.0,Foreign Restaurant;Foreign Restaurant,17:00,22:00,Nanjing Eye Pedestrian Bridge,"118.703146,31.995131",31.995131,118.703146,4.5
Meilu Restaurant (Sifangcheng Branch),Nanjing,32.049053,118.850510,343.0,Chinese Restaurant;Chinese Restaurant,16:30,21:00,Sun Yat-sen Mausoleum Scenic Area,"118.854097,32.054508",32.054508,118.854097,4.6
Nanjing Dongjiao State Guesthouse·Daoxiangcun A La Carte Restaurant,Nanjing,32.058352,118.847527,202.0,Food Service Related;Food Service Related,08:30,20:30,Sun Yat-sen Mausoleum Scenic Area,"118.854097,32.054508",32.054508,118.854097,4.1
Jingli Seafood Buffet Restaurant,Nanjing,32.058378,118.847167,212.0,Chinese Restaurant;Seafood Restaurant,17:30,21:00,Sun Yat-sen Mausoleum Scenic Area,"118.854097,32.054508",32.054508,118.854097,4.7
Wheat Spike Café (Restaurant),Nanjing,32.053088,118.840329,55.0,Cafe;Cafe,08:00,18:00,Sun Yat-sen Mausoleum Scenic Area,"118.854097,32.054508",32.054508,118.854097,4.4
Yishengyuan Restaurant,Nanjing,32.041985,118.849227,298.0,Chinese Restaurant;Chinese Restaurant,16:00,22:00,Sun Yat-sen Mausoleum Scenic Area,"118.854097,32.054508",32.054508,118.854097,4.2
Kuandu Hotel (Kuandu·Emerald Garden Restaurant),Nanjing,32.043804,118.840376,100.0,Hotel;Budget Chain Hotel|Chinese Restaurant;Chinese Restaurant,11:00,21:00,Sun Yat-sen Mausoleum Scenic Area,"118.854097,32.054508",32.054508,118.854097,4.9
Old Camera · Garden Restaurant,Nanjing,32.042471,118.841831,84.0,Food Service Related;Food Service Related,09:00,21:00,Sun Yat-sen Mausoleum Scenic Area,"118.854097,32.054508",32.054508,118.854097,4.7
Frontline Courtyard Fanghua Cultural Theme Restaurant,Nanjing,32.042886,118.840991,294.0,Chinese Restaurant;Chinese Restaurant,09:30,22:00,Sun Yat-sen Mausoleum Scenic Area,"118.854097,32.054508",32.054508,118.854097,4.2
Giraffe Tea Restaurant (Junlin Zijin Commercial Street Branch),Nanjing,32.037885,118.850974,53.0,Fast Food Restaurant;Tea Restaurant,09:00,23:59,Sun Yat-sen Mausoleum Scenic Area,"118.854097,32.054508",32.054508,118.854097,4.2
Golden Almond Restaurant,Nanjing,32.037985,118.850289,79.0,Chinese Restaurant;Chinese Restaurant,10:00,22:00,Sun Yat-sen Mausoleum Scenic Area,"118.854097,32.054508",32.054508,118.854097,3.9
San Liang San Sichuan-Chongqing Spicy Tripe (Hunan Road Lion Bridge Branch),Nanjing,32.067708,118.777860,54.0,Chinese Restaurant;Sichuan Cuisine,10:30,23:00,Lion Bridge Pedestrian Street,"118.777783,32.067825",32.067825,118.777783,4.4
Halal·AL-JANNAT Jannat Indian Restaurant (Shiziqiao Branch),Nanjing,32.068005,118.778377,73.0,Foreign Restaurant;Indian Cuisine,17:00,21:30,Lion Bridge Pedestrian Street,"118.777783,32.067825",32.067825,118.777783,4.7
Macau Pavilion (Shiziqiao Branch),Nanjing,32.068328,118.777251,100.0,Chinese Restaurant;Chinese Restaurant,10:00,21:30,Lion Bridge Pedestrian Street,"118.777783,32.067825",32.067825,118.777783,4.5
Wanqianyun Self-Service Restaurant (Shiziqiao Branch),Nanjing,32.068635,118.777723,30.0,Chinese Restaurant;Chinese Restaurant,10:30,22:30,Lion Bridge Pedestrian Street,"118.777783,32.067825",32.067825,118.777783,4.2
iKaron Music Restaurant (Huayang Building Branch),Nanjing,32.068922,118.777773,95.0,Chinese Restaurant;Chinese Restaurant,17:00,03:00,Lion Bridge Pedestrian Street,"118.777783,32.067825",32.067825,118.777783,4.0
