poi_name,latitude,longitude,address,poi_type
Tiananmen Square,39.903182,116.397755,,attraction
Wangfujing Pedestrian Street,39.913399,116.412420,,attraction
Summer Palace,39.999617,116.275179,,attraction
National Stadium (Bird's Nest),39.993330,116.395784,,attraction
National Aquatics Center (Water Cube),39.992834,116.390397,,attraction
Ming Tombs - Changling,40.300235,116.248804,,attraction
Wudaoying Hutong,39.947899,116.411707,,attraction
Shichahai,39.941893,116.385121,,attraction
Sanlitun Taikoo Li,39.934862,116.454406,,attraction
Tsinghua University,40.003220,116.325899,,attraction
Jinmanshan Qianmen Hot Pot (Qianmen Flagship Store),39.899557,116.400132,,restaurant
Huguosi Snacks (Rou Market Street Branch),39.898374,116.398690,,restaurant
Golden Bean Restaurant,39.899020,116.393858,,restaurant
Beiping Garden (Tiananmen Branch),39.898039,116.395566,,restaurant
Juqi (Qianmen Branch),39.897718,116.397016,,restaurant
Liang Restaurant PEKING LIANG (Qianmen Branch),39.897387,116.397002,,restaurant
Wanchun Jinfu Afternoon Tea (Qianmen Branch),39.897225,116.397475,,restaurant
TIDU · TIDU (Beijing Fun Branch),39.897546,116.394922,,restaurant
Forbidden City Qianmen Icehouse Restaurant,39.896963,116.398256,,restaurant
National Centre for the Performing Arts Western Restaurant,39.904765,116.389734,,restaurant
Tim Ho Wan (Beijing APM Branch),39.914205,116.411651,,restaurant
Zhecha Tea Restaurant (Beijing apm Branch),39.914339,116.411941,,restaurant
Juqi Roast Duck · Beijing Cuisine (Beijing apm Branch),39.914449,116.411633,,restaurant
Fu Wan Vietnamese Restaurant (Beijing apm Branch),39.914674,116.412005,,restaurant
Hilton Hotel Qin Tang Chinese Restaurant (Wangfujing Branch),39.914647,116.413364,,restaurant
Xin Zha Shi Xiong · Contemporary Cantonese Cuisine (Wangfujing APM Branch),39.914862,116.411943,,restaurant
Crab Way (Wangfu Central East Tower Branch),39.912274,116.410801,,restaurant
Tongren Four Seasons Coconut Chicken (Beijing apm Branch),39.915237,116.412169,,restaurant
THE WOODS Restaurant (Wangfujing Macau Center Branch),39.915041,116.413588,,restaurant
Le Meixin Restaurant (East Wing of WF Central),39.912471,116.410044,,restaurant
Songtang Fast Food Restaurant,40.001225,116.274375,,restaurant
Light and Shadow Restaurant (Summer Palace Branch),40.003150,116.277638,,restaurant
Third Restaurant of the Central Party School,40.001430,116.285402,,restaurant
Graduate School of the Central Party School Restaurant,39.999592,116.287885,,restaurant
Dongting Chuxiang (Xiangshan Yihe Branch),40.006063,116.264753,,restaurant
Green Tea Restaurant (Beijing Longfor Starry Hui Branch),39.998068,116.289861,,restaurant
Dechang Garden Beijing Cuisine Restaurant (Summer Palace Branch),39.996701,116.291357,,restaurant
Dechang Garden Restaurant (Liangli Garden Branch),39.997009,116.293362,,restaurant
Dayou Shangpin Community Restaurant (Central Party School Community Business Unit),40.014066,116.277948,,restaurant
Saizeriya Italian Restaurant (Xiaojihe Beijing Hualian BHG Mall Branch),40.015633,116.270935,,restaurant
Guofeng · Jia Restaurant (Bird's Nest Scenic View Branch),39.992725,116.395475,,restaurant
Bird's Nest Cultural Center Guofengjia Restaurant,39.992875,116.397025,,restaurant
Zhonghong Feast·Bird's Nest Restaurant (Asian Games Village Branch),39.992378,116.395075,,restaurant
Beijing Grand Skylight Hotel Elysee Western Restaurant (Asian Games Village Branch),39.992708,116.400185,,restaurant
AmazingThai Zhengtai Restaurant (Beitou Xinao Shopping Center Branch),39.999286,116.395925,,restaurant
Little Sheep (Beitou Xinao Shopping Center Branch),40.000038,116.396371,,restaurant
Caiyan Restaurant,39.999047,116.401002,,restaurant
Beijing Beichen InterContinental Hotel · Yi Show Italian Restaurant,39.998325,116.388176,,restaurant
VIP Building Banyan Tree Edge Restaurant,39.992864,116.406078,,restaurant
Huiyuan Restaurant,39.994536,116.406367,,restaurant
Beijing Academy of Social Sciences Restaurant,39.989342,116.385246,,restaurant
Xiangyun Building Restaurant,39.994451,116.381719,,restaurant
Yuexiu Pavilion Chinese Restaurant,39.999089,116.386255,,restaurant
Suzuki Canteen (Yangmeizhu Branch),39.895977,116.393610,,restaurant
Hemu THE HOME·Hutong,39.893584,116.388388,,restaurant
Deyuelou,39.895540,116.394553,,restaurant
Jing B·Dongli Craft Beer Music Restaurant,39.896192,116.394755,,restaurant
Green Tea Restaurant (Beijing Yintai IN88 Branch),39.916285,116.411819,,restaurant
Candu Southeast Asian Restaurant (Wudaoying Branch),39.948454,116.415557,,restaurant
Xin Yuan,39.948714,116.415077,,restaurant
Soup Kitchen (Wudaoying Branch),39.948338,116.414674,,restaurant
Ye Bo Zhai Imperial Vegetarian Cuisine,39.948362,116.413730,,restaurant
Longxianfu Specialty Restaurant,40.289367,116.236644,,restaurant
Pebbles Courtyard Mexican Restaurant,39.948375,116.410797,,restaurant
Hepingli Street Elderly Restaurant,39.950750,116.410857,,restaurant
Manxiang Wonton (Andingmen Branch),39.947013,116.408068,,restaurant
Lan Yue Zhai Grilled Meat · Halal (Wudaoying Flagship Store),39.944945,116.408583,,restaurant
Miao Family Baozi Shop (Chengxian Street Branch),39.944925,116.408601,,restaurant
Menwai Restaurant,39.943769,116.411497,,restaurant
Yifeng Restaurant (Gulou Branch),39.943748,116.388507,,restaurant
DAddario Italian Restaurant (Houhai Branch),39.939364,116.388671,,restaurant
Mount Everest Restaurant,39.945551,116.386140,,restaurant
Capital Courtyard Hutong Cuisine Rooftop Bistro,39.938065,116.379287,,restaurant
Huluwa Beef Tendon Hot Pot (Gulou Branch),39.946717,116.389982,,restaurant
Zhong Restaurant (Gulou West Street Branch),39.940920,116.393099,,restaurant
Ding Xiang Run,39.947191,116.380111,,restaurant
RAJ Indian Music Restaurant,39.940937,116.393636,,restaurant
Papà Danilo Uncle Danilo · Italian Pasta (Gulou Branch),39.942844,116.393822,,restaurant
Lao Yang Restaurant,39.942450,116.376358,,restaurant
BROWNSTONE Spanish Restaurant (Sanlitun Taikoo Li South District Branch),39.934810,116.454541,,restaurant
Bacardi Club CASA BACARDI (Sanlitun Taikoo Li South District Branch),39.934825,116.454725,,restaurant
COMMUNE · X Illusionist (Sanlitun Taikoo Li South District Branch),39.934918,116.454906,,restaurant
gaga (Sanlitun Taikoo Li South District Branch),39.935060,116.453830,,restaurant
Tairyo · Guanyan Teppanyaki,39.935220,116.455056,,restaurant
bluefrog Blue Frog (Sanlitun Taikoo Li South District Branch),39.935677,116.454238,,restaurant
Zhudi Canteen (Sanlitun First Branch),39.932974,116.453603,,restaurant
Xiaoxiang Pavilion (Sanlitun SOHO Branch),39.933111,116.452867,,restaurant
Alkhaleej Mandi Kitchen Gulf Mandi Restaurant,39.932837,116.453202,,restaurant
